Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-11
Record Length,1000
Zero Index,219.046875
Vertical Units,V

TIME,CH1
-8.761875e-09,-8.828125e-03
-8.721875e-09,-9.015625e-03
-8.681875e-09,-6.421875e-03
-8.641875e-09,-2.421875e-03
-8.601875e-09,6.406250e-04
-8.561875e-09,1.046875e-03
-8.521875e-09,-1.171875e-03
-8.481875e-09,-4.437500e-03
-8.441875e-09,-6.875000e-03
-8.401875e-09,-7.578125e-03
-8.361875e-09,-6.968750e-03
-8.321875e-09,-6.140625e-03
-8.281875e-09,-5.875000e-03
-8.241875e-09,-6.031250e-03
-8.201875e-09,-6.015625e-03
-8.161875e-09,-5.390625e-03
-8.121875e-09,-4.390625e-03
-8.081875e-09,-3.656250e-03
-8.041875e-09,-3.578125e-03
-8.001875e-09,-3.953125e-03
-7.961875e-09,-4.125000e-03
-7.921875e-09,-3.609375e-03
-7.881875e-09,-2.546875e-03
-7.841875e-09,-1.562500e-03
-7.801875e-09,-1.250000e-03
-7.761875e-09,-1.703125e-03
-7.721875e-09,-2.531250e-03
-7.681875e-09,-3.281250e-03
-7.641875e-09,-3.796875e-03
-7.601875e-09,-4.250000e-03
-7.561875e-09,-4.812500e-03
-7.521875e-09,-5.343750e-03
-7.481875e-09,-5.421875e-03
-7.441875e-09,-4.796875e-03
-7.401875e-09,-3.750000e-03
-7.361875e-09,-3.000000e-03
-7.321875e-09,-3.203125e-03
-7.281875e-09,-4.406250e-03
-7.241875e-09,-5.875000e-03
-7.201875e-09,-6.515625e-03
-7.161875e-09,-5.703125e-03
-7.121875e-09,-3.703125e-03
-7.081875e-09,-1.578125e-03
-7.041875e-09,-6.093750e-04
-7.001875e-09,-1.500000e-03
-6.961875e-09,-3.984375e-03
-6.921875e-09,-6.906250e-03
-6.881875e-09,-8.859375e-03
-6.841875e-09,-8.906250e-03
-6.801875e-09,-7.046875e-03
-6.761875e-09,-4.281250e-03
-6.721875e-09,-2.015625e-03
-6.681875e-09,-1.375000e-03
-6.641875e-09,-2.484375e-03
-6.601875e-09,-4.390625e-03
-6.561875e-09,-5.703125e-03
-6.521875e-09,-5.500000e-03
-6.481875e-09,-3.953125e-03
-6.441875e-09,-2.218750e-03
-6.401875e-09,-1.609375e-03
-6.361875e-09,-2.703125e-03
-6.321875e-09,-5.000000e-03
-6.281875e-09,-7.328125e-03
-6.241875e-09,-8.703125e-03
-6.201875e-09,-8.906250e-03
-6.161875e-09,-8.453125e-03
-6.121875e-09,-8.015625e-03
-6.081875e-09,-7.781250e-03
-6.041875e-09,-7.390625e-03
-6.001875e-09,-6.312500e-03
-5.961875e-09,-4.468750e-03
-5.921875e-09,-2.421875e-03
-5.881875e-09,-1.093750e-03
-5.841875e-09,-1.140625e-03
-5.801875e-09,-2.546875e-03
-5.761875e-09,-4.609375e-03
-5.721875e-09,-6.453125e-03
-5.681875e-09,-7.421875e-03
-5.641875e-09,-7.312500e-03
-5.601875e-09,-6.390625e-03
-5.561875e-09,-5.109375e-03
-5.521875e-09,-3.953125e-03
-5.481875e-09,-3.312500e-03
-5.441875e-09,-3.421875e-03
-5.401875e-09,-4.234375e-03
-5.361875e-09,-5.390625e-03
-5.321875e-09,-6.343750e-03
-5.281875e-09,-6.578125e-03
-5.241875e-09,-5.921875e-03
-5.201875e-09,-4.703125e-03
-5.161875e-09,-3.562500e-03
-5.121875e-09,-3.187500e-03
-5.081875e-09,-3.906250e-03
-5.041875e-09,-5.437500e-03
-5.001875e-09,-7.078125e-03
-4.961875e-09,-8.015625e-03
-4.921875e-09,-7.781250e-03
-4.881875e-09,-6.593750e-03
-4.841875e-09,-5.281250e-03
-4.801875e-09,-4.703125e-03
-4.761875e-09,-5.296875e-03
-4.721875e-09,-6.609375e-03
-4.681875e-09,-7.625000e-03
-4.641875e-09,-7.453125e-03
-4.601875e-09,-5.906250e-03
-4.561875e-09,-3.765625e-03
-4.521875e-09,-2.203125e-03
-4.481875e-09,-1.984375e-03
-4.441875e-09,-3.031250e-03
-4.401875e-09,-4.531250e-03
-4.361875e-09,-5.609375e-03
-4.321875e-09,-5.937500e-03
-4.281875e-09,-5.843750e-03
-4.241875e-09,-5.734375e-03
-4.201875e-09,-5.734375e-03
-4.161875e-09,-5.484375e-03
-4.121875e-09,-4.609375e-03
-4.081875e-09,-3.218750e-03
-4.041875e-09,-2.062500e-03
-4.001875e-09,-2.015625e-03
-3.961875e-09,-3.328125e-03
-3.921875e-09,-5.328125e-03
-3.881875e-09,-6.843750e-03
-3.841875e-09,-7.015625e-03
-3.801875e-09,-5.937500e-03
-3.761875e-09,-4.625000e-03
-3.721875e-09,-4.156250e-03
-3.681875e-09,-4.875000e-03
-3.641875e-09,-6.109375e-03
-3.601875e-09,-6.718750e-03
-3.561875e-09,-5.984375e-03
-3.521875e-09,-4.046875e-03
-3.481875e-09,-1.859375e-03
-3.441875e-09,-4.218750e-04
-3.401875e-09,-1.875000e-04
-3.361875e-09,-8.906250e-04
-3.321875e-09,-1.937500e-03
-3.281875e-09,-2.843750e-03
-3.241875e-09,-3.359375e-03
-3.201875e-09,-3.515625e-03
-3.161875e-09,-3.390625e-03
-3.121875e-09,-3.062500e-03
-3.081875e-09,-2.687500e-03
