Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-11
Record Length,1000
Zero Index,219.242188
Vertical Units,V

TIME,CH1
-8.769687e-09,-6.093750e-03
-8.729687e-09,-4.781250e-03
-8.689688e-09,-4.156250e-03
-8.649687e-09,-4.484375e-03
-8.609687e-09,-5.171875e-03
-8.569687e-09,-5.453125e-03
-8.529687e-09,-5.125000e-03
-8.489687e-09,-4.765625e-03
-8.449687e-09,-5.125000e-03
-8.409688e-09,-6.375000e-03
-8.369687e-09,-7.734375e-03
-8.329687e-09,-8.000000e-03
-8.289687e-09,-6.406250e-03
-8.249687e-09,-3.359375e-03
-8.209688e-09,-2.031250e-04
-8.169687e-09,1.531250e-03
-8.129688e-09,1.281250e-03
-8.089687e-09,-3.437500e-04
-8.049687e-09,-2.015625e-03
-8.009687e-09,-2.734375e-03
-7.969687e-09,-2.531250e-03
-7.929688e-09,-2.343750e-03
-7.889687e-09,-3.125000e-03
-7.849687e-09,-5.031250e-03
-7.809687e-09,-7.203125e-03
-7.769687e-09,-8.343750e-03
-7.729688e-09,-7.796875e-03
-7.689687e-09,-6.062500e-03
-7.649688e-09,-4.421875e-03
-7.609687e-09,-3.875000e-03
-7.569687e-09,-4.343750e-03
-7.529687e-09,-4.703125e-03
-7.489687e-09,-3.843750e-03
-7.449687e-09,-1.750000e-03
-7.409687e-09,2.343750e-04
-7.369687e-09,4.062500e-04
-7.329687e-09,-2.015625e-03
-7.289687e-09,-6.015625e-03
-7.249687e-09,-9.437500e-03
-7.209687e-09,-1.040625e-02
-7.169687e-09,-8.781250e-03
-7.129687e-09,-6.078125e-03
-7.089687e-09,-4.265625e-03
-7.049687e-09,-4.250000e-03
-7.009687e-09,-5.187500e-03
-6.969687e-09,-5.328125e-03
-6.929687e-09,-3.546875e-03
-6.889687e-09,-4.687500e-04
-6.849687e-09,1.968750e-03
-6.809687e-09,1.890625e-03
-6.769687e-09,-9.843750e-04
-6.729687e-09,-5.062500e-03
-6.689687e-09,-7.984375e-03
-6.649687e-09,-8.265625e-03
-6.609687e-09,-6.234375e-03
-6.569687e-09,-3.625000e-03
-6.529687e-09,-2.218750e-03
-6.489687e-09,-2.625000e-03
-6.449687e-09,-4.046875e-03
-6.409687e-09,-5.093750e-03
-6.369687e-09,-4.937500e-03
-6.329687e-09,-3.875000e-03
-6.289687e-09,-2.968750e-03
-6.249687e-09,-3.140625e-03
-6.209687e-09,-4.421875e-03
-6.169687e-09,-6.046875e-03
-6.129687e-09,-6.984375e-03
-6.089687e-09,-6.734375e-03
-6.049687e-09,-5.593750e-03
-6.009687e-09,-4.375000e-03
-5.969687e-09,-3.796875e-03
-5.929687e-09,-4.078125e-03
-5.889687e-09,-4.843750e-03
-5.849687e-09,-5.546875e-03
-5.809688e-09,-5.750000e-03
-5.769687e-09,-5.453125e-03
-5.729687e-09,-4.843750e-03
-5.689687e-09,-4.156250e-03
-5.649687e-09,-3.562500e-03
-5.609687e-09,-3.187500e-03
-5.569688e-09,-3.250000e-03
-5.529687e-09,-4.000000e-03
-5.489687e-09,-5.375000e-03
-5.449687e-09,-6.921875e-03
-5.409687e-09,-7.828125e-03
-5.369687e-09,-7.375000e-03
-5.329688e-09,-5.578125e-03
-5.289687e-09,-3.250000e-03
-5.249687e-09,-1.609375e-03
-5.209687e-09,-1.515625e-03
-5.169687e-09,-2.875000e-03
-5.129687e-09,-4.796875e-03
-5.089688e-09,-6.203125e-03
-5.049687e-09,-6.531250e-03
-5.009687e-09,-6.031250e-03
-4.969687e-09,-5.390625e-03
-4.929687e-09,-5.156250e-03
-4.889687e-09,-5.421875e-03
-4.849688e-09,-5.859375e-03
-4.809687e-09,-6.140625e-03
-4.769687e-09,-6.203125e-03
-4.729687e-09,-6.125000e-03
-4.689687e-09,-6.046875e-03
-4.649687e-09,-5.968750e-03
-4.609688e-09,-5.828125e-03
-4.569687e-09,-5.656250e-03
-4.529687e-09,-5.531250e-03
-4.489687e-09,-5.515625e-03
-4.449687e-09,-5.421875e-03
-4.409687e-09,-4.937500e-03
-4.369688e-09,-3.906250e-03
-4.329687e-09,-2.625000e-03
-4.289687e-09,-1.640625e-03
-4.249687e-09,-1.515625e-03
-4.209687e-09,-2.359375e-03
-4.169687e-09,-3.781250e-03
-4.129688e-09,-5.187500e-03
-4.089687e-09,-6.156250e-03
-4.049687e-09,-6.578125e-03
-4.009687e-09,-6.593750e-03
-3.969687e-09,-6.250000e-03
-3.929687e-09,-5.390625e-03
-3.889688e-09,-3.953125e-03
-3.849687e-09,-2.140625e-03
-3.809687e-09,-5.468750e-04
-3.769687e-09,1.406250e-04
-3.729687e-09,-4.843750e-04
-3.689687e-09,-2.187500e-03
-3.649687e-09,-4.234375e-03
-3.609687e-09,-5.671875e-03
-3.569687e-09,-5.875000e-03
-3.529687e-09,-4.781250e-03
-3.489687e-09,-2.984375e-03
-3.449687e-09,-1.437500e-03
-3.409687e-09,-1.062500e-03
-3.369687e-09,-2.250000e-03
-3.329687e-09,-4.640625e-03
-3.289687e-09,-7.171875e-03
-3.249687e-09,-8.703125e-03
-3.209687e-09,-8.468750e-03
-3.169687e-09,-6.656250e-03
-3.129687e-09,-4.218750e-03
-3.089687e-09,-2.359375e-03
