LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 01-Jan-2002 01:33:29 0                 
Time Ampl
-2.50816e-009 0.00699849
-2.49149e-009 -0.000355764
-2.47482e-009 -0.00567293
-2.45816e-009 0.00654964
-2.44149e-009 0.011815
-2.42482e-009 0.00295883
-2.40816e-009 -0.00144337
-2.39149e-009 -0.00282445
-2.37482e-009 -0.00581103
-2.35816e-009 0.00035204
-2.34149e-009 0.00599721
-2.32482e-009 -0.00441269
-2.30816e-009 -0.00967806
-2.29149e-009 0.00501319
-2.27482e-009 0.0121775
-2.25816e-009 0.00143964
-2.24149e-009 -0.00175411
-2.22482e-009 0.0033041
-2.20816e-009 -0.00320424
-2.19149e-009 -0.0118705
-2.17482e-009 -0.00812435
-2.15816e-009 -0.00411921
-2.14149e-009 -0.00427458
-2.12482e-009 0.00394285
-2.10816e-009 0.0126437
-2.09149e-009 0.00539299
-2.07482e-009 -0.00508597
-2.05816e-009 -0.000148602
-2.04149e-009 0.00889748
-2.02482e-009 0.00497866
-2.00816e-009 -0.00275539
-1.99149e-009 0.000766364
-1.97482e-009 0.0080343
-1.95816e-009 0.00592816
-1.94149e-009 0.00188849
-1.92482e-009 0.00667049
-1.90816e-009 0.00989876
-1.89149e-009 0.00249272
-1.87482e-009 -0.00154695
-1.85816e-009 0.00537572
-1.84149e-009 0.0071366
-1.82482e-009 -0.00137431
-1.80816e-009 -0.00479249
-1.79149e-009 -0.00203033
-1.77482e-009 -0.00537945
-1.75816e-009 -0.0107484
-1.74149e-009 -0.00764097
-1.72482e-009 -0.00087367
-1.70816e-009 0.00188849
-1.69149e-009 0.00118069
-1.67482e-009 -0.000649244
-1.65816e-009 0.00119795
-1.64149e-009 0.00824147
-1.62482e-009 0.00943265
-1.60816e-009 0.00118069
-1.59149e-009 -0.000183129
-1.57482e-009 0.00867305
-1.55816e-009 0.00869032
-1.54149e-009 -0.00185769
-1.52482e-009 -0.0054485
-1.50816e-009 -0.00241012
-1.49149e-009 -0.0023238
-1.47482e-009 0.00147417
-1.45816e-009 0.00986424
-1.44149e-009 0.00749913
-1.42482e-009 -0.00306614
-1.40816e-009 -0.00334235
-1.39149e-009 0.0027862
-1.37482e-009 -7.95481e-005
-1.35816e-009 -0.00434364
-1.34149e-009 0.00216471
-1.32482e-009 0.00958802
-1.30816e-009 0.00805157
-1.29149e-009 0.00449528
-1.27482e-009 0.00266535
-1.25816e-009 -0.00144337
-1.24149e-009 -0.00260002
-1.22482e-009 0.00508224
-1.20816e-009 0.0104512
-1.19149e-009 0.00187123
-1.17482e-009 -0.011836
-1.15816e-009 -0.0162555
-1.14149e-009 -0.0107311
-1.12482e-009 -0.00173685
-1.10816e-009 0.00494413
-1.09149e-009 0.00337315
-1.07482e-009 -0.00361857
-1.05816e-009 -0.00244465
-1.04149e-009 0.00839684
-1.02482e-009 0.0121085
-1.00816e-009 0.00347674
-9.91492e-010 -0.00223749
-9.74825e-010 0.00128427
-9.58158e-010 0.00392559
-9.41492e-010 0.0027344
-9.24825e-010 0.00295883
-9.08158e-010 0.00242366
-8.91492e-010 -0.00087367
-8.74825e-010 -0.000752825
-8.58158e-010 0.00213018
-8.41492e-010 -0.000890933
-8.24825e-010 -0.0065361
-8.08158e-010 -0.00325603
-7.91492e-010 0.00592816
-7.74825e-010 0.00817241
-7.58158e-010 0.00252724
-7.41492e-010 -0.00192674
-7.24825e-010 -0.00170232
-7.08158e-010 0.00109437
-6.91492e-010 0.0049614
-6.74825e-010 0.00692944
-6.58158e-010 0.00358032
-6.41492e-010 -0.00227201
-6.24825e-010 -0.00425732
-6.08158e-010 -0.00337688
-5.91492e-010 -0.00546576
-5.74825e-010 -0.00884941
-5.58158e-010 -0.00712306
-5.41492e-010 -0.00306614
-5.24825e-010 -0.00484428
-5.08158e-010 -0.00931553
-4.91492e-010 -0.00572472
-4.74825e-010 0.00490961
-4.58158e-010 0.0102268
-4.41492e-010 0.00606626
-4.24825e-010 0.000231195
-4.08158e-010 -0.00256549
-3.91492e-010 -0.0047407
-3.74825e-010 -0.00508597
-3.58158e-010 0.000334776
-3.41492e-010 0.00634248
-3.24825e-010 0.00473697
-3.08158e-010 0.000731837
-2.91492e-010 0.00377022
-2.74825e-010 0.00808609
-2.58158e-010 0.00451255
-2.41492e-010 6.76951e-006
-2.24825e-010 0.00247545
-2.08158e-010 0.00309694
-1.91492e-010 -0.0034632
-1.74825e-010 -0.00451627
-1.58158e-010 0.00528941
-1.41492e-010 0.00995055
-1.24825e-010 0.00105984
-1.08158e-010 -0.00553482
-9.14915e-011 0.00200934
-7.48248e-011 0.00967434
-5.81582e-011 0.00266535
-4.14915e-011 -0.00613904
-2.48248e-011 0.00264809
-8.15818e-012 0.0195145
8.50849e-012 0.0235369
2.51752e-011 0.021638
4.18418e-011 0.0334807
5.85085e-011 0.0554227
7.51752e-011 0.0760008
9.18418e-011 0.10124
1.08508e-010 0.134524
1.25175e-010 0.164338
1.41842e-010 0.189025
1.58508e-010 0.218546
1.75175e-010 0.25183
1.91842e-010 0.281385
2.08508e-010 0.303448
2.25175e-010 0.312114
2.41842e-010 0.310388
2.58508e-010 0.31479
2.75175e-010 0.32242
2.91842e-010 0.31258
3.08508e-010 0.293331
3.25175e-010 0.287082
3.41842e-010 0.280608
3.58508e-010 0.255127
3.75175e-010 0.227868
3.91842e-010 0.209897
4.08508e-010 0.186211
4.25175e-010 0.162577
4.41842e-010 0.154343
4.58508e-010 0.140998
4.75175e-010 0.108508
4.91842e-010 0.0865488
5.08508e-010 0.0857029
5.25175e-010 0.0754138
5.41842e-010 0.0514175
5.58508e-010 0.0384526
5.75175e-010 0.0358804
5.91842e-010 0.0328938
6.08508e-010 0.0354488
6.25175e-010 0.0367781
6.41842e-010 0.0240548
6.58508e-010 0.0148361
6.75175e-010 0.0227601
6.91842e-010 0.0264717
7.08508e-010 0.0193764
7.25175e-010 0.0209819
7.41842e-010 0.0233298
7.58508e-010 0.00827599
7.75175e-010 -0.00313519
7.91842e-010 0.00610079
8.08508e-010 0.00982971
8.25175e-010 -0.00287624
8.41842e-010 -0.00498239
8.58508e-010 0.00718839
8.75175e-010 0.00888022
8.91842e-010 0.000421094
9.08508e-010 -0.000321237
9.25175e-010 0.0049614
9.41842e-010 0.00862126
9.58508e-010 0.0133342
9.75175e-010 0.016269
9.91842e-010 0.010572
1.00851e-009 0.00180218
1.02518e-009 -0.000424818
1.04184e-009 0.00321778
1.05851e-009 0.00608353
1.07518e-009 0.00484055
1.09184e-009 0.00378748
1.10851e-009 0.008604
1.12518e-009 0.0125746
1.14184e-009 0.00523761
1.15851e-009 -0.00539671
1.17518e-009 -0.00689864
1.19184e-009 -0.00703674
1.20851e-009 -0.0123021
1.22518e-009 -0.00912563
1.24184e-009 0.00396011
1.25851e-009 0.00528941
1.27518e-009 -0.00738201
1.29184e-009 -0.0104204
1.30851e-009 0.000835418
1.32518e-009 0.00706755
1.34184e-009 0.00320052
1.35851e-009 0.00152596
1.37518e-009 0.00345947
1.39184e-009 -0.000562926
1.40851e-009 -0.00874583
1.42518e-009 -0.00862499
1.44184e-009 0.000680047
1.45851e-009 0.00584184
1.47518e-009 0.00263082
1.49184e-009 0.000956263
1.50851e-009 0.00314873
1.52518e-009 0.00306241
1.54184e-009 0.00523761
1.55851e-009 0.0139039
1.57518e-009 0.0158374
1.59184e-009 0.00508224
1.60851e-009 -0.00203033
1.62518e-009 0.00123248
1.64184e-009 0.0027344
1.65851e-009 0.000455621
1.67518e-009 0.00102532
1.69184e-009 0.00118069
1.70851e-009 0.000110351
1.72518e-009 0.00382201
1.74184e-009 0.00801704
1.75851e-009 0.00758545
1.77518e-009 0.00755093
1.79184e-009 0.00451255
1.80851e-009 -0.00593188
1.82518e-009 -0.00884941
1.84184e-009 -0.00139158
1.85851e-009 -0.00556935
1.87518e-009 -0.0153923
1.89184e-009 -0.00311793
1.90851e-009 0.0149052
1.92518e-009 0.00760272
1.94184e-009 -0.00505144
