Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-12
Record Length,1000
Zero Index,310.671875
Vertical Units,V

TIME,CH1
-1.242688e-09,2.500000e-03
-1.238688e-09,2.234375e-03
-1.234688e-09,1.968750e-03
-1.230688e-09,1.718750e-03
-1.226688e-09,1.468750e-03
-1.222688e-09,1.531250e-03
-1.218687e-09,1.015625e-03
-1.214687e-09,7.031250e-04
-1.210687e-09,6.250000e-04
-1.206687e-09,7.656250e-04
-1.202687e-09,3.281250e-04
-1.198687e-09,2.343750e-04
-1.194687e-09,1.562500e-04
-1.190687e-09,1.250000e-04
-1.186687e-09,1.250000e-04
-1.182688e-09,4.687500e-04
-1.178688e-09,2.187500e-04
-1.174688e-09,2.343750e-04
-1.170688e-09,4.687500e-04
-1.166688e-09,9.531250e-04
-1.162688e-09,8.750000e-04
-1.158687e-09,1.125000e-03
-1.154687e-09,1.390625e-03
-1.150687e-09,1.703125e-03
-1.146687e-09,2.046875e-03
-1.142687e-09,2.703125e-03
-1.138687e-09,2.781250e-03
-1.134687e-09,3.078125e-03
-1.130687e-09,3.578125e-03
-1.126687e-09,4.296875e-03
-1.122688e-09,4.421875e-03
-1.118688e-09,4.843750e-03
-1.114688e-09,5.265625e-03
-1.110688e-09,5.687500e-03
-1.106688e-09,6.093750e-03
-1.102688e-09,6.796875e-03
-1.098687e-09,6.875000e-03
-1.094687e-09,7.140625e-03
-1.090687e-09,7.578125e-03
-1.086687e-09,8.187500e-03
-1.082687e-09,8.171875e-03
-1.078687e-09,8.421875e-03
-1.074687e-09,8.656250e-03
-1.070687e-09,8.828125e-03
-1.066687e-09,8.984375e-03
-1.062688e-09,9.406250e-03
-1.058688e-09,9.187500e-03
-1.054688e-09,9.125000e-03
-1.050688e-09,9.218750e-03
-1.046688e-09,9.484375e-03
-1.042688e-09,9.109375e-03
-1.038687e-09,8.984375e-03
-1.034687e-09,8.843750e-03
-1.030687e-09,8.656250e-03
-1.026687e-09,8.421875e-03
-1.022687e-09,8.468750e-03
-1.018687e-09,7.875000e-03
-1.014687e-09,7.453125e-03
-1.010687e-09,7.203125e-03
-1.006687e-09,7.140625e-03
-1.002688e-09,6.437500e-03
-9.986875e-10,6.031250e-03
-9.946875e-10,5.593750e-03
-9.906875e-10,5.156250e-03
-9.866875e-10,4.703125e-03
-9.826875e-10,4.562500e-03
-9.786875e-10,3.796875e-03
-9.746875e-10,3.250000e-03
-9.706875e-10,2.890625e-03
-9.666875e-10,2.765625e-03
-9.626875e-10,2.046875e-03
-9.586875e-10,1.640625e-03
-9.546875e-10,1.265625e-03
-9.506875e-10,9.062500e-04
-9.466875e-10,5.781250e-04
-9.426875e-10,5.937500e-04
-9.386875e-10,3.125000e-05
-9.346875e-10,-2.812500e-04
-9.306875e-10,-3.750000e-04
-9.266875e-10,-2.031250e-04
-9.226875e-10,-6.093750e-04
-9.186875e-10,-6.562500e-04
-9.146875e-10,-6.718750e-04
-9.106875e-10,-6.406250e-04
-9.066875e-10,-5.625000e-04
-9.026875e-10,-1.406250e-04
-8.986875e-10,-2.968750e-04
-8.946875e-10,-2.187500e-04
-8.906875e-10,1.093750e-04
-8.866875e-10,6.718750e-04
-8.826875e-10,6.406250e-04
-8.786875e-10,9.375000e-04
-8.746875e-10,1.265625e-03
-8.706875e-10,1.593750e-03
-8.666875e-10,1.937500e-03
-8.626875e-10,2.578125e-03
-8.586875e-10,2.625000e-03
-8.546875e-10,2.859375e-03
-8.506875e-10,3.296875e-03
-8.466875e-10,3.921875e-03
-8.426875e-10,3.921875e-03
-8.386875e-10,4.203125e-03
-8.346875e-10,4.453125e-03
-8.306875e-10,4.687500e-03
-8.266875e-10,4.890625e-03
-8.226875e-10,5.375000e-03
-8.186875e-10,5.218750e-03
-8.146875e-10,5.234375e-03
-8.106875e-10,5.421875e-03
-8.066875e-10,5.781250e-03
-8.026875e-10,5.515625e-03
-7.986875e-10,5.531250e-03
-7.946875e-10,5.500000e-03
-7.906875e-10,5.468750e-03
-7.866875e-10,5.421875e-03
-7.826875e-10,5.671875e-03
-7.786875e-10,5.281250e-03
-7.746875e-10,5.109375e-03
-7.706875e-10,5.125000e-03
-7.666875e-10,5.343750e-03
-7.626875e-10,4.968750e-03
-7.586875e-10,4.906250e-03
-7.546875e-10,4.843750e-03
-7.506875e-10,4.812500e-03
-7.466875e-10,4.781250e-03
-7.426875e-10,5.093750e-03
-7.386875e-10,4.796875e-03
-7.346875e-10,4.718750e-03
-7.306875e-10,4.875000e-03
-7.266875e-10,5.250000e-03
-7.226875e-10,5.046875e-03
-7.186875e-10,5.156250e-03
-7.146875e-10,5.281250e-03
-7.106875e-10,5.406250e-03
-7.066875e-10,5.562500e-03
-7.026875e-10,6.015625e-03
-6.986875e-10,5.875000e-03
-6.946875e-10,5.937500e-03
-6.906875e-10,6.203125e-03
-6.866875e-10,6.656250e-03
-6.826875e-10,6.500000e-03
-6.786875e-10,6.640625e-03
-6.746875e-10,6.765625e-03
-6.706875e-10,6.875000e-03
-6.666875e-10,6.953125e-03
-6.626875e-10,7.328125e-03
-6.586875e-10,7.062500e-03
-6.546875e-10,6.984375e-03
-6.506875e-10,7.078125e-03
-6.466875e-10,7.359375e-03
