LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 01-Jan-2002 00:57:59 0                 
Time Ampl
-2.9007e-009 -0.00142633
-2.88403e-009 -0.0226259
-2.86736e-009 -0.0259405
-2.8507e-009 -0.0116463
-2.83403e-009 0.00316577
-2.81736e-009 0.00596246
-2.8007e-009 -0.000977474
-2.78403e-009 -0.011232
-2.76736e-009 -0.0196221
-2.7507e-009 -0.0172397
-2.73403e-009 -0.00156443
-2.71736e-009 0.0121083
-2.7007e-009 0.00720543
-2.68403e-009 -0.0104034
-2.66736e-009 -0.0179993
-2.6507e-009 -0.00632916
-2.63403e-009 0.00623868
-2.61736e-009 0.00219901
-2.6007e-009 -0.00619106
-2.58403e-009 -0.00197876
-2.56736e-009 0.0049957
-2.5507e-009 0.0046159
-2.53403e-009 0.00924253
-2.51736e-009 0.0196006
-2.5007e-009 0.0141799
-2.48403e-009 -0.00532788
-2.46736e-009 -0.00919491
-2.4507e-009 0.00806861
-2.43403e-009 0.0173219
-2.41736e-009 0.00219901
-2.4007e-009 -0.0171016
-2.38403e-009 -0.0152717
-2.36736e-009 0.00368367
-2.3507e-009 0.0174945
-2.33403e-009 0.0184612
-2.31736e-009 0.0140763
-2.3007e-009 0.00869009
-2.28403e-009 0.00668753
-2.26736e-009 0.0113487
-2.2507e-009 0.0104855
-2.23403e-009 -0.00342889
-2.21736e-009 -0.0109558
-2.2007e-009 -0.00218592
-2.18403e-009 0.000438134
-2.16736e-009 -0.0132346
-2.1507e-009 -0.0218318
-2.13403e-009 -0.0106105
-2.11736e-009 0.0123845
-2.1007e-009 0.0256083
-2.08403e-009 0.00948422
-2.06736e-009 -0.0164456
-2.0507e-009 -0.00940207
-2.03403e-009 0.014905
-2.01736e-009 0.00551361
-2.0007e-009 -0.0187934
-1.98403e-009 -0.0106796
-1.96736e-009 0.00385631
-1.9507e-009 -0.0065018
-1.93403e-009 -0.00553504
-1.91736e-009 0.018185
-1.9007e-009 0.0189446
-1.88403e-009 -0.00387774
-1.86736e-009 -0.00912585
-1.8507e-009 -0.000217879
-1.83403e-009 -0.00159896
-1.81736e-009 -0.00874606
-1.8007e-009 -0.0128548
-1.78403e-009 -0.0102998
-1.76736e-009 0.000679823
-1.7507e-009 0.00313124
-1.73403e-009 -0.0070197
-1.71736e-009 -0.00377416
-1.7007e-009 0.00475401
-1.68403e-009 -0.0082972
-1.66736e-009 -0.0118535
-1.6507e-009 0.0116594
-1.63403e-009 0.00444327
-1.61736e-009 -0.0342961
-1.6007e-009 -0.0272871
-1.58403e-009 0.00824124
-1.56736e-009 -0.00291099
-1.5507e-009 -0.0227295
-1.53403e-009 0.00323482
-1.51736e-009 0.0173909
-1.5007e-009 -0.00798646
-1.48403e-009 -0.0110939
-1.46736e-009 0.00820672
-1.4507e-009 0.00157753
-1.43403e-009 -0.0103688
-1.41736e-009 -0.00463734
-1.4007e-009 -0.0073995
-1.38403e-009 -0.0090568
-1.36736e-009 0.0100021
-1.3507e-009 0.0140763
-1.33403e-009 -0.00222045
-1.31736e-009 0.000610769
-1.3007e-009 0.00264786
-1.28403e-009 -0.0219699
-1.26736e-009 -0.0219354
-1.2507e-009 0.0155264
-1.23403e-009 0.0244344
-1.21736e-009 0.00133584
-1.2007e-009 -0.00256572
-1.18403e-009 0.0033384
-1.16736e-009 -0.0017716
-1.1507e-009 0.00230259
-1.13403e-009 0.00572077
-1.11736e-009 -0.0109903
-1.1007e-009 -0.0139942
-1.08403e-009 0.00775786
-1.06736e-009 0.011107
-1.0507e-009 -0.00726139
-1.03403e-009 -0.0179993
-1.01736e-009 -0.0231093
-1.0007e-009 -0.0172397
-9.84031e-010 0.00903536
-9.67364e-010 0.0148704
-9.50698e-010 -0.0115773
-9.34031e-010 -0.00874606
-9.17364e-010 0.0263334
-9.00698e-010 0.0314434
-8.84031e-010 0.0243999
-8.67364e-010 0.050675
-8.50698e-010 0.060895
-8.34031e-010 0.0242273
-8.17364e-010 0.0115904
-8.00698e-010 0.0473258
-7.84031e-010 0.0679039
-7.67364e-010 0.0645894
-7.50698e-010 0.0893452
-7.34031e-010 0.150562
-7.17364e-010 0.222827
-7.00698e-010 0.29485
-6.84031e-010 0.364318
-6.67364e-010 0.441314
-6.50698e-010 0.53174
-6.34031e-010 0.603522
-6.17364e-010 0.639188
-6.00698e-010 0.683245
-5.84031e-010 0.755751
-5.67364e-010 0.801051
-5.50698e-010 0.787585
-5.34031e-010 0.758928
-5.17364e-010 0.745014
-5.00698e-010 0.718324
-4.84031e-010 0.661251
-4.67364e-010 0.604868
-4.50698e-010 0.572275
-4.34031e-010 0.53281
-4.17364e-010 0.460027
-4.00698e-010 0.392562
-3.84031e-010 0.367495
-3.67364e-010 0.345639
-3.50698e-010 0.288946
-3.34031e-010 0.233772
-3.17364e-010 0.209879
-3.00698e-010 0.188196
-2.84031e-010 0.155464
-2.67364e-010 0.130743
-2.50698e-010 0.110131
-2.34031e-010 0.0857544
-2.17364e-010 0.0729104
-2.00698e-010 0.0703554
-1.84031e-010 0.0646929
-1.67364e-010 0.0656942
-1.50698e-010 0.0714602
