Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.000000e-11
Record Length,1000
Zero Index,-0.875000
Vertical Units,V

TIME,CH1
8.750000e-12,-1.265625e-03
1.875000e-11,-2.468750e-03
2.875000e-11,-2.671875e-03
3.875000e-11,-3.015625e-03
4.875000e-11,-2.421875e-03
5.875000e-11,-1.968750e-03
6.875000e-11,-5.000000e-04
7.875000e-11,6.406250e-04
8.875000e-11,2.328125e-03
9.875000e-11,3.375000e-03
1.087500e-10,4.843750e-03
1.187500e-10,5.437500e-03
1.287500e-10,6.109375e-03
1.387500e-10,5.843750e-03
1.487500e-10,5.890625e-03
1.587500e-10,5.140625e-03
1.687500e-10,4.750000e-03
1.787500e-10,3.828125e-03
1.887500e-10,3.718750e-03
1.987500e-10,3.328125e-03
2.087500e-10,3.750000e-03
2.187500e-10,3.968750e-03
2.287500e-10,5.187500e-03
2.387500e-10,6.093750e-03
2.487500e-10,7.609375e-03
2.587500e-10,8.562500e-03
2.687500e-10,1.004688e-02
2.787500e-10,1.070312e-02
2.887500e-10,1.148437e-02
2.987500e-10,1.131250e-02
3.087500e-10,1.139062e-02
3.187500e-10,1.053125e-02
3.287500e-10,9.843750e-03
3.387500e-10,8.406250e-03
3.487500e-10,7.578125e-03
3.587500e-10,6.203125e-03
3.687500e-10,5.437500e-03
3.787500e-10,4.312500e-03
3.887500e-10,4.062500e-03
3.987500e-10,3.484375e-03
4.087500e-10,3.546875e-03
4.187500e-10,3.156250e-03
4.287500e-10,3.484375e-03
4.387500e-10,3.203125e-03
4.487500e-10,3.328125e-03
4.587500e-10,2.750000e-03
4.687500e-10,2.734375e-03
4.787500e-10,2.062500e-03
4.887500e-10,1.828125e-03
4.987500e-10,1.062500e-03
5.087500e-10,1.109375e-03
5.187500e-10,7.812500e-04
5.287500e-10,1.187500e-03
5.387500e-10,1.328125e-03
5.487500e-10,2.406250e-03
5.587500e-10,3.156250e-03
5.687500e-10,4.500000e-03
5.787500e-10,5.312500e-03
5.887500e-10,6.671875e-03
5.987500e-10,7.218750e-03
6.087500e-10,7.859375e-03
6.187500e-10,7.484375e-03
6.287500e-10,7.265625e-03
6.387500e-10,5.968750e-03
6.487500e-10,4.687500e-03
6.587500e-10,2.500000e-03
6.687500e-10,7.500000e-04
6.787500e-10,-1.625000e-03
6.887500e-10,-3.406250e-03
6.987500e-10,-5.453125e-03
7.087500e-10,-6.453125e-03
7.187500e-10,-7.484375e-03
7.287500e-10,-7.484375e-03
7.387500e-10,-7.484375e-03
7.487500e-10,-6.328125e-03
7.587500e-10,-5.296875e-03
7.687500e-10,-3.484375e-03
7.787500e-10,-2.078125e-03
7.887500e-10,1.562500e-05
7.987500e-10,1.437500e-03
8.087500e-10,3.125000e-03
8.187500e-10,3.968750e-03
8.287500e-10,5.140625e-03
8.387500e-10,5.406250e-03
8.487500e-10,5.843750e-03
8.587500e-10,5.453125e-03
8.687500e-10,5.531250e-03
8.787500e-10,4.937500e-03
8.887500e-10,4.765625e-03
8.987500e-10,4.062500e-03
9.087500e-10,4.078125e-03
9.187500e-10,3.640625e-03
9.287500e-10,3.796875e-03
9.387500e-10,3.500000e-03
9.487500e-10,3.968750e-03
9.587500e-10,3.953125e-03
9.687500e-10,4.468750e-03
9.787500e-10,4.453125e-03
9.887500e-10,5.109375e-03
9.987500e-10,5.187500e-03
1.008750e-09,5.718750e-03
1.018750e-09,5.671875e-03
1.028750e-09,6.265625e-03
1.038750e-09,6.265625e-03
1.048750e-09,6.703125e-03
1.058750e-09,6.531250e-03
1.068750e-09,6.984375e-03
1.078750e-09,6.812500e-03
1.088750e-09,7.031250e-03
1.098750e-09,6.609375e-03
1.108750e-09,6.734375e-03
1.118750e-09,6.203125e-03
1.128750e-09,6.046875e-03
1.138750e-09,5.234375e-03
1.148750e-09,5.046875e-03
1.158750e-09,4.265625e-03
1.168750e-09,3.984375e-03
1.178750e-09,3.187500e-03
1.188750e-09,3.156250e-03
1.198750e-09,2.671875e-03
1.208750e-09,2.796875e-03
1.218750e-09,2.500000e-03
1.228750e-09,2.984375e-03
1.238750e-09,3.000000e-03
1.248750e-09,3.531250e-03
1.258750e-09,3.500000e-03
1.268750e-09,4.093750e-03
1.278750e-09,4.031250e-03
1.288750e-09,4.312500e-03
1.298750e-09,3.890625e-03
1.308750e-09,3.968750e-03
1.318750e-09,3.359375e-03
1.328750e-09,3.109375e-03
1.338750e-09,2.250000e-03
1.348750e-09,2.031250e-03
1.358750e-09,1.312500e-03
1.368750e-09,1.156250e-03
1.378750e-09,5.937500e-04
1.388750e-09,8.437500e-04
1.398750e-09,7.187500e-04
1.408750e-09,1.218750e-03
1.418750e-09,1.265625e-03
1.428750e-09,2.046875e-03
1.438750e-09,2.281250e-03
1.448750e-09,2.921875e-03
1.458750e-09,2.906250e-03
1.468750e-09,3.375000e-03
1.478750e-09,3.093750e-03
1.488750e-09,3.093750e-03
1.498750e-09,2.359375e-03
1.508750e-09,2.171875e-03
1.518750e-09,1.359375e-03
1.528750e-09,1.046875e-03
1.538750e-09,2.656250e-04
1.548750e-09,3.593750e-04
1.558750e-09,1.250000e-04
1.568750e-09,6.718750e-04
1.578750e-09,9.687500e-04
1.588750e-09,2.218750e-03
