Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.000000e-11
Record Length,1000
Zero Index,-0.875000
Vertical Units,V

TIME,CH1
8.750000e-12,1.818750e-02
1.875000e-11,1.775000e-02
2.875000e-11,1.817188e-02
3.875000e-11,1.785938e-02
4.875000e-11,1.817188e-02
5.875000e-11,1.773437e-02
6.875000e-11,1.817188e-02
7.875000e-11,1.785938e-02
8.875000e-11,1.817188e-02
9.875000e-11,1.773437e-02
1.087500e-10,1.817188e-02
1.187500e-10,1.785938e-02
1.287500e-10,1.817188e-02
1.387500e-10,1.773437e-02
1.487500e-10,1.817188e-02
1.587500e-10,1.785938e-02
1.687500e-10,1.817188e-02
1.787500e-10,1.773437e-02
1.887500e-10,1.817188e-02
1.987500e-10,1.785938e-02
2.087500e-10,1.817188e-02
2.187500e-10,1.773437e-02
2.287500e-10,1.815625e-02
2.387500e-10,1.784375e-02
2.487500e-10,1.815625e-02
2.587500e-10,1.771875e-02
2.687500e-10,1.815625e-02
2.787500e-10,1.784375e-02
2.887500e-10,1.815625e-02
2.987500e-10,1.773437e-02
3.087500e-10,1.817188e-02
3.187500e-10,1.785938e-02
3.287500e-10,1.817188e-02
3.387500e-10,1.773437e-02
3.487500e-10,1.817188e-02
3.587500e-10,1.785938e-02
3.687500e-10,1.817188e-02
3.787500e-10,1.775000e-02
3.887500e-10,1.818750e-02
3.987500e-10,1.787500e-02
4.087500e-10,1.818750e-02
4.187500e-10,1.775000e-02
4.287500e-10,1.818750e-02
4.387500e-10,1.787500e-02
4.487500e-10,1.818750e-02
4.587500e-10,1.775000e-02
4.687500e-10,1.818750e-02
4.787500e-10,1.787500e-02
4.887500e-10,1.818750e-02
4.987500e-10,1.775000e-02
5.087500e-10,1.818750e-02
5.187500e-10,1.787500e-02
5.287500e-10,1.818750e-02
5.387500e-10,1.775000e-02
5.487500e-10,1.818750e-02
5.587500e-10,1.787500e-02
5.687500e-10,1.818750e-02
5.787500e-10,1.775000e-02
5.887500e-10,1.817188e-02
5.987500e-10,1.785938e-02
6.087500e-10,1.817188e-02
6.187500e-10,1.773437e-02
6.287500e-10,1.817188e-02
6.387500e-10,1.785938e-02
6.487500e-10,1.817188e-02
6.587500e-10,1.775000e-02
6.687500e-10,1.818750e-02
6.787500e-10,1.787500e-02
6.887500e-10,1.818750e-02
6.987500e-10,1.775000e-02
7.087500e-10,1.818750e-02
7.187500e-10,1.787500e-02
7.287500e-10,1.818750e-02
7.387500e-10,1.775000e-02
7.487500e-10,1.818750e-02
7.587500e-10,1.787500e-02
7.687500e-10,1.818750e-02
7.787500e-10,1.775000e-02
7.887500e-10,1.818750e-02
7.987500e-10,1.787500e-02
8.087500e-10,1.818750e-02
8.187500e-10,1.775000e-02
8.287500e-10,1.818750e-02
8.387500e-10,1.787500e-02
8.487500e-10,1.818750e-02
8.587500e-10,1.775000e-02
8.687500e-10,1.818750e-02
8.787500e-10,1.787500e-02
8.887500e-10,1.818750e-02
8.987500e-10,1.775000e-02
9.087500e-10,1.817188e-02
9.187500e-10,1.785938e-02
9.287500e-10,1.817188e-02
9.387500e-10,1.771875e-02
9.487500e-10,1.815625e-02
9.587500e-10,1.784375e-02
9.687500e-10,1.815625e-02
9.787500e-10,1.771875e-02
9.887500e-10,1.815625e-02
9.987500e-10,1.784375e-02
1.008750e-09,1.815625e-02
1.018750e-09,1.771875e-02
1.028750e-09,1.815625e-02
1.038750e-09,1.784375e-02
1.048750e-09,1.815625e-02
1.058750e-09,1.771875e-02
1.068750e-09,1.817188e-02
1.078750e-09,1.785938e-02
1.088750e-09,1.817188e-02
1.098750e-09,1.775000e-02
1.108750e-09,1.818750e-02
1.118750e-09,1.787500e-02
1.128750e-09,1.818750e-02
1.138750e-09,1.776563e-02
1.148750e-09,1.820312e-02
1.158750e-09,1.789063e-02
1.168750e-09,1.820312e-02
1.178750e-09,1.776563e-02
1.188750e-09,1.820312e-02
1.198750e-09,1.789063e-02
1.208750e-09,1.820312e-02
1.218750e-09,1.776563e-02
1.228750e-09,1.820312e-02
1.238750e-09,1.789063e-02
1.248750e-09,1.820312e-02
1.258750e-09,1.776563e-02
1.268750e-09,1.818750e-02
1.278750e-09,1.787500e-02
1.288750e-09,1.818750e-02
1.298750e-09,1.775000e-02
1.308750e-09,1.817188e-02
1.318750e-09,1.785938e-02
1.328750e-09,1.817188e-02
1.338750e-09,1.773437e-02
1.348750e-09,1.817188e-02
1.358750e-09,1.785938e-02
1.368750e-09,1.817188e-02
1.378750e-09,1.773437e-02
1.388750e-09,1.817188e-02
1.398750e-09,1.785938e-02
1.408750e-09,1.817188e-02
1.418750e-09,1.773437e-02
1.428750e-09,1.817188e-02
1.438750e-09,1.785938e-02
1.448750e-09,1.817188e-02
1.458750e-09,1.775000e-02
1.468750e-09,1.818750e-02
1.478750e-09,1.787500e-02
1.488750e-09,1.818750e-02
1.498750e-09,1.775000e-02
1.508750e-09,1.818750e-02
1.518750e-09,1.787500e-02
1.528750e-09,1.818750e-02
1.538750e-09,1.775000e-02
1.548750e-09,1.818750e-02
1.558750e-09,1.787500e-02
1.568750e-09,1.818750e-02
1.578750e-09,1.775000e-02
1.588750e-09,1.818750e-02
1.598750e-09,1.787500e-02
