LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 01-Jan-2002 01:31:27 0                 
Time Ampl
-2.51124e-009 -0.00581103
-2.49457e-009 -0.00272087
-2.47791e-009 0.00105984
-2.46124e-009 0.00494413
-2.44457e-009 0.00187123
-2.42791e-009 -0.00865951
-2.41124e-009 -0.0112145
-2.39457e-009 -0.00128799
-2.37791e-009 0.00214745
-2.36124e-009 -0.00746833
-2.34457e-009 -0.0110246
-2.32791e-009 -0.00330783
-2.31124e-009 -0.00184043
-2.29457e-009 -0.00779634
-2.27791e-009 -0.00517228
-2.26124e-009 0.00371843
-2.24457e-009 0.00648059
-2.22791e-009 0.00634248
-2.21124e-009 0.00630795
-2.19457e-009 -0.00113262
-2.17791e-009 -0.0109038
-2.16124e-009 -0.0100233
-2.14457e-009 -0.00413647
-2.12791e-009 -0.00363583
-2.11124e-009 -0.00406742
-2.09457e-009 -0.00386026
-2.07791e-009 -0.00712306
-2.06124e-009 -0.00501691
-2.04457e-009 0.00572099
-2.02791e-009 0.00711934
-2.01124e-009 -0.0025137
-1.99457e-009 -0.000649244
-1.97791e-009 0.00915643
-1.96124e-009 0.0022165
-1.94457e-009 -0.0111109
-1.92791e-009 -0.00456806
-1.91124e-009 0.00825873
-1.89457e-009 0.00397738
-1.87791e-009 -0.00442995
-1.86124e-009 -0.00297982
-1.84457e-009 -0.00427458
-1.82791e-009 -0.00888394
-1.81124e-009 -0.000752825
-1.79457e-009 0.0111417
-1.77791e-009 0.00570373
-1.76124e-009 -0.00827972
-1.74457e-009 -0.0111973
-1.72791e-009 -0.00524134
-1.71124e-009 0.00192302
-1.69457e-009 0.00862126
-1.67791e-009 0.0075164
-1.66124e-009 -0.00114989
-1.64457e-009 -0.00132252
-1.62791e-009 0.00753366
-1.61124e-009 0.00756819
-1.59457e-009 0.000144878
-1.57791e-009 -0.0010463
-1.56124e-009 -0.00168505
-1.54457e-009 -0.00674326
-1.52791e-009 -0.00432637
-1.51124e-009 0.00169859
-1.49457e-009 -0.00349772
-1.47791e-009 -0.00650158
-1.46124e-009 0.00634248
-1.44457e-009 0.0116942
-1.42791e-009 -0.00253097
-1.41124e-009 -0.00874583
-1.39457e-009 0.00142238
-1.37791e-009 0.00275167
-1.36124e-009 -0.00719212
-1.34457e-009 -0.00907384
-1.32791e-009 -0.00299708
-1.31124e-009 0.00249272
-1.29457e-009 0.00672228
-1.27791e-009 0.00456434
-1.26124e-009 -0.00178864
-1.24457e-009 0.00194028
-1.22791e-009 0.00944991
-1.21124e-009 0.00402917
-1.19457e-009 -0.00178864
-1.17791e-009 0.00454707
-1.16124e-009 0.00535846
-1.14457e-009 -0.00234107
-1.12791e-009 0.00109437
-1.11124e-009 0.00654964
-1.09457e-009 -0.00322151
-1.07791e-009 -0.00917742
-1.06124e-009 0.000421094
-1.04457e-009 0.00575552
-1.02791e-009 0.00736103
-1.01124e-009 0.0172703
-9.94574e-010 0.0145426
-9.77907e-010 -0.00836604
-9.61241e-010 -0.0157203
-9.44574e-010 0.000421094
-9.27907e-010 0.00737829
-9.11241e-010 0.000852682
-8.94574e-010 -0.00154695
-8.77907e-010 -0.00258276
-8.61241e-010 -0.00159874
-8.44574e-010 0.00794799
-8.27907e-010 0.00794799
-8.11241e-010 -0.00701948
-7.94574e-010 -0.00689864
-7.77907e-010 0.00853495
-7.61241e-010 0.00710207
-7.44574e-010 -0.00367036
-7.27907e-010 0.000144878
-7.11241e-010 0.00299336
-6.94574e-010 -0.00356678
-6.77907e-010 0.0016468
-6.61241e-010 0.00982971
-6.44574e-010 -0.00158147
-6.27907e-010 -0.0121295
-6.11241e-010 -0.00437816
-5.94574e-010 9.30871e-005
-5.77907e-010 -0.00152968
-5.61241e-010 0.00711934
-5.44574e-010 0.00972613
-5.27907e-010 -0.00349772
-5.11241e-010 -0.00192674
-4.94574e-010 0.0158547
-4.77907e-010 0.012471
-4.61241e-010 -0.00670874
-4.44574e-010 -0.00591462
-4.27907e-010 0.00729197
-4.11241e-010 0.00791346
-3.94574e-010 0.00226829
-3.77907e-010 -0.000994514
-3.61241e-010 -0.00733022
-3.44574e-010 -0.010593
-3.27907e-010 -0.00399837
-3.11241e-010 0.00133606
-2.94574e-010 -0.00130526
-2.77907e-010 -0.00532766
-2.61241e-010 -0.00848688
-2.44574e-010 -0.010265
-2.27907e-010 -0.00520681
-2.11241e-010 0.00463339
-1.94574e-010 0.00915643
-1.77907e-010 0.00383927
-1.61241e-010 -0.00598367
-1.44574e-010 -0.00865951
-1.27907e-010 -0.000511136
-1.11241e-010 0.00332136
-9.45739e-011 -0.0062081
-7.79073e-011 -0.0112663
-6.12406e-011 -0.000701035
-4.45739e-011 0.00872484
-2.79073e-011 0.00848316
-1.12406e-011 0.0109518
5.42605e-012 0.0189621
2.20927e-011 0.0273867
3.87594e-011 0.0403171
5.54261e-011 0.0560614
7.20927e-011 0.0682667
8.87594e-011 0.088068
1.05426e-010 0.124684
1.22093e-010 0.163475
1.38759e-010 0.195637
1.55426e-010 0.230768
1.72093e-010 0.267056
1.88759e-010 0.295541
2.05426e-010 0.322886
2.22093e-010 0.351958
2.38759e-010 0.369567
2.55426e-010 0.372795
2.72093e-010 0.371483
2.88759e-010 0.368065
3.05426e-010 0.361608
3.22093e-010 0.350784
3.38759e-010 0.328756
3.55426e-010 0.302602
3.72093e-010 0.291691
3.88759e-010 0.285235
4.05426e-010 0.253901
4.22093e-010 0.210414
