LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 402
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 09:52:38 0                 
Time Ampl
-3.0184e-009 -0.0012775
-2.9684e-009 -0.00438493
-2.9184e-009 -0.000172635
-2.8684e-009 0.00752689
-2.8184e-009 0.00220973
-2.7684e-009 -0.0146049
-2.7184e-009 -0.0162968
-2.6684e-009 0.000414324
-2.6184e-009 0.00276216
-2.5684e-009 -0.010807
-2.5184e-009 -0.00794122
-2.4684e-009 0.00310743
-2.4184e-009 -0.00504095
-2.3684e-009 -0.013362
-2.3184e-009 -0.00314196
-2.2684e-009 0.00269311
-2.2184e-009 -0.00441946
-2.1684e-009 -0.0058696
-2.1184e-009 -0.000897703
-2.0684e-009 0.00155372
-2.0184e-009 0.00365987
-1.9684e-009 0.00431588
-1.9184e-009 0.000621487
-1.8684e-009 -0.00245142
-1.8184e-009 -0.00093223
-1.7684e-009 0.00376345
-1.7184e-009 0.00517905
-1.6684e-009 -0.00120845
-1.6184e-009 -0.00393608
-1.5684e-009 0.00459209
-1.5184e-009 0.00849365
-1.4684e-009 0.00317649
-1.4184e-009 0.00555885
-1.3684e-009 0.012775
-1.3184e-009 0.0109796
-1.2684e-009 0.0084246
-1.2184e-009 0.00959851
-1.1684e-009 0.00324554
-1.1184e-009 -0.00479926
-1.0684e-009 0.000759595
-1.0184e-009 0.0107724
-9.68398e-010 0.00656014
-9.18398e-010 -0.00397061
-8.68398e-010 0.00514453
-8.18398e-010 0.0315232
-7.68398e-010 0.0507547
-7.18398e-010 0.079205
-6.68398e-010 0.15002
-6.18398e-010 0.23941
-5.68398e-010 0.322966
-5.18398e-010 0.427376
-4.68398e-010 0.534168
-4.18398e-010 0.582851
-3.68398e-010 0.595557
-3.18398e-010 0.620175
-2.68398e-010 0.628772
-2.18398e-010 0.607503
-1.68398e-010 0.590516
-1.18398e-010 0.566312
-6.83978e-011 0.505752
-1.83978e-011 0.418088
3.16022e-011 0.302698
8.16022e-011 0.15917
1.31602e-010 0.0159515
1.81602e-010 -0.130478
2.31602e-010 -0.299557
2.81602e-010 -0.451096
3.31602e-010 -0.542523
3.81602e-010 -0.590309
4.31602e-010 -0.613062
4.81602e-010 -0.609402
5.31602e-010 -0.59276
5.81602e-010 -0.576429
6.31602e-010 -0.55409
6.81602e-010 -0.514694
7.31602e-010 -0.450819
7.81602e-010 -0.364433
8.31602e-010 -0.26831
8.81602e-010 -0.169977
9.31602e-010 -0.0744057
9.81602e-010 0.002555
1.0316e-009 0.0456447
1.0816e-009 0.0557266
1.1316e-009 0.042848
