LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 102
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 12:48:44 0                 
Time Ampl
-1.7149e-009 -0.0209752
-1.6649e-009 -0.00897703
-1.6149e-009 -0.00621487
-1.5649e-009 0.00103581
-1.5149e-009 -0.00164003
-1.4649e-009 -0.00820017
-1.4149e-009 0.00233057
-1.3649e-009 0.00103581
-1.3149e-009 -0.0206299
-1.2649e-009 -0.0133792
-1.2149e-009 0.0149329
-1.1649e-009 0.0110486
-1.1149e-009 -0.0103581
-1.0649e-009 -0.0116529
-1.0149e-009 -0.0049201
-9.6493e-010 -0.00405693
-9.1493e-010 -0.000431588
-8.6493e-010 0.0078549
-8.1493e-010 0.0113939
-7.6493e-010 -0.000863176
-7.1493e-010 -0.022011
-6.6493e-010 -0.0212341
-6.1493e-010 0.00483378
-5.6493e-010 0.0182993
-5.1493e-010 0.00768226
-4.6493e-010 -0.00302112
-4.1493e-010 -0.00517905
-3.6493e-010 0.000863176
-3.1493e-010 0.014674
-2.6493e-010 0.0176088
-2.1493e-010 0.0083728
-1.6493e-010 0.0167456
-1.1493e-010 0.0422093
-6.4927e-011 0.0802753
-1.4927e-011 0.187395
3.5073e-011 0.386875
8.5073e-011 0.602583
1.3507e-010 0.793863
1.8507e-010 0.991789
2.3507e-010 1.16969
2.8507e-010 1.26473
3.3507e-010 1.29028
3.8507e-010 1.29407
4.3507e-010 1.29502
4.8507e-010 1.28924
5.3507e-010 1.24254
5.8507e-010 1.13214
6.3507e-010 0.990408
6.8507e-010 0.822261
7.3507e-010 0.581694
7.8507e-010 0.27941
8.3507e-010 -0.0303838
8.8507e-010 -0.345788
9.3507e-010 -0.669479
9.8507e-010 -0.953464
1.0351e-009 -1.16201
1.0851e-009 -1.28786
1.1351e-009 -1.31617
1.1851e-009 -1.27854
1.2351e-009 -1.26196
1.2851e-009 -1.26801
1.3351e-009 -1.20033
1.3851e-009 -1.04729
1.4351e-009 -0.897962
1.4851e-009 -0.768658
1.5351e-009 -0.596195
1.5851e-009 -0.369526
1.6351e-009 -0.149502
1.6851e-009 -0.00267584
1.7351e-009 0.0593002
1.7851e-009 0.0879576
1.8351e-009 0.105307
1.8851e-009 0.0679319
1.9351e-009 -0.0186446
1.9851e-009 -0.0768226
2.0351e-009 -0.0769953
2.0851e-009 -0.0543801
2.1351e-009 -0.0391019
2.1851e-009 -0.0472157
2.2351e-009 -0.0683635
2.2851e-009 -0.0649108
2.3351e-009 -0.0477336
2.3851e-009 -0.073111
2.4351e-009 -0.127059
2.4851e-009 -0.137677
2.5351e-009 -0.107724
2.5851e-009 -0.0958988
2.6351e-009 -0.0865765
2.6851e-009 -0.0329733
2.7351e-009 0.0206299
2.7851e-009 0.0235647
2.8351e-009 0.0228742
2.8851e-009 0.0401377
2.9351e-009 0.0176088
2.9851e-009 -0.0340954
3.0351e-009 -0.0511863
3.0851e-009 -0.0454894
3.1351e-009 -0.0317649
3.1851e-009 0.010876
3.2351e-009 0.0233921
3.2851e-009 -0.0431588
3.3351e-009 -0.0833828
