LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 12:51:40 0                 
Time Ampl
-1.51406e-009 0.0245142
-1.4974e-009 0.0239963
-1.48073e-009 0.0311606
-1.46406e-009 0.0160551
-1.4474e-009 -0.0483378
-1.43073e-009 -0.058696
-1.41406e-009 0.0204573
-1.3974e-009 0.0554159
-1.38073e-009 0.0153645
-1.36406e-009 0.0196804
-1.3474e-009 0.0614581
-1.33073e-009 0.0343544
-1.31406e-009 -0.0250321
-1.2974e-009 -0.0204573
-1.28073e-009 0.0164867
-1.26406e-009 0.0157098
-1.2474e-009 -0.0124297
-1.23073e-009 -0.0241689
-1.21406e-009 -0.0049201
-1.1974e-009 0.0170046
-1.18073e-009 0.00750963
-1.16406e-009 -0.00336639
-1.1474e-009 0.0263269
-1.13073e-009 0.0467841
-1.11406e-009 0.00975389
-1.0974e-009 -0.0277079
-1.08073e-009 -0.0233057
-1.06406e-009 -0.0112213
-1.0474e-009 0.00759595
-1.03073e-009 0.0389292
-1.01406e-009 0.0252047
-9.97398e-010 -0.0277943
-9.80731e-010 -0.0323691
-9.64064e-010 -0.0058696
-9.47398e-010 -0.0264132
-9.30731e-010 -0.0477336
-9.14064e-010 -0.00595591
-8.97398e-010 0.0391019
-8.80731e-010 0.0340954
-8.64064e-010 0.00750963
-8.47398e-010 -0.0172635
-8.30731e-010 -0.014674
-8.14064e-010 0.0309017
-7.97398e-010 0.0411735
-7.80731e-010 -0.0256363
-7.64064e-010 -0.0510137
-7.47398e-010 0.0117392
-7.30731e-010 0.0290027
-7.14064e-010 -0.0250321
-6.97398e-010 -0.0201983
-6.80731e-010 0.0357355
-6.64064e-010 0.029089
-6.47398e-010 -0.00681909
-6.30731e-010 0.0150193
-6.14064e-010 0.0587823
-5.97398e-010 0.0643066
-5.80731e-010 0.0294343
-5.64064e-010 -0.0268448
-5.47398e-010 -0.0430725
-5.30731e-010 0.0215794
-5.14064e-010 0.0704351
-4.97398e-010 0.02555
-4.80731e-010 -0.00621487
-4.64064e-010 0.0469568
-4.47398e-010 0.0697446
-4.30731e-010 0.0137245
-4.14064e-010 -0.0044022
