LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 2002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:04:42 0                 
Time Ampl
-1.001954e-008 0.0151919
-9.994541e-009 0.0422956
-9.969541e-009 0.0493737
-9.944541e-009 0.0330596
-9.919541e-009 0.00474747
-9.894541e-009 -0.0257226
-9.869541e-009 -0.0403103
-9.844541e-009 -0.019853
-9.819541e-009 0.0212341
-9.794541e-009 0.042123
-9.769541e-009 0.029089
-9.744541e-009 0.00681909
-9.719541e-009 -0.00405693
-9.694541e-009 -0.00535169
-9.669541e-009 -0.00474747
-9.644541e-009 -0.00699172
-9.619541e-009 -0.0101855
-9.594541e-009 -0.00699172
-9.569541e-009 -0.000431588
-9.544541e-009 -0.00189899
-9.519541e-009 -0.00422956
-9.494541e-009 0.00699172
-9.469541e-009 0.0124297
-9.444541e-009 -0.00958125
-9.419541e-009 -0.0272764
-9.394541e-009 -0.00906335
-9.369541e-009 0.00578328
-9.344541e-009 -0.0167456
-9.319541e-009 -0.0296932
-9.294541e-009 -0.00189899
-9.269541e-009 0.0103581
-9.244541e-009 -0.0151056
-9.219541e-009 -0.0105307
-9.194541e-009 0.034527
-9.169541e-009 0.0355628
-9.144541e-009 -0.0140698
-9.119541e-009 -0.0226152
-9.094541e-009 0.0126024
-9.069541e-009 0.00621487
-9.044541e-009 -0.0282258
-9.019541e-009 -0.00750963
-8.994541e-009 0.0410872
-8.969541e-009 0.0342681
-8.944541e-009 -0.00155372
-8.919541e-009 -0.00310743
-8.894541e-009 -0.00336639
-8.869541e-009 -0.0375481
-8.844541e-009 -0.0480789
-8.819541e-009 -0.00707804
-8.794541e-009 0.0166593
-8.769541e-009 -0.00500642
-8.744541e-009 -0.0134655
-8.719541e-009 0.0049201
-8.694541e-009 -0.0034527
-8.669541e-009 -0.0396198
-8.644541e-009 -0.0498916
-8.619541e-009 -0.0283985
-8.594541e-009 -0.0100992
-8.569541e-009 -0.000431588
-8.544541e-009 0.00923598
-8.519541e-009 0.00802753
-8.494541e-009 -0.00621487
-8.469541e-009 -0.0178677
-8.444541e-009 -0.0228742
-8.419541e-009 -0.0222699
-8.394541e-009 -0.00681909
-8.369541e-009 0.0126024
-8.344541e-009 0.00647382
-8.319541e-009 -0.0166593
-8.294541e-009 -0.0172635
-8.269541e-009 0.00310743
-8.244541e-009 0.00820017
-8.219541e-009 -0.00319375
-8.194541e-009 -0.00681909
-8.169541e-009 -0.00794122
-8.144541e-009 -0.0205436
-8.119541e-009 -0.0264995
-8.094541e-009 -0.0120845
-8.069541e-009 -0.000517905
-8.044541e-009 -0.00681909
-8.019541e-009 -0.0105307
-7.994541e-009 -0.00328007
-7.969541e-009 -0.00466115
-7.944541e-009 -0.0153645
-7.919541e-009 -0.0104444
-7.894541e-009 0.00863176
-7.869541e-009 0.0150193
-7.844541e-009 0.0078549
-7.819541e-009 0.00716436
-7.794541e-009 0.00656014
-7.769541e-009 -0.0110486
-7.744541e-009 -0.02719
-7.719541e-009 -0.0176088
-7.694541e-009 -0.00431588
-7.669541e-009 -0.0142424
-7.644541e-009 -0.0170909
-7.619541e-009 0.0210615
-7.594541e-009 0.0623213
-7.569541e-009 0.052999
-7.544541e-009 0.0150193
-7.519541e-009 -0.000604223
-7.494541e-009 -0.00129476
-7.469541e-009 -0.0157098
-7.444541e-009 -0.0248595
-7.419541e-009 -0.00906335
-7.394541e-009 0.00103581
-7.369541e-009 -0.0119118
-7.344541e-009 -0.0116529
-7.319541e-009 0.014415
-7.294541e-009 0.0222699
-7.269541e-009 -0.00103581
-7.244541e-009 -0.0131203
-7.219541e-009 -0.00336639
-7.194541e-009 -0.00578328
-7.169541e-009 -0.0139834
-7.144541e-009 0.0078549
-7.119541e-009 0.0373755
-7.094541e-009 0.0239963
-7.069541e-009 -0.0149329
-7.044541e-009 -0.0285711
-7.019541e-009 -0.0234784
-6.994541e-009 -0.0284848
-6.969541e-009 -0.0242552
-6.944541e-009 0.00578328
-6.919541e-009 0.022011
-6.894541e-009 0.00129476
-6.869541e-009 -0.0126887
-6.844541e-009 0.00750963
-6.819541e-009 0.0214068
-6.794541e-009 0.00129476
-6.769541e-009 -0.0208889
-6.744541e-009 -0.0223563
-6.719541e-009 -0.0231331
-6.694541e-009 -0.0263269
-6.669541e-009 -0.00794122
-6.644541e-009 0.0227015
-6.619541e-009 0.0266721
-6.594541e-009 0.00561064
-6.569541e-009 -0.000949493
-6.544541e-009 0.0123434
-6.519541e-009 0.00845912
-6.494541e-009 -0.0224426
-6.469541e-009 -0.0428135
-6.444541e-009 -0.0292617
-6.419541e-009 -0.00828649
-6.394541e-009 -0.00992652
-6.369541e-009 -0.0196804
-6.344541e-009 -0.00906335
-6.319541e-009 0.0117392
-6.294541e-009 0.0122571
-6.269541e-009 -0.00189899
-6.244541e-009 0.00103581
-6.219541e-009 0.0189899
-6.194541e-009 0.0195078
-6.169541e-009 0.00138108
-6.144541e-009 -0.00189899
-6.119541e-009 0.0159688
-6.094541e-009 0.0214068
-6.069541e-009 -0.000172635
-6.044541e-009 -0.0170046
-6.019541e-009 -0.00250321
-5.994541e-009 0.0225289
-5.969541e-009 0.0208025
-5.944541e-009 -0.00578328
-5.919541e-009 -0.0191625
-5.894541e-009 -0.0029348
-5.869541e-009 0.0145877
-5.844541e-009 0.00854544
-5.819541e-009 -0.00526537
-5.794541e-009 -0.00535169
-5.769541e-009 -0.00267584
-5.744541e-009 -0.0124297
-5.719541e-009 -0.021752
-5.694541e-009 -0.0169182
-5.669541e-009 -0.00820017
-5.644541e-009 -0.00336639
-5.619541e-009 0.00802753
-5.594541e-009 0.0242552
-5.569541e-009 0.0278806
-5.544541e-009 0.0202846
-5.519541e-009 0.0201983
-5.494541e-009 0.0279669
-5.469541e-009 0.0302975
-5.444541e-009 0.0301248
-5.419541e-009 0.0359081
-5.394541e-009 0.0365123
-5.369541e-009 0.0197667
-5.344541e-009 -0.00328007
-5.319541e-009 -0.0186446
-5.294541e-009 -0.0305564
-5.269541e-009 -0.0395334
-5.244541e-009 -0.031247
-5.219541e-009 -0.00768226
-5.194541e-009 0.00328007
-5.169541e-009 -0.00992652
-5.144541e-009 -0.0225289
-5.119541e-009 -0.0170909
-5.094541e-009 -0.0143287
-5.069541e-009 -0.0334912
-5.044541e-009 -0.0498916
-5.019541e-009 -0.0298659
-4.994541e-009 0.0138971
-4.969541e-009 0.0387566
-4.944541e-009 0.0297796
-4.919541e-009 0.00949493
-4.894541e-009 -0.00172635
-4.869541e-009 -0.0063875
-4.844541e-009 -0.0113076
-4.819541e-009 -0.0115666
-4.794541e-009 0.000431588
-4.769541e-009 0.0173498
-4.744541e-009 0.0200257
-4.719541e-009 0.00310743
-4.694541e-009 -0.0134655
-4.669541e-009 -0.0109623
-4.644541e-009 0.00371166
-4.619541e-009 0.0105307
-4.594541e-009 -0.000431588
-4.569541e-009 -0.0251184
-4.544541e-009 -0.0453167
-4.519541e-009 -0.038325
-4.494541e-009 -0.0115666
-4.469541e-009 -0.00215794
-4.444541e-009 -0.016314
-4.419541e-009 -0.0162277
-4.394541e-009 0.00405693
-4.369541e-009 0.00474747
-4.344541e-009 -0.011135
-4.319541e-009 0.0044022
-4.294541e-009 0.0390155
-4.269541e-009 0.0340091
-4.244541e-009 0.00854544
-4.219541e-009 0.0273627
-4.194541e-009 0.056797
-4.169541e-009 0.0173498
-4.144541e-009 -0.0495463
-4.119541e-009 -0.0406556
-4.094541e-009 0.023651
-4.069541e-009 0.042123
-4.044541e-009 0.00828649
