LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:13:31 0                 
Time Ampl
-1.000558e-008 -0.0553296
-9.988914e-009 -0.00233057
-9.972248e-009 0.0781174
-9.955581e-009 0.0330596
-9.938914e-009 -0.039965
-9.922248e-009 -0.0122571
-9.905581e-009 0.0296069
-9.888914e-009 0.00820017
-9.872248e-009 -0.00414324
-9.855581e-009 0.00483378
-9.838914e-009 -0.0315922
-9.822248e-009 -0.0578328
-9.805581e-009 0.0123434
-9.788914e-009 0.0863176
-9.772248e-009 0.0461799
-9.755581e-009 -0.0308154
-9.738914e-009 -0.0247731
-9.722248e-009 0.0229605
-9.705581e-009 0.02555
-9.688914e-009 0.00647382
-9.672248e-009 0.0148466
-9.655581e-009 0.0250321
-9.638914e-009 0.0116529
-9.622248e-009 0.016314
-9.605581e-009 0.0547253
-9.588914e-009 0.0553296
-9.572248e-009 -0.0100128
-9.555581e-009 -0.0415188
-9.538914e-009 0.0181267
-9.522248e-009 0.064134
-9.505581e-009 0.0218383
-9.488914e-009 -0.0214068
-9.472248e-009 -0.00612855
-9.455581e-009 0.00276216
-9.438914e-009 -0.0113939
-9.422248e-009 0.00379797
-9.405581e-009 0.0226152
-9.388914e-009 0.00612855
-9.372248e-009 0.0044022
-9.355581e-009 0.023651
-9.338914e-009 -0.0063875
-9.322248e-009 -0.0569696
-9.305581e-009 -0.0461799
-9.288914e-009 -0.0116529
-9.272248e-009 -0.00690541
-9.255581e-009 0.0100992
-9.238914e-009 0.0296069
-9.222248e-009 -0.0100128
-9.205581e-009 -0.0443672
-9.188914e-009 0.00794122
-9.172248e-009 0.0549843
-9.155581e-009 0.0109623
-9.138914e-009 -0.0349586
-9.122248e-009 -0.0106171
-9.105581e-009 0.0208889
-9.088914e-009 0.0158824
-9.072248e-009 0.00181267
-9.055581e-009 -0.0118255
-9.038914e-009 -0.0257226
-9.022248e-009 -0.0225289
-9.005581e-009 0.00250321
-8.988914e-009 0.0441083
-8.972248e-009 0.080189
-8.955581e-009 0.0569696
-8.938914e-009 -0.018472
-8.922248e-009 -0.0409145
-8.905581e-009 0.0232194
-8.888914e-009 0.0635297
-8.872248e-009 0.0173498
-8.855581e-009 -0.036685
-8.838914e-009 -0.0294343
-8.822248e-009 0.00353902
-8.805581e-009 0.00673277
-8.788914e-009 -0.0126887
-8.772248e-009 -0.0113939
-8.755581e-009 0.011135
-8.738914e-009 0.0117392
-8.722248e-009 -0.00828649
-8.705581e-009 -0.0124297
-8.688914e-009 -0.0195078
-8.672248e-009 -0.044022
-8.655581e-009 -0.0231331
-8.638914e-009 0.0427272
-8.622248e-009 0.0481652
-8.605581e-009 -0.00319375
-8.588914e-009 -0.00310743
-8.572248e-009 0.0270174
-8.555581e-009 0.00207162
-8.538914e-009 -0.0322828
-8.522248e-009 -0.0247731
-8.505581e-009 -0.0176951
-8.488914e-009 -0.00215794
-8.472248e-009 0.0376345
-8.455581e-009 0.00880439
-8.438914e-009 -0.0820017
-8.422248e-009 -0.0719025
-8.405581e-009 0.0252047
-8.388914e-009 0.0315059
-8.372248e-009 -0.0343544
-8.355581e-009 -0.0435904
-8.338914e-009 -0.0307291
-8.322248e-009 -0.030988
-8.305581e-009 0.0191625
-8.288914e-009 0.0572286
-8.272248e-009 -0.013034
-8.255581e-009 -0.0737152
-8.238914e-009 -0.0276216
-8.222248e-009 0.00138108
-8.205581e-009 -0.0303838
-8.188914e-009 -0.00612855
-8.172248e-009 0.0453167
-8.155581e-009 0.0116529
-8.138914e-009 -0.0373755
-8.122248e-009 -0.00906335
-8.105581e-009 0.0257226
-8.088914e-009 0.0103581
-8.072248e-009 -0.0120845
-8.055581e-009 -0.0195941
-8.038914e-009 -0.00699172
-8.022248e-009 0.029089
-8.005581e-009 0.0310743
-7.988914e-009 -0.019853
-7.972248e-009 -0.0359944
-7.955581e-009 -0.00215794
-7.938914e-009 -0.000517905
-7.922248e-009 -0.0166593
-7.905581e-009 0.00543801
-7.888914e-009 0.0106171
-7.872248e-009 -0.0251184
-7.855581e-009 -0.0187309
-7.838914e-009 0.0208889
-7.822248e-009 0.00569696
-7.805581e-009 -0.0286574
-7.788914e-009 -0.0110486
-7.772248e-009 0.00258953
-7.755581e-009 -0.0376345
-7.738914e-009 -0.0700036
-7.722248e-009 -0.05274
-7.705581e-009 -0.0242552
-7.688914e-009 -0.0224426
-7.672248e-009 -0.0431588
-7.655581e-009 -0.0444536
-7.638914e-009 0.00103581
-7.622248e-009 0.0327144
-7.605581e-009 -0.0093223
-7.588914e-009 -0.0579191
-7.572248e-009 -0.038325
-7.555581e-009 0.000517905
-7.538914e-009 0.00949493
-7.522248e-009 0.0193351
-7.505581e-009 0.0299522
-7.488914e-009 0.0110486
-7.472248e-009 -0.0167456
-7.455581e-009 -0.0331459
-7.438914e-009 -0.0434177
-7.422248e-009 -0.0246868
-7.405581e-009 0.0128613
-7.388914e-009 0.00535169
-7.372248e-009 -0.0241689
-7.355581e-009 -0.000258953
-7.338914e-009 0.0267584
-7.322248e-009 -0.0134655
-7.305581e-009 -0.0443672
-7.288914e-009 -0.00854544
-7.272248e-009 0.0177814
-7.255581e-009 0.0101855
-7.238914e-009 0.0240826
-7.222248e-009 0.0340954
-7.205581e-009 -0.000172635
-7.188914e-009 -0.0275353
-7.172248e-009 -0.0249458
-7.155581e-009 -0.0246005
-7.138914e-009 -0.00207162
-7.122248e-009 0.0445399
-7.105581e-009 0.0262405
-7.088914e-009 -0.0547253
-7.072248e-009 -0.0830375
-7.055581e-009 -0.0521358
-7.038914e-009 -0.0371166
-7.022248e-009 -0.0149329
-7.005581e-009 0.0359081
-6.988914e-009 0.039965
-6.972248e-009 -0.000431588
-6.955581e-009 0.00889071
-6.938914e-009 0.0404829
-6.922248e-009 0.00310743
-6.905581e-009 -0.0523948
-6.888914e-009 -0.0464389
-6.872248e-009 -0.0308154
-6.855581e-009 -0.0382387
-6.838914e-009 0.00250321
-6.822248e-009 0.0736289
-6.805581e-009 0.054898
-6.788914e-009 -0.0319375
-6.772248e-009 -0.038066
-6.755581e-009 0.0378071
-6.738914e-009 0.0530853
-6.722248e-009 -0.0137245
-6.705581e-009 -0.0448851
-6.688914e-009 -0.0083728
-6.672248e-009 0.0131203
-6.655581e-009 -0.00966757
-6.638914e-009 -0.0259816
-6.622248e-009 -0.0159688
-6.605581e-009 -0.00483378
-6.588914e-009 0.00189899
-6.572248e-009 0.0174361
-6.555581e-009 0.0296932
-6.538914e-009 0.00621487
-6.522248e-009 -0.0497189
-6.505581e-009 -0.0742331
-6.488914e-009 -0.0291753
-6.472248e-009 0.0177814
-6.455581e-009 -0.000517905
-6.438914e-009 -0.0282258
-6.422248e-009 -0.00595591
-6.405581e-009 0.00966757
-6.388914e-009 -0.0107897
-6.372248e-009 0.00457483
-6.355581e-009 0.0480789
-6.338914e-009 0.0238237
-6.322248e-009 -0.0372029
-6.305581e-009 -0.031247
-6.288914e-009 -0.00112213
-6.272248e-009 -0.0283122
-6.255581e-009 -0.0477336
