LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:34:12 0                 
Time Ampl
-1.001473e-008 0.00319375
-9.998062e-009 0.0103581
-9.981396e-009 -0.0049201
-9.964729e-009 -0.0313333
-9.948062e-009 -0.0328007
-9.931396e-009 -0.00388429
-9.914729e-009 0.0253774
-9.898062e-009 0.0276216
-9.881396e-009 -0.00457483
-9.864729e-009 -0.0427272
-9.848062e-009 -0.0360807
-9.831396e-009 0.0121708
-9.814729e-009 0.036426
-9.798062e-009 0.0115666
-9.781396e-009 -0.019853
-9.764729e-009 -0.034527
-9.748062e-009 -0.0462662
-9.731396e-009 -0.0491147
-9.714729e-009 -0.0250321
-9.698062e-009 0.0093223
-9.681396e-009 0.0187309
-9.664729e-009 0.00448851
-9.648062e-009 0.00552432
-9.631396e-009 0.0246868
-9.614729e-009 0.0101855
-9.598062e-009 -0.0321965
-9.581396e-009 -0.0158824
-9.564729e-009 0.04946
-9.548062e-009 0.0390155
-9.531396e-009 -0.0436767
-9.514729e-009 -0.0574875
-9.498062e-009 0.00267584
-9.481396e-009 0.0222699
-9.464729e-009 0.0104444
-9.448062e-009 0.0250321
-9.431396e-009 0.00854544
-9.414729e-009 -0.0509274
-9.398062e-009 -0.0453167
-9.381396e-009 0.0204573
-9.364729e-009 0.0272764
-9.348062e-009 -0.0104444
-9.331396e-009 -0.0019853
-9.314729e-009 0.0223563
-9.298062e-009 0.0150193
-9.281396e-009 0.0192488
-9.264729e-009 0.0430725
-9.248062e-009 0.0397924
-9.231396e-009 0.0233057
-9.214729e-009 0.0206299
-9.198062e-009 0.00802753
-9.181396e-009 -0.014415
-9.164729e-009 -0.0310743
-9.148062e-009 -0.0637024
-9.131396e-009 -0.0863176
-9.114729e-009 -0.0419503
-9.098062e-009 -0.000604223
-9.081396e-009 -0.0514453
-9.064729e-009 -0.0906335
-9.048062e-009 -0.0113939
-9.031396e-009 0.0623213
-9.014729e-009 0.0207162
-8.998062e-009 -0.0194215
-8.981396e-009 0.0251184
-8.964729e-009 0.04946
-8.948062e-009 0.00241689
-8.931396e-009 -0.0343544
-8.914729e-009 -0.0361671
-8.898062e-009 -0.0339228
-8.881396e-009 -0.00474747
-8.864729e-009 0.0420367
-8.848062e-009 0.032628
-8.831396e-009 -0.0162277
-8.814729e-009 -0.0179541
-8.798062e-009 0.0100992
-8.781396e-009 0.00336639
-8.764729e-009 -0.0126887
-8.748062e-009 -0.0131203
