LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:44:06 0                 
Time Ampl
-1.000709e-008 -0.0371166
-9.990428e-009 -0.0429862
-9.973761e-009 0.0157961
-9.957095e-009 0.0315922
-9.940428e-009 -0.00457483
-9.923761e-009 -0.00276216
-9.907095e-009 -0.0110486
-9.890428e-009 -0.0749237
-9.873761e-009 -0.0652561
-9.857095e-009 0.0391882
-9.840428e-009 0.0607676
-9.823761e-009 -0.0154508
-9.807095e-009 -0.0250321
-9.790428e-009 0.0327144
-9.773761e-009 0.0416051
-9.757095e-009 0.0172635
-9.740428e-009 0.0215794
-9.723761e-009 0.0316785
-9.707095e-009 0.0263269
-9.690428e-009 0.0212341
-9.673761e-009 0.0167456
-9.657095e-009 0.00923598
-9.640428e-009 -0.00664645
-9.623761e-009 -0.0323691
-9.607095e-009 -0.0220973
-9.590428e-009 0.0395334
-9.573761e-009 0.064134
-9.557095e-009 0.0164867
-9.540428e-009 -0.00811385
-9.523761e-009 0.0179541
-9.507095e-009 0.0189899
-9.490428e-009 0.000949493
-9.473761e-009 0.00802753
-9.457095e-009 -0.00681909
-9.440428e-009 -0.0526537
-9.423761e-009 -0.0434177
-9.407095e-009 0.0157098
-9.390428e-009 0.0280532
-9.373761e-009 -0.0093223
-9.357095e-009 -0.0305564
-9.340428e-009 -0.0180404
-9.323761e-009 0.0159688
-9.307095e-009 0.0335775
-9.290428e-009 -0.0137245
-9.273761e-009 -0.0681909
-9.257095e-009 -0.0227878
-9.240428e-009 0.0666372
-9.223761e-009 0.0658603
-9.207095e-009 0.00431588
-9.190428e-009 -0.00940862
-9.173761e-009 0.0190762
-9.157095e-009 0.0396198
-9.140428e-009 0.0468704
-9.123761e-009 0.0267584
-9.107095e-009 -0.0238237
-9.090428e-009 -0.0561064
-9.073761e-009 -0.0535169
-9.057095e-009 -0.045662
-9.040428e-009 -0.0218383
-9.023761e-009 0.02555
-9.007095e-009 0.0379797
-8.990428e-009 -0.00207162
-8.973761e-009 -0.0253774
-8.957095e-009 -0.00854544
-8.940428e-009 -0.00612855
-8.923761e-009 -0.034786
-8.907095e-009 -0.0505821
-8.890428e-009 -0.0284848
-8.873761e-009 -0.000863176
-8.857095e-009 -0.019853
-8.840428e-009 -0.0699172
-8.823761e-009 -0.0613718
-8.807095e-009 0.0151919
-8.790428e-009 0.0419503
-8.773761e-009 -0.0129476
-8.757095e-009 -0.0305564
-8.740428e-009 0.0186446
-8.723761e-009 0.0310743
-8.707095e-009 -0.00207162
-8.690428e-009 -0.00871807
-8.673761e-009 -0.0132066
-8.657095e-009 -0.0386703
-8.640428e-009 -0.00992652
-8.623761e-009 0.0593865
-8.607095e-009 0.0532579
-8.590428e-009 -0.00431588
-8.573761e-009 -0.0138971
-8.557095e-009 -0.0204573
-8.540428e-009 -0.0582644
-8.523761e-009 -0.0192488
-8.507095e-009 0.0782037
-8.490428e-009 0.0623213
-8.473761e-009 -0.0300385
-8.457095e-009 -0.0129476
-8.440428e-009 0.0623213
-8.423761e-009 0.0340954
