LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 202
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:49:15 0                 
Time Ampl
-5.00989e-009 -0.0112213
-4.95989e-009 0.000517905
-4.90989e-009 -0.0122571
-4.85989e-009 -0.0343544
-4.80989e-009 -0.00388429
-4.75989e-009 0.0314196
-4.70989e-009 -0.010876
-4.65989e-009 -0.0523948
-4.60989e-009 -0.0140698
-4.55989e-009 0.0133792
-4.50989e-009 -0.0192488
-4.45989e-009 -0.0266721
-4.40989e-009 -0.00336639
-4.35989e-009 -0.0113076
-4.30989e-009 -0.014415
-4.25989e-009 0.0181267
-4.20989e-009 0.0244279
-4.15989e-009 -0.00034527
-4.10989e-009 0.00353902
-4.05989e-009 0.0210615
-4.00989e-009 0.0161414
-3.95989e-009 0.0113076
-3.90989e-009 0.0112213
-3.85989e-009 0.0034527
-3.80989e-009 0.00863176
-3.75989e-009 0.0100992
-3.70989e-009 -0.0283985
-3.65989e-009 -0.0547253
-3.60989e-009 -0.025291
-3.55989e-009 -0.00414324
-3.50989e-009 -0.0166593
-3.45989e-009 -0.00759595
-3.40989e-009 0.0126024
-3.35989e-009 0
-3.30989e-009 -0.0143287
-3.25989e-009 -0.0019853
-3.20989e-009 0.00699172
-3.15989e-009 0.00155372
-3.10989e-009 0.00233057
-3.05989e-009 0.00664645
-3.00989e-009 -0.00448851
-2.95989e-009 -0.0232194
-2.90989e-009 -0.0195078
-2.85989e-009 0.000949493
-2.80989e-009 -0.00664645
-2.75989e-009 -0.0384976
-2.70989e-009 -0.0429862
-2.65989e-009 -0.025809
-2.60989e-009 -0.0258953
-2.55989e-009 -0.0240826
-2.50989e-009 0.00215794
-2.45989e-009 0.0238237
-2.40989e-009 0.0261542
-2.35989e-009 0.022011
-2.30989e-009 0.0083728
-2.25989e-009 -0.00975389
-2.20989e-009 -0.0150193
-2.15989e-009 -0.0150193
-2.10989e-009 -0.0156235
-2.05989e-009 -0.00362534
-2.00989e-009 0.0132066
-1.95989e-009 0.0203709
-1.90989e-009 0.0290027
-1.85989e-009 0.0458346
-1.80989e-009 0.0569696
-1.75989e-009 0.0444536
-1.70989e-009 -0.000690541
-1.65989e-009 -0.0420367
-1.60989e-009 -0.0320238
-1.55989e-009 -0.00604223
-1.50989e-009 -0.0188172
-1.45989e-009 -0.0264132
-1.40989e-009 0.0162277
-1.35989e-009 0.0483378
-1.30989e-009 0.0147603
-1.25989e-009 -0.0336639
-1.20989e-009 -0.0235647
-1.15989e-009 0.0246868
-1.10989e-009 0.0315922
-1.05989e-009 0.000863176
-1.00989e-009 -0.00233057
-9.5989e-010 -0.0014674
-9.0989e-010 -0.030988
-8.5989e-010 -0.0154508
-8.0989e-010 0.0535169
-7.5989e-010 0.0643929
-7.0989e-010 0.0240826
-6.5989e-010 0.0186446
-6.0989e-010 0.0101855
-5.5989e-010 -0.0268448
-5.0989e-010 -0.0162277
-4.5989e-010 0.0191625
-4.0989e-010 -0.00612855
-3.5989e-010 -0.0299522
-3.0989e-010 0.0229605
-2.5989e-010 0.0623213
-2.0989e-010 0.0362534
-1.5989e-010 0.0818291
-1.0989e-010 0.27449
-5.98899e-011 0.482774
-9.88995e-012 0.626061
4.01101e-011 0.784713
9.01101e-011 0.965203
1.4011e-010 1.08803
1.9011e-010 1.18307
