LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 202
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 09:57:40 0                 
Time Ampl
-2.01776e-009 -0.00631845
-1.99276e-009 -0.0128786
-1.96776e-009 -0.00821743
-1.94276e-009 -0.000517905
-1.91776e-009 -0.00107034
-1.89276e-009 -0.00887345
-1.86776e-009 -0.0164003
-1.84276e-009 -0.0195078
-1.81776e-009 -0.0164694
-1.79276e-009 -0.00821743
-1.76776e-009 0.000172635
-1.74276e-009 0.00455757
-1.71776e-009 0.00604223
-1.69276e-009 0.00545527
-1.66776e-009 0.0021752
-1.64276e-009 -0.000379797
-1.61776e-009 0.00200257
-1.59276e-009 0.00504095
-1.56776e-009 0.00241689
-1.54276e-009 -0.00224426
-1.51776e-009 -0.00124297
-1.49276e-009 0.00493737
-1.46776e-009 0.0107724
-1.44276e-009 0.0125333
-1.41776e-009 0.0058696
-1.39276e-009 -0.00963304
-1.36776e-009 -0.0220282
-1.34276e-009 -0.0189208
-1.31776e-009 -0.00673277
-1.29276e-009 -0.00220973
-1.26776e-009 -0.00818291
-1.24276e-009 -0.0142597
-1.21776e-009 -0.0151574
-1.19276e-009 -0.0129131
-1.16776e-009 -0.0067673
-1.14276e-009 0.00424682
-1.11776e-009 0.0129131
-1.09276e-009 0.00921872
-1.06776e-009 -0.00517905
-1.04276e-009 -0.0155372
-1.01776e-009 -0.0109796
-9.92761e-010 0.00155372
-9.67761e-010 0.00776858
-9.42761e-010 0.0058696
-9.17761e-010 0.00348723
-8.92761e-010 0.000103581
-8.67761e-010 -0.00707804
-8.42761e-010 -0.0072852
-8.17761e-010 0.00959851
-7.92761e-010 0.0297278
-7.67761e-010 0.0343199
-7.42761e-010 0.0317649
-7.17761e-010 0.0435386
-6.92761e-010 0.0706768
-6.67761e-010 0.10075
-6.42761e-010 0.133412
-6.17761e-010 0.175639
-5.92761e-010 0.226463
-5.67761e-010 0.28288
-5.42761e-010 0.345167
-5.17761e-010 0.407971
-4.92761e-010 0.461764
-4.67761e-010 0.503991
