LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 14:12:54 0                 
Time Ampl
-1.000284e-008 0.00336639
-9.986176e-009 0.0238237
-9.969509e-009 0.0329733
-9.952842e-009 0.0123434
-9.936176e-009 -0.0209752
-9.919509e-009 -0.0273627
-9.902842e-009 0.00362534
-9.886176e-009 0.0315922
-9.869509e-009 0.0254637
-9.852842e-009 0.0115666
-9.836176e-009 0.0145877
-9.819509e-009 0.0115666
-9.802842e-009 -0.00284848
-9.786176e-009 0.00310743
-9.769509e-009 0.012775
-9.752842e-009 -0.0214068
-9.736176e-009 -0.0614581
-9.719509e-009 -0.0368576
-9.702842e-009 0.0117392
-9.686176e-009 0.0019853
-9.669509e-009 -0.0427272
-9.652842e-009 -0.0544664
-9.636176e-009 -0.0332323
-9.619509e-009 -0.00914966
-9.602842e-009 -0.00215794
-9.586176e-009 -0.0287438
-9.569509e-009 -0.0536032
-9.552842e-009 -0.0162277
-9.536176e-009 0.0370302
-9.519509e-009 0.0103581
-9.502842e-009 -0.0555022
-9.486176e-009 -0.0597318
-9.469509e-009 -0.0249458
-9.452842e-009 -0.00630118
-9.436176e-009 0.0203709
-9.419509e-009 0.0363397
-9.402842e-009 -0.0175225
-9.386176e-009 -0.0677593
-9.369509e-009 -0.0138971
-9.352842e-009 0.0517042
-9.336176e-009 0.0078549
-9.319509e-009 -0.0669824
-9.302842e-009 -0.063875
-9.286176e-009 -0.0209752
-9.269509e-009 0.0063875
-9.252842e-009 0.019853
-9.236176e-009 -0.000863176
-9.219509e-009 -0.0447125
-9.202842e-009 -0.0314196
-9.186176e-009 0.0325417
-9.169509e-009 0.0387566
-9.152842e-009 -0.0208025
-9.136176e-009 -0.0521358
-9.119509e-009 -0.0410872
-9.102842e-009 -0.0357355
-9.086176e-009 -0.032628
-9.069509e-009 -0.0259816
-9.052842e-009 -0.0450578
-9.036176e-009 -0.0696583
-9.019509e-009 -0.0425546
-9.002842e-009 0.0216657
-8.986176e-009 0.056797
-8.969509e-009 0.0427272
-8.952842e-009 0.00854544
-8.936176e-009 -0.0193351
-8.919509e-009 -0.0296932
-8.902842e-009 -0.0186446
-8.886176e-009 0.00569696
-8.869509e-009 0.0181267
-8.852842e-009 0.000690541
-8.836176e-009 -0.0207162
-8.819509e-009 -0.0093223
-8.802842e-009 0.0126887
-8.786176e-009 0.00207162
-8.769509e-009 -0.019853
-8.752842e-009 -0.0148466
-8.736176e-009 -0.00630118
-8.719509e-009 -0.0215794
-8.702842e-009 -0.0378071
-8.686176e-009 -0.0350449
-8.669509e-009 -0.0155372
-8.652842e-009 0.016314
-8.636176e-009 0.0265858
-8.619509e-009 -0.0100992
-8.602842e-009 -0.0328007
-8.586176e-009 0.00241689
-8.569509e-009 0.0110486
-8.552842e-009 -0.0564517
-8.536176e-009 -0.0928777
-8.519509e-009 -0.036426
-8.502842e-009 0.0132929
-8.486176e-009 -0.00716436
-8.469509e-009 -0.0378071
-8.452842e-009 -0.0426409
-8.436176e-009 -0.0381524
-8.419509e-009 -0.0101855
-8.402842e-009 0.0410008
-8.386176e-009 0.0559338
-8.369509e-009 0.0137245
-8.352842e-009 -0.0197667
-8.336176e-009 0.00699172
-8.319509e-009 0.0517905
-8.302842e-009 0.0382387
-8.286176e-009 -0.0284848
-8.269509e-009 -0.0659466
-8.252842e-009 -0.0490284
-8.236176e-009 -0.0352176
-8.219509e-009 -0.0362534
-8.202842e-009 -0.0179541
-8.186176e-009 -0.0126024
-8.169509e-009 -0.0462662
-8.152842e-009 -0.0438493
-8.136176e-009 0.0129476
-8.119509e-009 0.0211478
-8.102842e-009 -0.0228742
-8.086176e-009 -0.00284848
-8.069509e-009 0.0643929
-8.052842e-009 0.0596454
-8.036176e-009 0.00768226
-8.019509e-009 0.00914966
-8.002842e-009 0.0411735
-7.986176e-009 0.0329733
-7.969509e-009 -0.00595591
-7.952842e-009 -0.0346133
-7.936176e-009 -0.0333186
-7.919509e-009 -0.0121708
-7.902842e-009 -0.0180404
-7.886176e-009 -0.0519632
-7.869509e-009 -0.0343544
-7.852842e-009 0.0386703
-7.836176e-009 0.0609402
-7.819509e-009 0.0157961
-7.802842e-009 -0.0115666
-7.786176e-009 -0.0170909
-7.769509e-009 -0.0384976
-7.752842e-009 -0.0351313
-7.736176e-009 -0.00034527
-7.719509e-009 -0.00258953
-7.702842e-009 -0.0233057
-7.686176e-009 0.000258953
-7.669509e-009 0.00725068
-7.652842e-009 -0.0468704
-7.636176e-009 -0.0504095
-7.619509e-009 0.0316785
-7.602842e-009 0.0541211
-7.586176e-009 -0.0164003
-7.569509e-009 -0.0359944
-7.552842e-009 0.0185583
-7.536176e-009 0.0371166
-7.519509e-009 0.0252047
-7.502842e-009 0.0443672
-7.486176e-009 0.038066
-7.469509e-009 -0.0222699
-7.452842e-009 -0.0331459
-7.436176e-009 0.0219247
-7.419509e-009 0.0239963
-7.402842e-009 -0.0313333
-7.386176e-009 -0.0329733
-7.369509e-009 0.0115666
-7.352842e-009 0.0157961
-7.336176e-009 -0.0105307
-7.319509e-009 -0.0257226
-7.302842e-009 -0.0379797
-7.286176e-009 -0.0318512
-7.269509e-009 0.0014674
-7.252842e-009 0.00224426
-7.236176e-009 -0.0324554
-7.219509e-009 -0.0249458
-7.202842e-009 0.00906335
-7.186176e-009 0.00742331
-7.169509e-009 0.0238237
-7.152842e-009 0.0778585
-7.136176e-009 0.058437
-7.119509e-009 -0.0164867
-7.102842e-009 0.00699172
-7.086176e-009 0.0806206
-7.069509e-009 0.0425546
-7.052842e-009 -0.0365987
-7.036176e-009 -0.0249458
-7.019509e-009 -0.00388429
-7.002842e-009 -0.039965
-6.986176e-009 -0.0398787
-6.969509e-009 -0.00103581
-6.952842e-009 -0.0136382
-6.936176e-009 -0.038325
-6.919509e-009 -0.0155372
-6.902842e-009 -0.00172635
-6.886176e-009 -0.00569696
-6.869509e-009 0.0197667
-6.852842e-009 0.0216657
-6.836176e-009 -0.0261542
-6.819509e-009 -0.0284848
-6.802842e-009 0.00310743
-6.786176e-009 -0.0419503
-6.769509e-009 -0.0931367
-6.752842e-009 -0.0245142
-6.736176e-009 0.0571422
-6.719509e-009 0.0202846
-6.702842e-009 -0.0376345
-6.686176e-009 -0.0153645
-6.669509e-009 0.0158824
-6.652842e-009 0.00138108
-6.636176e-009 -0.0161414
-6.619509e-009 -0.0197667
-6.602842e-009 -0.0158824
-6.586176e-009 0.0139834
-6.569509e-009 0.0489421
-6.552842e-009 0.0339228
-6.536176e-009 -0.0182993
-6.519509e-009 -0.0393608
-6.502842e-009 -0.00949493
-6.486176e-009 0.0223563
-6.469509e-009 0.0173498
-6.452842e-009 -0.000431588
-6.436176e-009 0.00526537
-6.419509e-009 0.0143287
-6.402842e-009 -0.000431588
-6.386176e-009 -0.00923598
-6.369509e-009 0.00526537
-6.352842e-009 0.00233057
-6.336176e-009 -0.0246005
-6.319509e-009 -0.0296069
-6.302842e-009 -0.012775
-6.286176e-009 -0.00923598
-6.269509e-009 -0.0110486
