LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 14:19:46 0                 
Time Ampl
-1.000868e-008 0.0277079
-9.992018e-009 -0.0227878
-9.975351e-009 -0.0262405
-9.958685e-009 -0.00966757
-9.942018e-009 0.00483378
-9.925351e-009 0.0371166
-9.908685e-009 0.0458346
-9.892018e-009 -0.00690541
-9.875351e-009 -0.0490284
-9.858685e-009 -0.0245142
-9.842018e-009 0.0133792
-9.825351e-009 0.0212341
-9.808685e-009 0.0148466
-9.792018e-009 -0.00578328
-9.775351e-009 -0.0408282
-9.758685e-009 -0.0452304
-9.742018e-009 0.00509274
-9.725351e-009 0.0554159
-9.708685e-009 0.0371166
-9.692018e-009 -0.0257226
-9.675351e-009 -0.032628
-9.658685e-009 0.0306427
-9.642018e-009 0.0465252
-9.625351e-009 -0.0226152
-9.608685e-009 -0.054898
-9.592018e-009 -0.00828649
-9.575351e-009 0.00759595
-9.558685e-009 -0.0268448
-9.542018e-009 -0.0157098
-9.525351e-009 0.0261542
-9.508685e-009 0.00457483
-9.492018e-009 -0.0524811
-9.475351e-009 -0.0520495
-9.458685e-009 0.000431588
-9.442018e-009 0.0295206
-9.425351e-009 0.00250321
-9.408685e-009 -0.0378071
-9.392018e-009 -0.034786
-9.375351e-009 -0.00595591
-9.358685e-009 -0.00405693
-9.342018e-009 -0.00267584
-9.325351e-009 0.0397924
-9.308685e-009 0.0689677
-9.292018e-009 0.0446262
-9.275351e-009 0.0215794
-9.258685e-009 0.0162277
-9.242018e-009 -0.0044022
-9.225351e-009 -0.00828649
-9.208685e-009 0.0126887
-9.192018e-009 -0.0137245
-9.175351e-009 -0.0572286
-9.158685e-009 -0.0160551
-9.142018e-009 0.0410872
-9.125351e-009 -0.00250321
-9.108685e-009 -0.0614581
-9.092018e-009 -0.0344407
-9.075351e-009 0.00379797
-9.058685e-009 0.00233057
-9.042018e-009 0.0131203
-9.025351e-009 0.0157098
-9.008685e-009 -0.0295206
-8.992018e-009 -0.0477336
-8.975351e-009 0.00405693
-8.958685e-009 0.0503231
-8.942018e-009 0.0507547
-8.925351e-009 0.0275353
-8.908685e-009 -0.020112
-8.892018e-009 -0.062235
-8.875351e-009 -0.0407419
-8.858685e-009 0.00397061
-8.842018e-009 -0.00889071
-8.825351e-009 -0.0471294
-8.808685e-009 -0.0361671
-8.792018e-009 0.0107897
-8.775351e-009 0.0359944
-8.758685e-009 0.0142424
-8.742018e-009 -0.0304701
-8.725351e-009 -0.0394471
-8.708685e-009 0.00742331
-8.692018e-009 0.0468704
-8.675351e-009 0.0291753
-8.658685e-009 -0.012775
-8.642018e-009 -0.0338365
-8.625351e-009 -0.0218383
-8.608685e-009 0.0204573
-8.592018e-009 0.0605086
-8.575351e-009 0.0554159
-8.558685e-009 0.0194215
-8.542018e-009 0.00233057
-8.525351e-009 0.0179541
-8.508685e-009 0.0447125
-8.492018e-009 0.0538622
-8.475351e-009 0.0331459
-8.458685e-009 0.0135519
-8.442018e-009 0.0247731
-8.425351e-009 0.0395334
-8.408685e-009 0.0323691
-8.392018e-009 0.0145877
-8.375351e-009 -0.0195078
-8.358685e-009 -0.0550706
-8.342018e-009 -0.02391
-8.325351e-009 0.0488557
-8.308685e-009 0.039965
-8.292018e-009 -0.0292617
-8.275351e-009 -0.0247731
-8.258685e-009 0.0234784
-8.242018e-009 0.00474747
-8.225351e-009 -0.0300385
-8.208685e-009 -0.00880439
-8.192018e-009 0.0083728
-8.175351e-009 0.00241689
-8.158685e-009 0.0245142
-8.142018e-009 0.0331459
-8.125351e-009 -0.00569696
-8.108685e-009 -0.00802753
-8.092018e-009 0.0324554
-8.075351e-009 0.0221836
-8.058685e-009 -0.00172635
-8.042018e-009 0.0354765
-8.025351e-009 0.0433314
-8.008685e-009 -0.0264132
-7.992018e-009 -0.0400514
-7.975351e-009 0.0331459
-7.958685e-009 0.0602497
-7.942018e-009 0.0290027
-7.925351e-009 0.0252047
-7.908685e-009 0.0210615
-7.892018e-009 -0.0123434
-7.875351e-009 -0.00716436
-7.858685e-009 0.0227878
-7.842018e-009 -0.00129476
-7.825351e-009 -0.0265858
-7.808685e-009 0.00966757
-7.792018e-009 0.0141561
-7.775351e-009 -0.0502368
-7.758685e-009 -0.0587823
-7.742018e-009 0.00336639
-7.725351e-009 0.000172635
-7.708685e-009 -0.063875
-7.692018e-009 -0.0611992
-7.675351e-009 -0.00794122
-7.658685e-009 -0.0029348
-7.642018e-009 -0.0244279
-7.625351e-009 -0.0215794
-7.608685e-009 -0.0260679
-7.592018e-009 -0.0355628
-7.575351e-009 -0.00267584
-7.558685e-009 0.0232194
-7.542018e-009 -0.0300385
-7.525351e-009 -0.0912377
-7.508685e-009 -0.0605949
-7.492018e-009 0.0179541
-7.475351e-009 0.0555885
-7.458685e-009 0.0471294
-7.442018e-009 0.00958125
-7.425351e-009 -0.0464389
-7.408685e-009 -0.0636161
-7.392018e-009 -0.0078549
-7.375351e-009 0.0470431
-7.358685e-009 0.0288301
-7.342018e-009 -0.0176951
-7.325351e-009 -0.0186446
-7.308685e-009 0.0157098
-7.292018e-009 0.0308154
-7.275351e-009 0.00750963
-7.258685e-009 -0.0327144
-7.242018e-009 -0.0559338
-7.225351e-009 -0.0376345
-7.208685e-009 0.0142424
-7.192018e-009 0.0558475
-7.175351e-009 0.056538
-7.158685e-009 0.0450578
-7.142018e-009 0.0579191
-7.125351e-009 0.0597318
-7.108685e-009 0.00500642
-7.092018e-009 -0.0523084
-7.075351e-009 -0.0413461
-7.058685e-009 -0.00802753
-7.042018e-009 -0.0214068
-7.025351e-009 -0.0406556
-7.008685e-009 -0.0168319
-6.992018e-009 0.00414324
-6.975351e-009 -0.00966757
-6.958685e-009 -0.0154508
-6.942018e-009 0.000517905
-6.925351e-009 0.00500642
-6.908685e-009 -0.00353902
-6.892018e-009 -0.00664645
-6.875351e-009 -0.00319375
-6.858685e-009 0.0100992
-6.842018e-009 0.0239963
-6.825351e-009 0.0118255
-6.808685e-009 -0.00319375
-6.792018e-009 0.0234784
-6.775351e-009 0.0509274
-6.758685e-009 0.0202846
-6.742018e-009 -0.0179541
-6.725351e-009 -0.00276216
-6.708685e-009 0.0200257
-6.692018e-009 0.00673277
-6.675351e-009 -0.0093223
-6.658685e-009 -0.0176088
-6.642018e-009 -0.0337502
-6.625351e-009 -0.0238237
-6.608685e-009 0.012516
-6.592018e-009 -0.0034527
-6.575351e-009 -0.0644792
-6.558685e-009 -0.0591275
-6.542018e-009 0.00388429
-6.525351e-009 0.00776858
-6.508685e-009 -0.0278806
-6.492018e-009 -0.00500642
-6.475351e-009 0.0226152
-6.458685e-009 -0.0252047
-6.442018e-009 -0.0544664
-6.425351e-009 0.0078549
-6.408685e-009 0.0478199
-6.392018e-009 0.00241689
-6.375351e-009 -0.0279669
-6.358685e-009 -0.0133792
-6.342018e-009 -0.0220973
-6.325351e-009 -0.027449
-6.308685e-009 0.00707804
-6.292018e-009 0.00250321
-6.275351e-009 -0.0441083
-6.258685e-009 -0.0220973
-6.242018e-009 0.0265858
-6.225351e-009 -0.0221836
-6.208685e-009 -0.0798438
-6.192018e-009 -0.0185583
-6.175351e-009 0.0537758
