LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 10:05:53 0                 
Time Ampl
-2.00827e-009 -0.016642
-1.9916e-009 -0.00576601
-1.97493e-009 -0.00176088
-1.95827e-009 -0.0234784
-1.9416e-009 -0.0257226
-1.92493e-009 0.000207162
-1.90827e-009 0.0089425
-1.8916e-009 0.00977115
-1.87493e-009 0.0267584
-1.85827e-009 0.0132584
-1.8416e-009 -0.0339746
-1.82493e-009 -0.0325935
-1.80827e-009 0.00887345
-1.7916e-009 -0.000725068
-1.77493e-009 -0.0348378
-1.75827e-009 -0.0139834
-1.7416e-009 0.0143632
-1.72493e-009 -0.00652561
-1.70827e-009 -0.0155717
-1.6916e-009 0.0161241
-1.67493e-009 0.0224771
-1.65827e-009 -0.00687088
-1.6416e-009 -0.0208198
-1.62493e-009 -0.0185065
-1.60827e-009 -0.0143287
-1.5916e-009 0.00607676
-1.57493e-009 0.0238927
-1.55827e-009 0.00769953
-1.5416e-009 -0.0152609
-1.52493e-009 -0.0149847
-1.50827e-009 -0.0116701
-1.4916e-009 -0.0152264
-1.47493e-009 -0.00821743
-1.45827e-009 0.00524811
-1.4416e-009 0.0104617
-1.42493e-009 0.00835554
-1.40827e-009 0.000794122
-1.3916e-009 -0.00424682
-1.37493e-009 0.00742331
-1.35827e-009 0.0196804
-1.3416e-009 0.00521358
-1.32493e-009 -0.0185065
-1.30827e-009 -0.0174016
-1.2916e-009 0.00231331
-1.27493e-009 0.0122571
-1.25827e-009 0.00310743
-1.2416e-009 -0.00863176
-1.22493e-009 -0.000725068
-1.20827e-009 0.0161586
-1.1916e-009 0.00769953
-1.17493e-009 -0.0145359
-1.15827e-009 -0.00769953
-1.1416e-009 0.0120154
-1.12493e-009 0.00203709
-1.10827e-009 -0.0148121
-1.0916e-009 -0.00448851
-1.07493e-009 0.00763047
-1.05827e-009 0.00500642
-1.0416e-009 0.0113939
-1.02493e-009 0.0204745
-1.00827e-009 0.00832101
-9.91601e-010 -0.00666372
-9.74934e-010 -0.00490284
-9.58268e-010 -0.00283122
-9.41601e-010 -0.00659466
-9.24934e-010 -0.00580054
-9.08268e-010 -0.0042123
-8.91601e-010 -0.00196804
-8.74934e-010 0.00908061
-8.58268e-010 0.0197149
-8.41601e-010 0.0196114
-8.24934e-010 0.00959851
-8.08268e-010 -0.0123952
-7.91601e-010 -0.0244106
-7.74934e-010 0.0071471
-7.58268e-010 0.0439184
-7.41601e-010 0.0253774
-7.24934e-010 -0.000552432
-7.08268e-010 0.0348378
-6.91601e-010 0.0760976
-6.74934e-010 0.0650144
-6.58268e-010 0.0616653
-6.41601e-010 0.101717
-6.24934e-010 0.126956
-6.08268e-010 0.127612
-5.91601e-010 0.152092
-5.74934e-010 0.192523
-5.58268e-010 0.223632
-5.41601e-010 0.262889
-5.24934e-010 0.302077
-5.08268e-010 0.315059
-4.91601e-010 0.333876
-4.74934e-010 0.384873
-4.58268e-010 0.428032
-4.41601e-010 0.448299
-4.24934e-010 0.477647
-4.08268e-010 0.504267
-3.91601e-010 0.501402
-3.74934e-010 0.503577
-3.58268e-010 0.539554
-3.41601e-010 0.574184
-3.24934e-010 0.580192
-3.08268e-010 0.574461
-2.91601e-010 0.57156
-2.74934e-010 0.574737
-2.58268e-010 0.58727
-2.41601e-010 0.599493
-2.24934e-010 0.601012
-2.08268e-010 0.598733
-1.91601e-010 0.59894
-1.74934e-010 0.599735
-1.58268e-010 0.60008
-1.41601e-010 0.593002
-1.24934e-010 0.576843
-1.08268e-010 0.567176
-9.16009e-011 0.564482
-7.49342e-011 0.552536
-5.82675e-011 0.542282
-4.16009e-011 0.542972
-2.49342e-011 0.520253
-8.26753e-012 0.468014
8.39913e-012 0.437906
2.50658e-011 0.431243
4.17325e-011 0.393815
5.83991e-011 0.336466
7.50658e-011 0.304563
9.17325e-011 0.272833
1.08399e-010 0.214862
1.25066e-010 0.17115
1.41732e-010 0.146878
1.58399e-010 0.093948
1.75066e-010 0.0284848
1.91732e-010 -0.00286574
2.08399e-010 -0.0375309
2.25066e-010 -0.119981
2.41732e-010 -0.201638
2.58399e-010 -0.238858
2.75066e-010 -0.271175
2.91732e-010 -0.328179
3.08399e-010 -0.378347
3.25066e-010 -0.403828
3.41732e-010 -0.429516
3.58399e-010 -0.46829
3.75066e-010 -0.501298
3.91732e-010 -0.515212
4.08399e-010 -0.525778
4.25066e-010 -0.550154
4.41732e-010 -0.574288
4.58399e-010 -0.575497
4.75066e-010 -0.563239
4.91732e-010 -0.562411
5.08399e-010 -0.576947
5.25066e-010 -0.594694
5.41732e-010 -0.600183
5.58399e-010 -0.584612
5.75066e-010 -0.568488
5.91732e-010 -0.57743
6.08399e-010 -0.589204
6.25066e-010 -0.573839
6.41732e-010 -0.558233
6.58399e-010 -0.567417
6.75066e-010 -0.567762
6.91732e-010 -0.542143
7.08399e-010 -0.525674
7.25066e-010 -0.526399
7.41732e-010 -0.517146
7.58399e-010 -0.497465
7.75066e-010 -0.474781
7.91732e-010 -0.437665
8.08399e-010 -0.395576
8.25066e-010 -0.366953
8.41732e-010 -0.338261
8.58399e-010 -0.304839
8.75066e-010 -0.283778
8.91732e-010 -0.256605
9.08399e-010 -0.206126
9.25066e-010 -0.176571
9.41732e-010 -0.179679
9.58399e-010 -0.148294
9.75066e-010 -0.076063
9.91732e-010 -0.0410526
1.0084e-009 -0.0455757
1.02507e-009 -0.0222354
1.04173e-009 0.0182648
1.0584e-009 0.0271728
1.07507e-009 0.0295551
1.09173e-009 0.0516524
1.1084e-009 0.0542765
1.12507e-009 0.0304528
1.14173e-009 0.0347687
1.1584e-009 0.0705042
1.17507e-009 0.0768226
1.19173e-009 0.0416396
1.2084e-009 0.0176433
1.22507e-009 0.0232022
1.24173e-009 0.0186791
1.2584e-009 -0.00980568
1.27507e-009 -0.0229605
1.29173e-009 -0.00666372
1.3084e-009 0.00227878
1.32507e-009 -0.00783764
1.34173e-009 -0.011463
1.3584e-009 -0.0145704
1.37507e-009 -0.0352521
1.39173e-009 -0.0449197
1.4084e-009 -0.026862
1.42507e-009 -0.0218901
1.44173e-009 -0.041536
1.4584e-009 -0.0456447
1.47507e-009 -0.0335948
1.49173e-009 -0.0304874
1.5084e-009 -0.0182648
1.52507e-009 0.00552432
1.54173e-009 -0.00134655
1.5584e-009 -0.0261715
1.57507e-009 -0.0164003
1.59173e-009 0.00131203
1.6084e-009 -0.0230295
1.62507e-009 -0.0499606
1.64173e-009 -0.0372892
1.6584e-009 -0.0243416
1.67507e-009 -0.0362189
1.69173e-009 -0.0433659
1.7084e-009 -0.0447816
1.72507e-009 -0.0576947
