LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 102
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 10:27:18 0                 
Time Ampl
-1.528e-009 -0.00517905
-1.478e-009 -0.00462662
-1.428e-009 0.00317649
-1.378e-009 0.01022
-1.328e-009 0.00673277
-1.278e-009 0.00455757
-1.228e-009 0.0156062
-1.178e-009 0.0203364
-1.128e-009 0.00497189
-1.078e-009 -0.00400514
-1.028e-009 0.00759595
-9.7802e-010 0.012119
-9.2802e-010 0.00290027
-8.7802e-010 0.00749237
-8.2802e-010 0.0255845
-7.7802e-010 0.042779
-7.2802e-010 0.0817255
-6.7802e-010 0.159411
-6.2802e-010 0.252254
-5.7802e-010 0.34893
-5.2802e-010 0.454238
-4.7802e-010 0.541764
-4.2802e-010 0.587167
-3.7802e-010 0.611094
-3.2802e-010 0.631258
-2.7802e-010 0.63295
-2.2802e-010 0.61282
-1.7802e-010 0.589307
-1.2802e-010 0.564655
-7.8023e-011 0.519494
-2.8023e-011 0.439633
2.1977e-011 0.325417
7.1977e-011 0.184858
1.2198e-010 0.0276907
1.7198e-010 -0.141837
2.2198e-010 -0.317096
2.7198e-010 -0.465804
3.2198e-010 -0.548704
3.7198e-010 -0.57598
4.2198e-010 -0.595073
4.7198e-010 -0.614685
5.2198e-010 -0.603532
5.7198e-010 -0.567452
6.2198e-010 -0.549118
6.7198e-010 -0.541418
7.2198e-010 -0.490284
7.7198e-010 -0.392365
8.2198e-010 -0.292617
8.7198e-010 -0.20005
9.2198e-010 -0.101337
9.7198e-010 -0.0131203
1.022e-009 0.0454721
1.072e-009 0.0709876
1.122e-009 0.0607676
1.172e-009 0.0334222
1.222e-009 0.0173671
1.272e-009 0.00593865
1.322e-009 -0.0108415
1.372e-009 -0.0120154
1.422e-009 0.00428135
1.472e-009 0.00659466
1.522e-009 -0.0150538
1.572e-009 -0.038325
1.622e-009 -0.044022
1.672e-009 -0.0378416
1.722e-009 -0.0431243
1.772e-009 -0.060008
1.822e-009 -0.0570387
1.872e-009 -0.0321447
1.922e-009 -0.0201293
1.972e-009 -0.0230295
2.022e-009 -0.0138108
2.072e-009 0.00352176
2.122e-009 0.0125333
2.172e-009 0.015917
2.222e-009 0.00490284
2.272e-009 -0.0267239
2.322e-009 -0.0376345
2.372e-009 -0.0047302
2.422e-009 0.0173671
2.472e-009 3.4527e-005
2.522e-009 -0.00203709
2.572e-009 0.0219592
2.622e-009 0.0103926
2.672e-009 -0.0305219
2.722e-009 -0.0342163
2.772e-009 -0.00839007
2.822e-009 -0.00497189
2.872e-009 -0.0167801
2.922e-009 -0.012775
2.972e-009 0.00200257
3.022e-009 0.0130857
3.072e-009 0.0174707
3.122e-009 0.0120154
3.172e-009 -0.00141561
3.222e-009 -0.0113249
3.272e-009 -0.011463
3.322e-009 -0.0067673
3.372e-009 -0.00338365
3.422e-009 -0.00189899
3.472e-009 -0.00220973
3.522e-009 -0.00569696
