LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 802
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 09:52:59 0                 
Time Ampl
-3.01721e-009 6.90541e-005
-2.99221e-009 -0.00234784
-2.96721e-009 -0.00952946
-2.94221e-009 -0.00759595
-2.91721e-009 -0.0098402
-2.89221e-009 -0.0207853
-2.86721e-009 -0.0196114
-2.84221e-009 -0.00328007
-2.81721e-009 0.00321101
-2.79221e-009 -0.00559338
-2.76721e-009 -0.00759595
-2.74221e-009 0.00117392
-2.71721e-009 0.0012775
-2.69221e-009 -0.00963304
-2.66721e-009 -0.0144323
-2.64221e-009 -0.00921872
-2.61721e-009 -0.00379797
-2.59221e-009 0.000414324
-2.56721e-009 0.00662919
-2.54221e-009 0.00997831
-2.51721e-009 0.00493737
-2.49221e-009 -0.00552432
-2.46721e-009 -0.0136382
-2.44221e-009 -0.012188
-2.41721e-009 -0.000690541
-2.39221e-009 0.0089425
-2.36721e-009 0.00538622
-2.34221e-009 -0.00393608
-2.31721e-009 -0.00545527
-2.29221e-009 -0.00224426
-2.26721e-009 -0.00359081
-2.24221e-009 -0.00400514
-2.21721e-009 0.00483378
-2.19221e-009 0.0153991
-2.16721e-009 0.0157098
-2.14221e-009 0.00535169
-2.11721e-009 -0.00928777
-2.09221e-009 -0.0193697
-2.06721e-009 -0.0143287
-2.04221e-009 0.00324554
-2.01721e-009 0.0132239
-1.99221e-009 0.00680182
-1.96721e-009 0.00134655
-1.94221e-009 0.00901155
-1.91721e-009 0.0155026
-1.89221e-009 0.00821743
-1.86721e-009 -0.00110486
-1.84221e-009 0.000103581
-1.81721e-009 0.00386703
-1.79221e-009 -0.00107034
-1.76721e-009 -0.0101164
-1.74221e-009 -0.0123952
-1.71721e-009 -0.00649108
-1.69221e-009 -0.000690541
-1.66721e-009 -0.00224426
-1.64221e-009 -0.00821743
-1.61721e-009 -0.00870081
-1.59221e-009 -0.00093223
-1.56721e-009 0.00704351
-1.54221e-009 0.00949493
-1.51721e-009 0.0080448
-1.49221e-009 0.00300385
-1.46721e-009 -0.00559338
-1.44221e-009 -0.00963304
-1.41721e-009 -0.00290027
-1.39221e-009 0.00590412
-1.36721e-009 0.00697446
-1.34221e-009 0.0038325
-1.31721e-009 0.000828649
-1.29221e-009 -0.00500642
-1.26721e-009 -0.00925324
-1.24221e-009 -0.00303838
-1.21721e-009 0.00459209
-1.19221e-009 -0.00238237
-1.16721e-009 -0.0145704
-1.14221e-009 -0.0111868
-1.11721e-009 0.00145014
-1.09221e-009 0.00341818
-1.06721e-009 -0.00207162
-1.04221e-009 -0.00227878
-1.01721e-009 -0.0034527
-9.92206e-010 -0.0116011
-9.67206e-010 -0.012119
-9.42206e-010 0.00172635
-9.17206e-010 0.0119809
-8.92206e-010 0.0084246
-8.67206e-010 0.00403966
-8.42206e-010 0.00614581
-8.17206e-010 0.00807932
-7.92206e-010 0.0129131
-7.67206e-010 0.0303493
-7.42206e-010 0.0525847
-7.17206e-010 0.0643929
-6.92206e-010 0.0718507
-6.67206e-010 0.0953291
-6.42206e-010 0.141941
-6.17206e-010 0.200637
-5.92206e-010 0.257054
-5.67206e-010 0.306151
-5.42206e-010 0.353729
-5.17206e-010 0.404173
-4.92206e-010 0.451372
-4.67206e-010 0.492114
-4.42206e-010 0.536999
-4.17206e-010 0.588928
-3.92206e-010 0.629428
-3.67206e-010 0.646898
-3.42206e-010 0.655323
-3.17206e-010 0.667235
-2.92206e-010 0.677731
-2.67206e-010 0.684498
-2.42206e-010 0.689712
-2.17206e-010 0.682772
-1.92206e-010 0.656946
-1.67206e-010 0.631879
-1.42206e-010 0.623903
-1.17206e-010 0.618034
-9.22057e-011 0.598768
-6.72057e-011 0.573459
-4.22057e-011 0.54349
-1.72057e-011 0.495497
7.79433e-012 0.434316
3.27943e-011 0.378934
5.77943e-011 0.326557
8.27943e-011 0.26351
1.07794e-010 0.194767
1.32794e-010 0.122813
1.57794e-010 0.0307636
1.82794e-010 -0.0785835
2.07794e-010 -0.171461
2.32794e-010 -0.238167
2.57794e-010 -0.308223
2.82794e-010 -0.393056
3.07794e-010 -0.468359
3.32794e-010 -0.521255
3.57794e-010 -0.563688
3.82794e-010 -0.599907
4.07794e-010 -0.622764
4.32794e-010 -0.63402
4.57794e-010 -0.640131
4.82794e-010 -0.643584
5.07794e-010 -0.649592
5.32794e-010 -0.658327
5.57794e-010 -0.654494
5.82794e-010 -0.631396
6.07794e-010 -0.608815
6.32794e-010 -0.601116
6.57794e-010 -0.595281
6.82794e-010 -0.580848
7.07794e-010 -0.565277
7.32794e-010 -0.545872
7.57794e-010 -0.508583
7.82794e-010 -0.459244
8.07794e-010 -0.41391
8.32794e-010 -0.366539
8.57794e-010 -0.305253
8.82794e-010 -0.242483
9.07794e-010 -0.191211
9.32794e-010 -0.140732
9.57794e-010 -0.0860759
9.82794e-010 -0.0441601
1.00779e-009 -0.0180922
1.03279e-009 0.0122226
1.05779e-009 0.0481307
1.08279e-009 0.067086
1.10779e-009 0.0650489
1.13279e-009 0.0599044
1.15779e-009 0.0547253
1.18279e-009 0.040293
1.20779e-009 0.0249285
1.23279e-009 0.0217175
1.25779e-009 0.0212341
1.28279e-009 0.00918419
1.30779e-009 -0.00718162
1.33279e-009 -0.0170564
1.35779e-009 -0.0274145
1.38279e-009 -0.0431588
1.40779e-009 -0.0497534
1.43279e-009 -0.0368403
1.45779e-009 -0.0177814
1.48279e-009 -0.00949493
1.50779e-009 -0.0102891
1.53279e-009 -0.012188
1.55779e-009 -0.0194042
1.58279e-009 -0.0378416
1.60779e-009 -0.0576256
1.63279e-009 -0.0639441
1.65779e-009 -0.0585233
1.68279e-009 -0.0535859
1.70779e-009 -0.0516179
1.73279e-009 -0.0506166
1.75779e-009 -0.0583852
1.78279e-009 -0.0777549
1.80779e-009 -0.089356
1.83279e-009 -0.0769262
1.85779e-009 -0.0549325
1.88279e-009 -0.0438839
1.90779e-009 -0.0385322
1.93279e-009 -0.0280014
1.95779e-009 -0.0198185
1.98279e-009 -0.0188518
2.00779e-009 -0.0136036
2.03279e-009 -0.00252047
2.05779e-009 0.000552432
2.08279e-009 -0.00252047
2.10779e-009 0.0029348
2.13279e-009 0.012188
2.15779e-009 0.0105653
2.18279e-009 0.00517905
2.20779e-009 0.00745784
2.23279e-009 0.00611128
2.25779e-009 -0.00901155
2.28279e-009 -0.0238582
2.30779e-009 -0.026793
2.33279e-009 -0.0243761
2.35779e-009 -0.0182648
2.38279e-009 -0.00393608
2.40779e-009 0.00752689
2.43279e-009 0.00511
2.45779e-009 0.00134655
2.48279e-009 0.00642203
2.50779e-009 0.00693993
2.53279e-009 -0.00176088
2.55779e-009 -0.00172635
2.58279e-009 0.00773405
2.60779e-009 0.00462662
2.63279e-009 -0.00987473
2.65779e-009 -0.0125678
2.68279e-009 -0.00466115
