LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 102
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 12:49:09 0                 
Time Ampl
-1.748e-009 -0.014674
-1.698e-009 0.00656014
-1.648e-009 0.000776858
-1.598e-009 -0.0169182
-1.548e-009 -0.013034
-1.498e-009 0.000172635
-1.448e-009 -0.00543801
-1.398e-009 -0.021752
-1.348e-009 -0.029089
-1.298e-009 -0.0278806
-1.248e-009 -0.0207162
-1.198e-009 -0.0034527
-1.148e-009 0.00699172
-1.098e-009 -0.0145877
-1.048e-009 -0.0407419
-9.9797e-010 -0.0232194
-9.4797e-010 0.00543801
-8.9797e-010 -0.0149329
-8.4797e-010 -0.0452304
-7.9797e-010 -0.0220973
-7.4797e-010 0.0151056
-6.9797e-010 0.0129476
-6.4797e-010 -0.00155372
-5.9797e-010 -0.00552432
-5.4797e-010 -0.0175225
-4.9797e-010 -0.0256363
-4.4797e-010 -0.00707804
-3.9797e-010 0.0137245
-3.4797e-010 0.0126024
-2.9797e-010 0.00776858
-2.4797e-010 0.0134655
-1.9797e-010 0.0210615
-1.4797e-010 0.0324554
-9.7974e-011 0.0611128
-4.7974e-011 0.122398
2.0263e-012 0.242725
5.2026e-011 0.428739
1.0203e-010 0.637801
1.5203e-010 0.834518
2.0203e-010 1.02036
2.5203e-010 1.16865
3.0203e-010 1.23978
3.5203e-010 1.26516
4.0203e-010 1.29286
4.5203e-010 1.29986
5.0203e-010 1.25834
5.5203e-010 1.18264
6.0203e-010 1.06274
6.5203e-010 0.886481
7.0203e-010 0.695029
7.5203e-010 0.488126
8.0203e-010 0.188518
8.5203e-010 -0.192229
9.0203e-010 -0.534047
9.5203e-010 -0.797488
1.002e-009 -1.02468
1.052e-009 -1.19446
1.102e-009 -1.27603
1.152e-009 -1.30029
1.202e-009 -1.26455
1.252e-009 -1.16166
1.302e-009 -1.08009
1.352e-009 -1.06326
1.402e-009 -1.00707
1.452e-009 -0.848502
1.502e-009 -0.651266
1.552e-009 -0.465683
1.602e-009 -0.290027
1.652e-009 -0.12352
1.702e-009 0.0237373
1.752e-009 0.109364
1.802e-009 0.101596
1.852e-009 0.0647382
1.902e-009 0.0593865
1.952e-009 0.0340091
2.002e-009 -0.0335775
2.052e-009 -0.0606813
2.102e-009 -0.030988
2.152e-009 -0.0243416
2.202e-009 -0.0486831
2.252e-009 -0.0501505
2.302e-009 -0.0462662
2.352e-009 -0.0788943
2.402e-009 -0.117047
2.452e-009 -0.121449
2.502e-009 -0.106516
2.552e-009 -0.0871807
2.602e-009 -0.0599907
2.652e-009 -0.0360807
2.702e-009 -0.0221836
2.752e-009 -0.00820017
2.802e-009 0.00362534
2.852e-009 -0.00224426
2.902e-009 -0.0284848
2.952e-009 -0.04946
3.002e-009 -0.0301248
3.052e-009 0.00543801
3.102e-009 -0.00552432
3.152e-009 -0.0360807
3.202e-009 -0.00845912
3.252e-009 0.0415188
3.302e-009 0.0253774
