LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 302
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 12:57:58 0                 
Time Ampl
-1.50059e-009 0.0158824
-1.48392e-009 0.0188172
-1.46725e-009 -0.0098402
-1.45059e-009 -0.0205436
-1.43392e-009 0.0308154
-1.41725e-009 0.0413461
-1.40059e-009 -0.0148466
-1.38392e-009 -0.0237373
-1.36725e-009 0.00276216
-1.35059e-009 -0.0147603
-1.33392e-009 -0.00854544
-1.31725e-009 0.0517042
-1.30059e-009 0.0548117
-1.28392e-009 0.00768226
-1.26725e-009 0.0143287
-1.25059e-009 0.0321101
-1.23392e-009 -0.00535169
-1.21725e-009 -0.0363397
-1.20059e-009 -0.0353039
-1.18392e-009 -0.0330596
-1.16725e-009 0.00379797
-1.15059e-009 0.0596454
-1.13392e-009 0.0451441
-1.11725e-009 -0.00431588
-1.10059e-009 0.00405693
-1.08392e-009 0.0285711
-1.06725e-009 0.019853
-1.05059e-009 0.0149329
-1.03392e-009 0.00595591
-1.01725e-009 -0.0208025
-1.00059e-009 -0.0100992
-9.83921e-010 0.0119118
-9.67254e-010 -0.0288301
-9.50588e-010 -0.0611992
-9.33921e-010 -0.0208025
-9.17254e-010 -0.00319375
-9.00588e-010 -0.0287438
-8.83921e-010 -0.00267584
-8.67254e-010 0.029348
-8.50588e-010 -0.0192488
-8.33921e-010 -0.0605949
-8.17254e-010 -0.0289164
-8.00588e-010 -0.00241689
-7.83921e-010 -0.00267584
-7.67254e-010 0.000431588
-7.50588e-010 -0.0279669
-7.33921e-010 -0.0654287
-7.17254e-010 -0.0435041
-7.00588e-010 -0.0187309
-6.83921e-010 -0.0361671
-6.67254e-010 -0.00733699
-6.50588e-010 0.060336
-6.33921e-010 0.056538
-6.17254e-010 0.0234784
-6.00588e-010 0.0410008
-5.83921e-010 0.0398787
-5.67254e-010 0.00871807
-5.50588e-010 0.034786
-5.33921e-010 0.0667235
-5.17254e-010 0.0344407
-5.00588e-010 0.0359081
-4.83921e-010 0.0863176
-4.67254e-010 0.0552432
-4.50588e-010 -0.0169182
-4.33921e-010 0.00362534
-4.17254e-010 0.0439356
-4.00588e-010 0.0117392
-3.83921e-010 -0.000604223
-3.67254e-010 0.0447125
-3.50588e-010 0.0554159
-3.33921e-010 0.0313333
-3.17254e-010 0.0267584
-3.00588e-010 0.0142424
-2.83921e-010 -0.0121708
-2.67254e-010 -0.0157961
-2.50588e-010 -0.0223563
-2.33921e-010 -0.0351313
-2.17254e-010 0.0103581
-2.00588e-010 0.0792395
-1.83921e-010 0.0662056
-1.67254e-010 0.000949493
-1.50588e-010 -0.0129476
-1.33921e-010 0.0245142
-1.17254e-010 0.0557612
-1.00588e-010 0.0556748
-8.39209e-011 0.0294343
-6.72543e-011 0.0195078
-5.05876e-011 0.0649108
-3.39209e-011 0.131462
-1.72543e-011 0.179627
-5.87593e-013 0.226756
1.60791e-011 0.274058
3.27457e-011 0.305133
4.94124e-011 0.353729
6.60791e-011 0.431847
8.27457e-011 0.483637
9.94124e-011 0.504526
1.16079e-010 0.550706
1.32746e-010 0.62632
1.49412e-010 0.713674
1.66079e-010 0.823729
1.82746e-010 0.916261
1.99412e-010 0.938186
2.16079e-010 0.948371
2.32746e-010 1.01596
2.49412e-010 1.08363
2.66079e-010 1.09692
2.82746e-010 1.11816
2.99412e-010 1.19584
3.16079e-010 1.2781
3.32746e-010 1.31021
3.49412e-010 1.30158
3.66079e-010 1.29494
3.82746e-010 1.31703
3.99412e-010 1.34258
4.16079e-010 1.32998
4.32746e-010 1.30132
4.49412e-010 1.30598
4.66079e-010 1.32161
4.82746e-010 1.29778
4.99412e-010 1.26015
5.16079e-010 1.25799
5.32746e-010 1.26239
5.49412e-010 1.22416
5.66079e-010 1.17634
5.82746e-010 1.17271
5.99412e-010 1.17875
6.16079e-010 1.1349
6.32746e-010 1.07129
6.49412e-010 1.04125
6.66079e-010 1.01717
6.82746e-010 0.964513
6.99412e-010 0.906076
7.16079e-010 0.835209
7.32746e-010 0.719716
7.49412e-010 0.608539
7.66079e-010 0.551138
7.82746e-010 0.472848
7.99412e-010 0.318339
8.16079e-010 0.182216
8.32746e-010 0.132066
8.49412e-010 0.0802753
8.66079e-010 -0.0493737
8.82746e-010 -0.204918
8.99412e-010 -0.316613
9.16079e-010 -0.397579
9.32746e-010 -0.499175
9.49412e-010 -0.625802
9.66079e-010 -0.736116
9.82746e-010 -0.832792
9.99412e-010 -0.952255
1.01608e-009 -1.04384
1.03275e-009 -1.03762
1.04941e-009 -1.02217
1.06608e-009 -1.09969
1.08275e-009 -1.17262
1.09941e-009 -1.15657
1.11608e-009 -1.16468
1.13275e-009 -1.23348
1.14941e-009 -1.22951
1.16608e-009 -1.17392
1.18275e-009 -1.2138
1.19941e-009 -1.28018
1.21608e-009 -1.23123
1.23275e-009 -1.16606
1.24941e-009 -1.19999
1.26608e-009 -1.22252
1.28275e-009 -1.16054
1.29941e-009 -1.12705
1.31608e-009 -1.15778
1.33275e-009 -1.14751
1.34941e-009 -1.08268
1.36608e-009 -1.05506
1.38275e-009 -1.07707
1.39941e-009 -1.07802
1.41608e-009 -1.03857
1.43275e-009 -1.00508
1.44941e-009 -0.99481
1.46608e-009 -0.968483
1.48275e-009 -0.907888
1.49941e-009 -0.841596
1.51608e-009 -0.775304
1.53275e-009 -0.69149
1.54941e-009 -0.609488
1.56608e-009 -0.541211
1.58275e-009 -0.458433
1.59941e-009 -0.378244
1.61608e-009 -0.340005
1.63275e-009 -0.292358
1.64941e-009 -0.193697
1.66608e-009 -0.124211
1.68275e-009 -0.107552
1.69941e-009 -0.0392745
1.71608e-009 0.071212
1.73275e-009 0.091324
1.74941e-009 0.036685
1.76608e-009 0.0331459
1.78275e-009 0.0851954
1.79941e-009 0.134828
1.81608e-009 0.173239
1.83275e-009 0.165643
1.84941e-009 0.0993515
1.86608e-009 0.0726794
1.88275e-009 0.114716
1.89941e-009 0.101682
1.91608e-009 0.0133792
1.93275e-009 -0.0237373
1.94941e-009 -0.0100992
1.96608e-009 -0.047302
1.98275e-009 -0.0874397
1.99941e-009 -0.0387566
2.01608e-009 0.00828649
2.03275e-009 -0.0504095
2.04941e-009 -0.119636
2.06608e-009 -0.0882166
2.08275e-009 -0.0325417
2.09941e-009 -0.058437
2.11608e-009 -0.118169
2.13275e-009 -0.119464
2.14941e-009 -0.0711257
2.16608e-009 -0.0277079
2.18275e-009 -0.0105307
2.19941e-009 -0.0252047
2.21608e-009 -0.0575738
2.23275e-009 -0.0686225
2.24941e-009 -0.0670688
2.26608e-009 -0.0994378
2.28275e-009 -0.142942
2.29941e-009 -0.150538
2.31608e-009 -0.154681
2.33275e-009 -0.166766
2.34941e-009 -0.123607
2.36608e-009 -0.0607676
2.38275e-009 -0.0851091
2.39941e-009 -0.133879
2.41608e-009 -0.0855407
2.43275e-009 -0.0315059
2.44941e-009 -0.0945177
2.46608e-009 -0.178332
2.48275e-009 -0.178936
2.49941e-009 -0.157184
2.51608e-009 -0.151401
2.53275e-009 -0.130944
2.54941e-009 -0.13198
2.56608e-009 -0.17229
2.58275e-009 -0.169528
2.59941e-009 -0.100819
2.61608e-009 -0.0387566
2.63275e-009 -0.0093223
2.64941e-009 0.00164003
2.66608e-009 -0.00975389
2.68275e-009 -0.0246005
2.69941e-009 -0.0330596
2.71608e-009 -0.0639613
2.73275e-009 -0.087785
2.74941e-009 -0.0555885
2.76608e-009 -0.0213204
2.78275e-009 -0.0246005
2.79941e-009 -0.00517905
2.81608e-009 0.0219247
2.83275e-009 -0.00897703
2.84941e-009 -0.0195078
2.86608e-009 0.047561
2.88275e-009 0.0665508
2.89941e-009 0.0100992
2.91608e-009 0.0141561
2.93275e-009 0.0438493
2.94941e-009 -0.0207162
2.96608e-009 -0.0647382
2.98275e-009 0.00914966
2.99941e-009 0.0315059
3.01608e-009 -0.0644792
3.03275e-009 -0.0974525
3.04941e-009 -0.0339228
3.06608e-009 -0.0142424
3.08275e-009 -0.0259816
3.09941e-009 0.00621487
3.11608e-009 0.0231331
3.13275e-009 -0.00302112
3.14941e-009 -0.00828649
3.16608e-009 -0.0100992
3.18275e-009 -0.0444536
3.19941e-009 -0.0428135
3.21608e-009 0.0106171
3.23275e-009 0.0164003
3.24941e-009 -0.0387566
3.26608e-009 -0.0536895
3.28275e-009 0.00258953
3.29941e-009 0.0543801
3.31608e-009 0.0461799
3.33275e-009 0.0117392
