LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:13:56 0                 
Time Ampl
-1.000641e-008 -0.0194215
-9.989739e-009 -0.0170909
-9.973072e-009 0.0314196
-9.956405e-009 0.0391882
-9.939739e-009 -0.00906335
-9.923072e-009 -0.0254637
-9.906405e-009 -0.00517905
-9.889739e-009 0.00215794
-9.873072e-009 0.0063875
-9.856405e-009 -0.000949493
-9.839739e-009 -0.0443672
-9.823072e-009 -0.0599044
-9.806405e-009 -0.0100128
-9.789739e-009 0.0231331
-9.773072e-009 0.0153645
-9.756405e-009 0.0273627
-9.739739e-009 0.0215794
-9.723072e-009 -0.0509274
-9.706405e-009 -0.0921009
-9.689739e-009 -0.0476473
-9.673072e-009 -0.0201983
-9.656405e-009 -0.0384113
-9.639739e-009 -0.0251184
-9.623072e-009 -0.00630118
-9.606405e-009 -0.0340954
-9.589739e-009 -0.0325417
-9.573072e-009 0.0302112
-9.556405e-009 0.0498052
-9.539739e-009 0.00699172
-9.523072e-009 -0.00181267
-9.506405e-009 0.0256363
-9.489739e-009 0.0251184
-9.473072e-009 0.0239963
-9.456405e-009 0.060077
-9.439739e-009 0.0786353
-9.423072e-009 0.044022
-9.406405e-009 0.00664645
-9.389739e-009 -0.00284848
-9.373072e-009 -0.0171772
-9.356405e-009 -0.0471294
-9.339739e-009 -0.0504958
-9.323072e-009 -0.0119981
-9.306405e-009 0.016314
-9.289739e-009 0.00276216
-9.273072e-009 -0.00543801
-9.256405e-009 0.0164867
-9.239739e-009 0.0134655
-9.223072e-009 -0.0190762
-9.206405e-009 -0.00552432
-9.189739e-009 0.0365123
-9.173072e-009 0.0122571
-9.156405e-009 -0.0396198
-9.139739e-009 -0.0166593
-9.123072e-009 0.0250321
-9.106405e-009 -0.00802753
-9.089739e-009 -0.0480789
-9.073072e-009 -0.0311606
-9.056405e-009 -0.036685
-9.039739e-009 -0.0833828
-9.023072e-009 -0.067673
-9.006405e-009 0.00466115
-8.989739e-009 0.0187309
-8.973072e-009 -0.0209752
-8.956405e-009 -0.0315922
-8.939739e-009 -0.0268448
-8.923072e-009 -0.0415188
-8.906405e-009 -0.0330596
-8.889739e-009 0.000690541
-8.873072e-009 -0.00284848
-8.856405e-009 -0.0234784
-8.839739e-009 0.0063875
-8.823072e-009 0.0391882
-8.806405e-009 -0.00164003
-8.789739e-009 -0.0512726
-8.773072e-009 -0.0222699
-8.756405e-009 0.0211478
-8.739739e-009 -0.00422956
-8.723072e-009 -0.0355628
-8.706405e-009 -0.0029348
-8.689739e-009 0.0256363
-8.673072e-009 -0.0109623
-8.656405e-009 -0.0419503
-8.639739e-009 -0.0140698
-8.623072e-009 0.00794122
-8.606405e-009 -0.012775
-8.589739e-009 -0.012516
-8.573072e-009 0.0262405
-8.556405e-009 0.0337502
-8.539739e-009 0.00189899
-8.523072e-009 -0.00112213
-8.506405e-009 0.022011
-8.489739e-009 0.00716436
-8.473072e-009 -0.029089
-8.456405e-009 -0.0261542
-8.439739e-009 -0.00845912
-8.423072e-009 -0.019853
-8.406405e-009 -0.021752
-8.389739e-009 0.0098402
-8.373072e-009 0.0187309
-8.356405e-009 0.00172635
-8.339739e-009 0.0234784
-8.323072e-009 0.0545527
-8.306405e-009 0.016573
-8.289739e-009 -0.0374618
-8.273072e-009 -0.0221836
-8.256405e-009 0.00906335
-8.239739e-009 0.00224426
-8.223072e-009 0.0170046
-8.206405e-009 0.0547253
-8.189739e-009 0.0342681
-8.173072e-009 -0.0120845
-8.156405e-009 -0.00509274
-8.139739e-009 -0.00103581
-8.123072e-009 -0.0406556
-8.106405e-009 -0.031247
-8.089739e-009 0.0218383
-8.073072e-009 -0.00509274
-8.056405e-009 -0.0608539
-8.039739e-009 -0.00828649
-8.023072e-009 0.0577465
-8.006405e-009 0.00233057
-7.989739e-009 -0.047561
-7.973072e-009 0.0181267
-7.956405e-009 0.0427272
-7.939739e-009 -0.0541211
-7.923072e-009 -0.0966757
-7.906405e-009 -0.0207162
-7.889739e-009 0.0194215
-7.873072e-009 -0.0138108
-7.856405e-009 -0.0173498
-7.839739e-009 -0.00768226
-7.823072e-009 -0.0397924
-7.806405e-009 -0.030988
-7.789739e-009 0.0485968
-7.773072e-009 0.0654287
-7.756405e-009 -0.00707804
-7.739739e-009 -0.0243416
-7.723072e-009 0.031247
-7.706405e-009 0.0365987
-7.689739e-009 0.00164003
-7.673072e-009 0.0143287
-7.656405e-009 0.0216657
-7.639739e-009 -0.0325417
-7.623072e-009 -0.0484242
-7.606405e-009 0.0208889
-7.589739e-009 0.0591275
-7.573072e-009 0.0215794
-7.556405e-009 -0.000431588
-7.539739e-009 0.0170046
-7.523072e-009 0.0176951
-7.506405e-009 -0.000517905
-7.489739e-009 -0.0132929
-7.473072e-009 -0.0189035
-7.456405e-009 0.000172635
-7.439739e-009 0.0305564
-7.423072e-009 0.0126024
-7.406405e-009 -0.0269311
-7.389739e-009 -0.00164003
-7.373072e-009 0.0476473
-7.356405e-009 0.0279669
-7.339739e-009 -0.0128613
-7.323072e-009 -0.00284848
-7.306405e-009 0.00725068
-7.289739e-009 -0.00992652
-7.273072e-009 0.00595591
-7.256405e-009 0.0334912
-7.239739e-009 -0.00811385
-7.223072e-009 -0.0744057
-7.206405e-009 -0.0620623
