LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 2002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:17:43 0                 
Time Ampl
-1.000822e-008 -0.0216657
-9.983217e-009 -0.0167456
-9.958217e-009 -0.0540348
-9.933217e-009 -0.0659466
-9.908217e-009 -0.0260679
-9.883217e-009 0.00681909
-9.858217e-009 0.00431588
-9.833217e-009 0.00845912
-9.808217e-009 0.0294343
-9.783217e-009 0.0214931
-9.758217e-009 -0.0157961
-9.733217e-009 -0.027449
-9.708217e-009 -0.00526537
-9.683217e-009 0.00336639
-9.658217e-009 -0.00940862
-9.633217e-009 -0.00621487
-9.608217e-009 0.0143287
-9.583217e-009 0.0178677
-9.558217e-009 0.00302112
-9.533217e-009 -0.00034527
-9.508217e-009 0.0101855
-9.483217e-009 0.0115666
-9.458217e-009 0.00172635
-9.433217e-009 -0.00129476
-9.408217e-009 0.00483378
-9.383217e-009 0.00362534
-9.358217e-009 -0.00897703
-9.333217e-009 -0.0136382
-9.308217e-009 0.00336639
-9.283217e-009 0.023651
-9.258217e-009 0.0194215
-9.233217e-009 -0.00241689
-9.208217e-009 -0.0129476
-9.183217e-009 -0.0126887
-9.158217e-009 -0.0259816
-9.133217e-009 -0.0446262
-9.108217e-009 -0.0346133
-9.083217e-009 0.000172635
-9.058217e-009 0.0208025
-9.033217e-009 0.0195941
-9.008217e-009 0.0208889
-8.983217e-009 0.0211478
-8.958217e-009 -0.00742331
-8.933217e-009 -0.05274
-8.908217e-009 -0.0675003
-8.883217e-009 -0.0426409
-8.858217e-009 -0.0237373
-8.833217e-009 -0.0405693
-8.808217e-009 -0.0614581
-8.783217e-009 -0.0459209
-8.758217e-009 -0.0126887
-8.733217e-009 -0.00966757
-8.708217e-009 -0.0289164
-8.683217e-009 -0.0174361
-8.658217e-009 0.0211478
-8.633217e-009 0.0201983
-8.608217e-009 -0.0283122
-8.583217e-009 -0.0451441
-8.558217e-009 0.000604223
-8.533217e-009 0.036426
-8.508217e-009 0.0161414
-8.483217e-009 -0.00776858
-8.458217e-009 0.00353902
-8.433217e-009 0.00958125
-8.408217e-009 -0.0138108
-8.383217e-009 -0.0268448
-8.358217e-009 -0.0156235
-8.333217e-009 -0.0187309
-8.308217e-009 -0.0381524
-8.283217e-009 -0.0320238
-8.258217e-009 -0.00552432
-8.233217e-009 -0.00397061
-8.208217e-009 -0.0205436
-8.183217e-009 -0.0107897
-8.158217e-009 0.0164003
-8.133217e-009 0.0176088
-8.108217e-009 -8.63176e-005
-8.083217e-009 0
-8.058217e-009 0.0122571
-8.033217e-009 0.0113939
-8.008217e-009 0.00457483
-7.983217e-009 0.00647382
-7.958217e-009 0.00681909
-7.933217e-009 0.00302112
-7.908217e-009 0.0119118
-7.883217e-009 0.0269311
-7.858217e-009 0.0231331
-7.833217e-009 0.0078549
-7.808217e-009 0.00690541
-7.783217e-009 0.0142424
-7.758217e-009 0.0129476
-7.733217e-009 0.0114802
-7.708217e-009 0.0123434
-7.683217e-009 -0.00517905
-7.658217e-009 -0.034527
-7.633217e-009 -0.0395334
-7.608217e-009 -0.0229605
-7.583217e-009 -0.0205436
-7.558217e-009 -0.0271037
-7.533217e-009 -0.0157098
-7.508217e-009 -0.00466115
-7.483217e-009 -0.0189035
-7.458217e-009 -0.0294343
-7.433217e-009 -0.00975389
-7.408217e-009 0.0109623
-7.383217e-009 0.0126024
-7.358217e-009 0.0191625
-7.333217e-009 0.0308154
-7.308217e-009 0.0167456
-7.283217e-009 -0.0100992
-7.258217e-009 -0.0101855
-7.233217e-009 0.00647382
-7.208217e-009 0.00854544
-7.183217e-009 0.00397061
-7.158217e-009 -0.000172635
-7.133217e-009 -0.0210615
-7.108217e-009 -0.038584
-7.083217e-009 -0.0134655
-7.058217e-009 0.0208889
-7.033217e-009 0.00578328
-7.008217e-009 -0.0256363
-6.983217e-009 -0.0126024
-6.958217e-009 0.0123434
-6.933217e-009 0.000776858
-6.908217e-009 -0.00699172
-6.883217e-009 0.0226152
-6.858217e-009 0.0363397
-6.833217e-009 0.0113076
-6.808217e-009 0.00716436
-6.783217e-009 0.0329733
-6.758217e-009 0.0203709
-6.733217e-009 -0.029348
-6.708217e-009 -0.0428135
-6.683217e-009 -0.0208889
-6.658217e-009 -0.0240826
-6.633217e-009 -0.039965
-6.608217e-009 -0.0192488
-6.583217e-009 0.0129476
-6.558217e-009 0.0126887
-6.533217e-009 0.00448851
-6.508217e-009 0.0140698
-6.483217e-009 0.0106171
-6.458217e-009 -0.0164003
-6.433217e-009 -0.0280532
-6.408217e-009 -0.0170909
-6.383217e-009 -0.0106171
-6.358217e-009 0
-6.333217e-009 0.0278806
-6.308217e-009 0.0322828
-6.283217e-009 -0.00768226
-6.258217e-009 -0.0322828
-6.233217e-009 -0.00500642
-6.208217e-009 0.0167456
-6.183217e-009 -0.00604223
-6.158217e-009 -0.0218383
-6.133217e-009 0.00233057
-6.108217e-009 0.0178677
-6.083217e-009 0.00034527
-6.058217e-009 0.000517905
-6.033217e-009 0.0378934
-6.008217e-009 0.0559338
-5.983217e-009 0.0257226
-5.958217e-009 -0.00328007
-5.933217e-009 0.00422956
-5.908217e-009 0.0113076
-5.883217e-009 -0.0164867
-5.858217e-009 -0.0474747
-5.833217e-009 -0.038584
-5.808217e-009 -0.00750963
-5.783217e-009 -0.0014674
-5.758217e-009 -0.0235647
-5.733217e-009 -0.038325
-5.708217e-009 -0.0338365
-5.683217e-009 -0.0254637
-5.658217e-009 -0.0113076
-5.633217e-009 0.018213
-5.608217e-009 0.0406556
-5.583217e-009 0.0302975
-5.558217e-009 0.00794122
-5.533217e-009 0.00310743
-5.508217e-009 0.00103581
-5.483217e-009 -0.0131203
-5.458217e-009 -0.0138971
-5.433217e-009 0.00362534
-5.408217e-009 -0.00267584
-5.383217e-009 -0.0363397
-5.358217e-009 -0.0403103
-5.333217e-009 -0.00336639
-5.308217e-009 0.0179541
-5.283217e-009 0.00923598
-5.258217e-009 0.0124297
-5.233217e-009 0.0227015
-5.208217e-009 -0.00310743
-5.183217e-009 -0.044022
-5.158217e-009 -0.0451441
-5.133217e-009 -0.0207162
-5.108217e-009 -0.0128613
-5.083217e-009 -0.00457483
-5.058217e-009 0.0262405
-5.033217e-009 0.039965
-5.008217e-009 0.013034
-4.983217e-009 -0.00811385
-4.958217e-009 0.00310743
-4.933217e-009 0.00863176
-4.908217e-009 -0.00431588
-4.883217e-009 0.00120845
-4.858217e-009 0.0246005
-4.833217e-009 0.0246005
-4.808217e-009 0.00690541
-4.783217e-009 0.00958125
-4.758217e-009 0.0187309
-4.733217e-009 -0.0019853
-4.708217e-009 -0.0322828
-4.683217e-009 -0.0321101
-4.658217e-009 -0.0115666
-4.633217e-009 0.00112213
-4.608217e-009 0.0083728
-4.583217e-009 0.0123434
-4.558217e-009 0.00129476
-4.533217e-009 -0.0126887
-4.508217e-009 -0.00914966
-4.483217e-009 -0.00621487
-4.458217e-009 -0.0196804
-4.433217e-009 -0.0133792
-4.408217e-009 0.0316785
-4.383217e-009 0.0582644
-4.358217e-009 0.0285711
-4.333217e-009 -0.00164003
-4.308217e-009 0.0133792
-4.283217e-009 0.0281395
-4.258217e-009 0.00647382
-4.233217e-009 -0.0063875
-4.208217e-009 0.0155372
-4.183217e-009 0.0219247
-4.158217e-009 -0.00871807
-4.133217e-009 -0.0237373
-4.108217e-009 -0.00207162
-4.083217e-009 0.00725068
-4.058217e-009 -0.0148466
-4.033217e-009 -0.0222699
-4.008217e-009 0.0058696
-3.983217e-009 0.0281395
-3.958217e-009 0.0124297
-3.933217e-009 -0.0158824
-3.908217e-009 -0.0120845
-3.883217e-009 0.029348
-3.858217e-009 0.0642203
-3.833217e-009 0.0520495
-3.808217e-009 0.0128613
-3.783217e-009 -0.00362534
-3.758217e-009 0.00621487
-3.733217e-009 0.010876
-3.708217e-009 0.0136382
-3.683217e-009 0.0337502
-3.658217e-009 0.0447988
-3.633217e-009 0.0152782
-3.608217e-009 -0.0239963
-3.583217e-009 -0.0323691
-3.558217e-009 -0.0272764
-3.533217e-009 -0.0315059
-3.508217e-009 -0.0215794
-3.483217e-009 0.0134655
-3.458217e-009 0.0370302
-3.433217e-009 0.0301248
-3.408217e-009 0.0154508
-3.383217e-009 0.000949493
-3.358217e-009 -0.0233921
-3.333217e-009 -0.0406556
-3.308217e-009 -0.0305564
-3.283217e-009 -0.0129476
-3.258217e-009 -0.0116529
-3.233217e-009 -0.0138108
-3.208217e-009 -0.00457483
-3.183217e-009 0.00604223
-3.158217e-009 0.0124297
-3.133217e-009 0.0207162
-3.108217e-009 0.0251184
-3.083217e-009 0.0195941
-3.058217e-009 0.0168319
-3.033217e-009 0.0237373
-3.008217e-009 0.0261542
-2.983217e-009 0.016573
-2.958217e-009 0.00276216
-2.933217e-009 -0.0119981
-2.908217e-009 -0.0231331
-2.883217e-009 -0.0186446
-2.858217e-009 -0.00681909
-2.833217e-009 -0.0117392
-2.808217e-009 -0.0248595
-2.783217e-009 -0.0171772
-2.758217e-009 0.00155372
-2.733217e-009 0.00224426
-2.708217e-009 -0.0029348
-2.683217e-009 0.00811385
-2.658217e-009 0.0131203
-2.633217e-009 -0.00681909
-2.608217e-009 -0.0200257
-2.583217e-009 -0.00768226
-2.558217e-009 -0.00319375
-2.533217e-009 -0.0181267
-2.508217e-009 -0.0173498
-2.483217e-009 0.00353902
-2.458217e-009 0.0107897
