LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 1002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:25:42 0                 
Time Ampl
-1.00385e-008 0.00267584
-9.98848e-009 -0.00457483
-9.93848e-009 -0.00483378
-9.88848e-009 0.0106171
-9.83848e-009 0.0132066
-9.78848e-009 0.00310743
-9.73848e-009 0.00612855
-9.68848e-009 0.0134655
-9.63848e-009 0.00621487
-9.58848e-009 -0.00172635
-9.53848e-009 -0.000863176
-9.48848e-009 -0.00181267
-9.43848e-009 -8.63176e-005
-9.38848e-009 0.00535169
-9.33848e-009 -0.00543801
-9.28848e-009 -0.0196804
-9.23848e-009 -0.00328007
-9.18848e-009 0.0181267
-9.13848e-009 -0.000604223
-9.08848e-009 -0.0299522
-9.03848e-009 -0.0192488
-8.98848e-009 0.0083728
-8.93848e-009 0.0019853
-8.88848e-009 -0.0223563
-8.83848e-009 -0.0151056
-8.78848e-009 0.010876
-8.73848e-009 0.00742331
-8.68848e-009 -0.0169182
-8.63848e-009 -0.027449
-8.58848e-009 -0.0261542
-8.53848e-009 -0.018472
-8.48848e-009 -0.00561064
-8.43848e-009 -0.00500642
-8.38848e-009 -0.00612855
-8.33848e-009 0.0117392
-8.28848e-009 0.0195941
-8.23848e-009 0.0105307
-8.18848e-009 0.0202846
-8.13848e-009 0.021752
-8.08848e-009 -0.0158824
-8.03848e-009 -0.0307291
-7.98848e-009 -0.00422956
-7.93848e-009 -0.00612855
-7.88848e-009 -0.0282258
-7.83848e-009 -0.00664645
-7.78848e-009 0.0277079
-7.73848e-009 0.0151919
-7.68848e-009 -0.0172635
-7.63848e-009 -0.0164003
-7.58848e-009 0.00949493
-7.53848e-009 0.0194215
-7.48848e-009 0.0113076
-7.43848e-009 0.0115666
-7.38848e-009 0.012775
-7.33848e-009 -0.00535169
-7.28848e-009 -0.0226152
-7.23848e-009 -0.0180404
-7.18848e-009 -8.63176e-005
-7.13848e-009 0.0222699
-7.08848e-009 0.0313333
-7.03848e-009 0.0101855
-6.98848e-009 -0.0129476
-6.93848e-009 -0.0143287
-6.88848e-009 -0.018472
-6.83848e-009 -0.0248595
-6.78848e-009 -0.00828649
-6.73848e-009 0.00742331
-6.68848e-009 8.63176e-005
-6.63848e-009 -0.00215794
-6.58848e-009 0.00604223
-6.53848e-009 0.00172635
-6.48848e-009 -0.00535169
-6.43848e-009 0
-6.38848e-009 0.00517905
-6.33848e-009 -0.00302112
-6.28848e-009 -0.0233921
-6.23848e-009 -0.0363397
-6.18848e-009 -0.0188172
-6.13848e-009 0.00871807
-6.08848e-009 0.00595591
-6.03848e-009 -0.0143287
-5.98848e-009 -0.00897703
-5.93848e-009 0.019853
-5.88848e-009 0.0335775
-5.83848e-009 0.0189035
-5.78848e-009 -0.00250321
-5.73848e-009 -0.012516
-5.68848e-009 -0.00880439
-5.63848e-009 0.00828649
-5.58848e-009 0.0216657
-5.53848e-009 0.00431588
-5.48848e-009 -0.0303838
-5.43848e-009 -0.0405693
-5.38848e-009 -0.0210615
-5.33848e-009 -0.000258953
-5.28848e-009 0.0063875
-5.23848e-009 0.0014674
-5.18848e-009 -0.00422956
-5.13848e-009 0.00388429
-5.08848e-009 0.0211478
-5.03848e-009 0.0204573
-4.98848e-009 0.00189899
-4.93848e-009 -0.000604223
-4.88848e-009 0.0169182
-4.83848e-009 0.0229605
-4.78848e-009 0.0120845
-4.73848e-009 0.00431588
-4.68848e-009 0.0100992
