LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:34:38 0                 
Time Ampl
-1.000229e-008 -0.00958125
-9.985625e-009 -0.02719
-9.968959e-009 0.0105307
-9.952292e-009 0.02555
-9.935625e-009 -0.0141561
-9.918959e-009 -0.00379797
-9.902292e-009 0.0386703
-9.885625e-009 0.0145877
-9.868959e-009 -0.0119981
-9.852292e-009 0.016314
-9.835625e-009 0.00474747
-9.818959e-009 -0.0397061
-9.802292e-009 -0.00707804
-9.785625e-009 0.0388429
-9.768959e-009 -0.000258953
-9.752292e-009 -0.0290027
-9.735625e-009 0.0152782
-9.718959e-009 0.0372029
-9.702292e-009 0.0164867
-9.685625e-009 0.0141561
-9.668959e-009 0.0164003
-9.652292e-009 0.0169182
-9.635625e-009 0.038584
-9.618959e-009 0.0194215
-9.602292e-009 -0.0508411
-9.585625e-009 -0.0457483
-9.568959e-009 0.0361671
-9.552292e-009 0.0473883
-9.535625e-009 -0.00388429
-9.518959e-009 -0.0044022
-9.502292e-009 0.0154508
-9.485625e-009 -0.000690541
-9.468959e-009 -0.00716436
-9.452292e-009 -0.00405693
-9.435625e-009 -0.0267584
-9.418959e-009 -0.0244279
-9.402292e-009 0.0129476
-9.385625e-009 0.00379797
-9.368959e-009 -0.0389292
-9.352292e-009 -0.0391019
-9.335625e-009 -0.0252047
-9.318959e-009 -0.0269311
-9.302292e-009 0.00940862
-9.285625e-009 0.062235
-9.268959e-009 0.0445399
-9.252292e-009 -0.0160551
-9.235625e-009 -0.0304701
-9.218959e-009 0.0029348
-9.202292e-009 0.0335775
-9.185625e-009 0.0247731
-9.168959e-009 -0.0212341
-9.152292e-009 -0.0343544
-9.135625e-009 0.0234784
-9.118959e-009 0.0608539
-9.102292e-009 0.0126024
-9.085625e-009 -0.0417777
-9.068959e-009 -0.038066
-9.052292e-009 -0.00802753
-9.035625e-009 0.025291
-9.018959e-009 0.0410008
-9.002292e-009 0.00267584
-8.985625e-009 -0.0367713
-8.968959e-009 -0.00379797
-8.952292e-009 0.0348723
-8.935625e-009 0.00276216
-8.918959e-009 -0.0354765
-8.902292e-009 -0.034527
-8.885625e-009 -0.0403103
-8.868959e-009 -0.036685
-8.852292e-009 0.012516
-8.835625e-009 0.0356492
-8.818959e-009 -0.00397061
-8.802292e-009 -0.0212341
-8.785625e-009 0.00802753
-8.768959e-009 0.016573
-8.752292e-009 -0.000517905
-8.735625e-009 -0.0155372
-8.718959e-009 -0.039965
-8.702292e-009 -0.0443672
-8.685625e-009 0.00181267
-8.668959e-009 0.0201983
-8.652292e-009 -0.0321101
-8.635625e-009 -0.0469568
-8.618959e-009 0.0195078
-8.602292e-009 0.0489421
-8.585625e-009 -0.00181267
-8.568959e-009 -0.0338365
-8.552292e-009 -0.0160551
-8.535625e-009 -0.00854544
-8.518959e-009 -0.0160551
-8.502292e-009 -0.0135519
-8.485625e-009 -0.020112
-8.468959e-009 -0.0307291
-8.452292e-009 -0.00569696
-8.435625e-009 0.0281395
-8.418959e-009 0.0118255
-8.402292e-009 -0.027449
-8.385625e-009 -0.0277943
-8.368959e-009 -0.00759595
-8.352292e-009 -0.00750963
-8.335625e-009 -0.00215794
-8.318959e-009 0.023651
-8.302292e-009 0.011135
-8.285625e-009 -0.0587823
-8.268959e-009 -0.0905471
-8.252292e-009 -0.0190762
-8.235625e-009 0.0621487
-8.218959e-009 0.0373755
-8.202292e-009 -0.0381524
-8.185625e-009 -0.0279669
-8.168959e-009 0.0447125
-8.152292e-009 0.0346997
-8.135625e-009 -0.0573149
-8.118959e-009 -0.0832965
-8.102292e-009 -0.0251184
-8.085625e-009 -0.00923598
-8.068959e-009 -0.041864
-8.052292e-009 -0.0156235
-8.035625e-009 0.047302
-8.018959e-009 0.0419503
-8.002292e-009 -0.00319375
-7.985625e-009 -0.00466115
-7.968959e-009 0.00543801
