LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 202
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 13:50:32 0                 
Time Ampl
-5.03014e-009 0.0158824
-4.98014e-009 0.00854544
-4.93014e-009 -0.0162277
-4.88014e-009 -0.016573
-4.83014e-009 0.00673277
-4.78014e-009 -0.00181267
-4.73014e-009 -0.0365123
-4.68014e-009 -0.0277943
-4.63014e-009 0.0105307
-4.58014e-009 0.0158824
-4.53014e-009 0.00750963
-4.48014e-009 0.0126887
-4.43014e-009 0.00431588
-4.38014e-009 -0.00854544
-4.33014e-009 0.00768226
-4.28014e-009 0.0315922
-4.23014e-009 0.030988
-4.18014e-009 0.0114802
-4.13014e-009 -0.0019853
-4.08014e-009 0.00276216
-4.03014e-009 -0.000776858
-3.98014e-009 -0.0290027
-3.93014e-009 -0.036685
-3.88014e-009 -0.0118255
-3.83014e-009 -0.0128613
-3.78014e-009 -0.0334049
-3.73014e-009 -0.0132929
-3.68014e-009 0.0185583
-3.63014e-009 0.00509274
-3.58014e-009 -0.0216657
-3.53014e-009 -0.019853
-3.48014e-009 -0.00612855
-3.43014e-009 0.00129476
-3.38014e-009 -0.000949493
-3.33014e-009 -0.0157098
-3.28014e-009 -0.0271037
-3.23014e-009 -0.0230468
-3.18014e-009 -0.0208889
-3.13014e-009 -0.0265858
-3.08014e-009 -0.0203709
-3.03014e-009 -0.00267584
-2.98014e-009 0.00656014
-2.93014e-009 0.0093223
-2.88014e-009 0.0188172
-2.83014e-009 0.0189035
-2.78014e-009 -0.00664645
-2.73014e-009 -0.0296069
-2.68014e-009 -0.0288301
-2.63014e-009 -0.0342681
-2.58014e-009 -0.051359
-2.53014e-009 -0.040224
-2.48014e-009 -0.0113076
-2.43014e-009 -0.00535169
-2.38014e-009 -0.00863176
-2.33014e-009 -0.00725068
-2.28014e-009 -0.018472
-2.23014e-009 -0.0235647
-2.18014e-009 -0.00612855
-2.13014e-009 0.00138108
-2.08014e-009 -0.00120845
-2.03014e-009 0.00535169
-1.98014e-009 -0.00543801
-1.93014e-009 -0.0208025
-1.88014e-009 0.0159688
-1.83014e-009 0.0660329
-1.78014e-009 0.0545527
-1.73014e-009 0.00820017
-1.68014e-009 -0.02391
-1.63014e-009 -0.0346997
-1.58014e-009 -0.0132929
-1.53014e-009 0.00871807
-1.48014e-009 -0.018472
-1.43014e-009 -0.0389292
-1.38014e-009 -0.00310743
-1.33014e-009 0.00414324
-1.28014e-009 -0.0439356
-1.23014e-009 -0.0473883
-1.18014e-009 -0.00431588
-1.13014e-009 0.00310743
-1.08014e-009 -0.0063875
-1.03014e-009 0.00750963
-9.80141e-010 0.00889071
-9.30141e-010 -0.0083728
-8.80141e-010 -0.00656014
-8.30141e-010 0.00466115
-7.80141e-010 -0.00276216
-7.30141e-010 -0.0129476
-6.80141e-010 -0.0034527
-6.30141e-010 0.00422956
-5.80141e-010 -0.0113076
-5.30141e-010 -0.00750963
-4.80141e-010 0.0355628
-4.30141e-010 0.0379797
-3.80141e-010 -0.0151056
-3.30141e-010 -0.00802753
-2.80141e-010 0.0649108
-2.30141e-010 0.0878713
-1.80141e-010 0.0857134
-1.30141e-010 0.172894
-8.01408e-011 0.341127
-3.01408e-011 0.540952
1.98592e-011 0.766673
6.98592e-011 0.961837
1.19859e-010 1.08458
1.69859e-010 1.20776
2.19859e-010 1.34025
2.69859e-010 1.34258
3.19859e-010 1.20732
3.69859e-010 1.1381
4.19859e-010 1.18773
4.69859e-010 1.15994
5.19859e-010 0.975906
5.69859e-010 0.758041
6.19859e-010 0.543024
6.69859e-010 0.274921
7.19859e-010 -0.0296069
7.69859e-010 -0.3659
8.19859e-010 -0.740864
8.69859e-010 -1.01958
9.19859e-010 -1.10486
9.69859e-010 -1.14224
1.01986e-009 -1.24893
1.06986e-009 -1.31712
1.11986e-009 -1.25851
1.16986e-009 -1.1368
1.21986e-009 -1.03642
1.26986e-009 -0.981431
1.31986e-009 -0.910909
1.36986e-009 -0.739137
1.41986e-009 -0.5028
1.46986e-009 -0.300817
1.51986e-009 -0.138712
1.56986e-009 -0.00276216
1.61986e-009 0.0782037
1.66986e-009 0.120327
1.71986e-009 0.132411
1.76986e-009 0.0683635
1.81986e-009 -0.029348
1.86986e-009 -0.0508411
1.91986e-009 -0.0110486
1.96986e-009 0.00353902
2.01986e-009 -0.0115666
2.06986e-009 -0.027449
2.11986e-009 -0.0483378
2.16986e-009 -0.0851091
2.21986e-009 -0.131116
2.26986e-009 -0.148294
2.31986e-009 -0.117823
2.36986e-009 -0.0990063
2.41986e-009 -0.11696
2.46986e-009 -0.0912377
2.51986e-009 -0.0083728
2.56986e-009 0.0235647
2.61986e-009 -0.0180404
2.66986e-009 -0.0327144
2.71986e-009 0.00578328
2.76986e-009 0.00897703
2.81986e-009 -0.0556748
2.86986e-009 -0.0977115
2.91986e-009 -0.0535169
2.96986e-009 0.010876
3.01986e-009 0.0202846
3.06986e-009 -0.0034527
3.11986e-009 -0.0152782
3.16986e-009 -0.00526537
3.21986e-009 0.0180404
3.26986e-009 0.0230468
3.31986e-009 -0.00647382
3.36986e-009 -0.0369439
3.41986e-009 -0.0485105
3.46986e-009 -0.042123
3.51986e-009 -0.00828649
3.56986e-009 0.0103581
3.61986e-009 -0.0275353
3.66986e-009 -0.041864
3.71986e-009 0.018213
3.76986e-009 0.0480789
3.81986e-009 0.0029348
3.86986e-009 -0.0225289
3.91986e-009 -0.00474747
3.96986e-009 -0.00612855
4.01986e-009 -0.0205436
4.06986e-009 -0.0078549
4.11986e-009 0.00811385
4.16986e-009 -0.0170046
4.21986e-009 -0.0563654
4.26986e-009 -0.0343544
4.31986e-009 0.031247
4.36986e-009 0.0296069
4.41986e-009 -0.0335775
4.46986e-009 -0.0365987
4.51986e-009 0.0117392
4.56986e-009 -0.00233057
4.61986e-009 -0.0579191
4.66986e-009 -0.0518769
4.71986e-009 -0.00362534
4.76986e-009 0.0014674
4.81986e-009 -0.0233921
4.86986e-009 -0.0157098
4.91986e-009 0.00647382
4.96986e-009 0.00448851
5.01986e-009 0.00828649
