LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 102
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 09:56:06 0                 
Time Ampl
-2.0075e-009 0.00148466
-1.9575e-009 0.00113939
-1.9075e-009 -0.00265858
-1.8575e-009 -0.000310743
-1.8075e-009 -0.00248595
-1.7575e-009 -0.0130857
-1.7075e-009 -0.0170218
-1.6575e-009 -0.00839007
-1.6075e-009 0.00407419
-1.5575e-009 0.0109796
-1.5075e-009 0.00814838
-1.4575e-009 0.00200257
-1.4075e-009 0.00141561
-1.3575e-009 0.00200257
-1.3075e-009 -0.00107034
-1.2575e-009 -0.000828649
-1.2075e-009 0.00511
-1.1575e-009 0.00994378
-1.1075e-009 0.0109796
-1.0575e-009 0.00735426
-1.0075e-009 0.000621487
-9.5747e-010 0.00303838
-9.0747e-010 0.0157443
-8.5747e-010 0.0188518
-8.0747e-010 0.0150193
-7.5747e-010 0.0398787
-7.0747e-010 0.102752
-6.5747e-010 0.176951
-6.0747e-010 0.257882
-5.5747e-010 0.361291
-5.0747e-010 0.468152
-4.5747e-010 0.540969
-4.0747e-010 0.579674
-3.5747e-010 0.606191
-3.0747e-010 0.621245
-2.5747e-010 0.618655
-2.0747e-010 0.606467
-1.5747e-010 0.58872
-1.0747e-010 0.555816
-5.7466e-011 0.496533
-7.4659e-012 0.40079
4.2534e-011 0.267619
9.2534e-011 0.117565
1.4253e-010 -0.031247
1.9253e-010 -0.188034
2.4253e-010 -0.354662
2.9253e-010 -0.493184
3.4253e-010 -0.568108
3.9253e-010 -0.592518
4.4253e-010 -0.600736
4.9253e-010 -0.602048
5.4253e-010 -0.58727
5.9253e-010 -0.561306
6.4253e-010 -0.539347
6.9253e-010 -0.511829
7.4253e-010 -0.447608
7.9253e-010 -0.347031
8.4253e-010 -0.246281
8.9253e-010 -0.157547
9.4253e-010 -0.067673
9.9253e-010 0.0103581
1.0425e-009 0.0535514
1.0925e-009 0.0650489
1.1425e-009 0.0512036
1.1925e-009 0.0206472
1.2425e-009 -0.00124297
1.2925e-009 -0.0127059
1.3425e-009 -0.0322137
1.3925e-009 -0.0404657
1.4425e-009 -0.0199221
1.4925e-009 -0.00921872
1.5425e-009 -0.029417
1.5925e-009 -0.0439184
1.6425e-009 -0.0371166
1.6925e-009 -0.034527
1.7425e-009 -0.0436767
1.7925e-009 -0.0499951
1.8425e-009 -0.0446434
1.8925e-009 -0.0278288
1.9425e-009 -0.0113939
1.9925e-009 -0.00835554
2.0425e-009 -0.0112558
2.0925e-009 -0.00441946
2.1425e-009 0.0109105
2.1925e-009 0.0181612
2.2425e-009 0.00290027
2.2925e-009 -0.0230295
2.3425e-009 -0.0264132
2.3925e-009 -0.00807932
2.4425e-009 -0.0058696
2.4925e-009 -0.0189208
2.5425e-009 -0.0126024
2.5925e-009 0.000725068
2.6425e-009 -0.0119118
2.6925e-009 -0.028761
2.7425e-009 -0.017885
2.7925e-009 -0.000172635
2.8425e-009 -0.00355628
2.8925e-009 -0.0171599
2.9425e-009 -0.019853
2.9925e-009 -0.0089425
3.0425e-009 0.00441946
