LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 14:10:19 0                 
Time Ampl
-1.000836e-008 -0.0107034
-9.991696e-009 0.000258953
-9.975029e-009 0.00871807
-9.958362e-009 0.0122571
-9.941696e-009 0.0200257
-9.925029e-009 0.00509274
-9.908362e-009 -0.0265858
-9.891696e-009 -0.0270174
-9.875029e-009 0.000431588
-9.858362e-009 0.00189899
-9.841696e-009 -0.0350449
-9.825029e-009 -0.0625802
-9.808362e-009 -0.0389292
-9.791696e-009 0.0123434
-9.775029e-009 0.0287438
-9.758362e-009 0.000690541
-9.741696e-009 -0.0139834
-9.725029e-009 0.0137245
-9.708362e-009 0.0464389
-9.691696e-009 0.0495463
-9.675029e-009 0.0266721
-9.658362e-009 -0.00630118
-9.641696e-009 -0.0340954
-9.625029e-009 -0.0392745
-9.608362e-009 -0.0134655
-9.591696e-009 0.0216657
-9.575029e-009 0.0186446
-9.558362e-009 -0.02555
-9.541696e-009 -0.0346133
-9.525029e-009 0.0242552
-9.508362e-009 0.0618034
-9.491696e-009 0.0221836
-9.475029e-009 -0.0242552
-9.458362e-009 -0.0319375
-9.441696e-009 -0.0302112
-9.425029e-009 -0.00992652
-9.408362e-009 0.0269311
-9.391696e-009 0.0063875
-9.375029e-009 -0.0515316
-9.358362e-009 -0.0283985
-9.341696e-009 0.0381524
-9.325029e-009 0.0132929
-9.308362e-009 -0.0520495
-9.291696e-009 -0.0378934
-9.275029e-009 -0.0029348
-9.258362e-009 -0.0252047
-9.241696e-009 -0.0409145
-9.225029e-009 -0.0151919
-9.208362e-009 -0.000258953
-9.191696e-009 0.00526537
-9.175029e-009 0.0209752
-9.158362e-009 0.0119118
-9.141696e-009 -0.0121708
-9.125029e-009 -0.00716436
-9.108362e-009 -0.00371166
-9.091696e-009 -0.0210615
-9.075029e-009 -0.00276216
-9.058362e-009 0.0273627
-9.041696e-009 -0.0176951
-9.025029e-009 -0.07665
-9.008362e-009 -0.0328007
-8.991696e-009 0.0356492
-8.975029e-009 -0.00742331
-8.958362e-009 -0.0903745
-8.941696e-009 -0.0713846
-8.925029e-009 0.00863176
-8.908362e-009 0.0301248
-8.891696e-009 0.00397061
-8.875029e-009 0.00034527
-8.858362e-009 0.00612855
-8.841696e-009 -0.00405693
-8.825029e-009 0.00500642
-8.808362e-009 0.0214931
-8.791696e-009 -0.0170046
-8.775029e-009 -0.0571422
-8.758362e-009 0.00500642
-8.741696e-009 0.0914966
-8.725029e-009 0.0621487
-8.708362e-009 -0.0150193
-8.691696e-009 -0.0145014
-8.675029e-009 0.00768226
-8.658362e-009 -0.0135519
-8.641696e-009 -0.0124297
-8.625029e-009 0.0105307
-8.608362e-009 -0.0206299
-8.591696e-009 -0.0526537
-8.575029e-009 -0.00483378
-8.558362e-009 0.0490284
-8.541696e-009 0.036426
-8.525029e-009 0.00578328
-8.508362e-009 -0.00828649
-8.491696e-009 -0.00258953
-8.475029e-009 0.0403103
-8.458362e-009 0.0541211
-8.441696e-009 -0.0290027
-8.425029e-009 -0.0852818
-8.408362e-009 -0.00630118
-8.391696e-009 0.0590412
-8.375029e-009 -0.0014674
