LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 3002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 14:20:13 0                 
Time Ampl
-1.000664e-008 0.0464389
-9.989975e-009 -0.0019853
-9.973308e-009 -0.0350449
-9.956642e-009 -0.0179541
-9.939975e-009 0.00483378
-9.923308e-009 -0.0267584
-9.906642e-009 -0.07829
-9.889975e-009 -0.0725068
-9.873308e-009 -0.0296932
-9.856642e-009 -0.0120845
-9.839975e-009 -0.00388429
-9.823308e-009 0.00828649
-9.806642e-009 -0.0175225
-9.789975e-009 -0.0458346
-9.773308e-009 0.00612855
-9.756642e-009 0.0789806
-9.739975e-009 0.0592139
-9.723308e-009 -0.00673277
-9.706642e-009 -0.0222699
-9.689975e-009 -0.00958125
-9.673308e-009 0.00241689
-9.656642e-009 0.0410008
-9.639975e-009 0.0616307
-9.623308e-009 0.00474747
-9.606642e-009 -0.0458346
-9.589975e-009 -0.0058696
-9.573308e-009 0.0329733
-9.556642e-009 -0.0150193
-9.539975e-009 -0.0575738
-9.523308e-009 -0.0157098
-9.506642e-009 0.0264995
-9.489975e-009 -0.00500642
-9.473308e-009 -0.0511
-9.456642e-009 -0.0477336
-9.439975e-009 -0.0164003
-9.423308e-009 -0.0019853
-9.406642e-009 -0.0233057
-9.389975e-009 -0.0630981
-9.373308e-009 -0.0694856
-9.356642e-009 -0.0277079
-9.339975e-009 -0.00120845
-9.323308e-009 -0.021752
-9.306642e-009 -0.0298659
-9.289975e-009 -0.0049201
-9.273308e-009 -0.00517905
-9.256642e-009 -0.02719
-9.239975e-009 -0.00940862
-9.223308e-009 0.0208889
-9.206642e-009 -0.000431588
-9.189975e-009 -0.0361671
-9.173308e-009 -0.0315059
-9.156642e-009 -0.0113076
-9.139975e-009 0.00949493
-9.123308e-009 0.0419503
-9.106642e-009 0.0384976
-9.089975e-009 -0.0176951
-9.073308e-009 -0.0313333
-9.056642e-009 0.0248595
-9.039975e-009 0.0357355
-9.023308e-009 -0.0233921
-9.006642e-009 -0.0279669
-8.989975e-009 0.0477336
-8.973308e-009 0.082347
-8.956642e-009 0.0228742
-8.939975e-009 -0.0566243
-8.923308e-009 -0.0790669
-8.906642e-009 -0.0320238
-8.889975e-009 0.0310743
-8.873308e-009 0.0391882
-8.856642e-009 0.000949493
-8.839975e-009 -0.0199394
-8.823308e-009 -0.0252047
-8.806642e-009 -0.0394471
-8.789975e-009 -0.0177814
-8.773308e-009 0.0397924
-8.756642e-009 0.0275353
-8.739975e-009 -0.0607676
-8.723308e-009 -0.0854544
-8.706642e-009 -0.0234784
-8.689975e-009 -0.00526537
-8.673308e-009 -0.0489421
-8.656642e-009 -0.0502368
-8.639975e-009 -0.00716436
-8.623308e-009 0.00664645
-8.606642e-009 0.000949493
-8.589975e-009 0.00612855
-8.573308e-009 0.00362534
-8.556642e-009 0.00690541
-8.539975e-009 0.0322828
-8.523308e-009 0.0204573
-8.506642e-009 -0.0363397
-8.489975e-009 -0.0429862
-8.473308e-009 -0.000258953
-8.456642e-009 -0.00517905
-8.439975e-009 -0.0300385
-8.423308e-009 -0.0044022
-8.406642e-009 -0.00181267
-8.389975e-009 -0.0496326
-8.373308e-009 -0.0212341
-8.356642e-009 0.0670688
-8.339975e-009 0.0476473
-8.323308e-009 -0.0397061
-8.306642e-009 -0.0422093
-8.289975e-009 -0.0220973
-8.273308e-009 -0.051359
-8.256642e-009 -0.00656014
-8.239975e-009 0.0956399
