LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 2002
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 14:31:24 0                 
Time Ampl
-1.001435e-008 -0.0107897
-9.989355e-009 -0.00595591
-9.964355e-009 -0.025809
-9.939355e-009 -0.0433314
-9.914355e-009 -0.0117392
-9.889355e-009 0.0336639
-9.864355e-009 0.0361671
-9.839355e-009 0.0303838
-9.814355e-009 0.0577465
-9.789355e-009 0.0591275
-9.764355e-009 -0.0058696
-9.739355e-009 -0.0560201
-9.714355e-009 -0.0334912
-9.689355e-009 -0.00535169
-9.664355e-009 -0.0181267
-9.639355e-009 -0.019853
-9.614355e-009 0.00681909
-9.589355e-009 0.00906335
-9.564355e-009 -0.0119981
-9.539355e-009 -0.00845912
-9.514355e-009 0.0029348
-9.489355e-009 -0.0143287
-9.464355e-009 -0.0262405
-9.439355e-009 -0.00604223
-9.414355e-009 0.000604223
-9.389355e-009 -0.0214931
-9.364355e-009 -0.0164867
-9.339355e-009 0.0220973
-9.314355e-009 0.0320238
-9.289355e-009 0.00595591
-9.264355e-009 -0.0034527
-9.239355e-009 0.00776858
-9.214355e-009 0.00371166
-9.189355e-009 -0.0113076
-9.164355e-009 -0.0148466
-9.139355e-009 -0.0114802
-9.114355e-009 -0.00164003
-9.089355e-009 0.0237373
-9.064355e-009 0.0398787
-9.039355e-009 0.0172635
-9.014355e-009 -0.0209752
-8.989355e-009 -0.0368576
-8.964355e-009 -0.0316785
-8.939355e-009 -0.0176088
-8.914355e-009 0.00241689
-8.889355e-009 0.00828649
-8.864355e-009 -0.00880439
-8.839355e-009 -0.0164003
-8.814355e-009 -0.00371166
-8.789355e-009 -0.012775
-8.764355e-009 -0.044022
-8.739355e-009 -0.0384976
-8.714355e-009 0.00302112
-8.689355e-009 0.0164867
-8.664355e-009 0.00302112
-8.639355e-009 0.0114802
-8.614355e-009 0.0170909
-8.589355e-009 -0.0174361
-8.564355e-009 -0.0297796
-8.539355e-009 0.0246005
-8.514355e-009 0.056797
-8.489355e-009 0.00319375
-8.464355e-009 -0.0465252
-8.439355e-009 -0.0225289
-8.414355e-009 0.000863176
-8.389355e-009 -0.0315059
-8.364355e-009 -0.0578328
-8.339355e-009 -0.043763
-8.314355e-009 -0.0365987
-8.289355e-009 -0.0389292
-8.264355e-009 -0.0100128
-8.239355e-009 0.0206299
-8.214355e-009 0.00578328
-8.189355e-009 -0.0101855
-8.164355e-009 0.0193351
-8.139355e-009 0.0406556
-8.114355e-009 0.0110486
-8.089355e-009 -0.0100128
-8.064355e-009 0.0181267
-8.039355e-009 0.0389292
-8.014355e-009 0.018213
-7.989355e-009 0.00457483
-7.964355e-009 0.020112
-7.939355e-009 0.0206299
-7.914355e-009 -0.0063875
-7.889355e-009 -0.0202846
-7.864355e-009 -0.0104444
-7.839355e-009 -0.00630118
-7.814355e-009 -0.0110486
-7.789355e-009 -0.00699172
-7.764355e-009 -0.00578328
-7.739355e-009 -0.0222699
-7.714355e-009 -0.0296932
-7.689355e-009 -0.00302112
-7.664355e-009 0.0245142
-7.639355e-009 0.0109623
-7.614355e-009 -0.0173498
-7.589355e-009 -0.00863176
-7.564355e-009 0.0196804
-7.539355e-009 0.0098402
-7.514355e-009 -0.0287438
-7.489355e-009 -0.030988
-7.464355e-009 0.00733699
-7.439355e-009 0.0218383
-7.414355e-009 -0.0049201
-7.389355e-009 -0.0208025
-7.364355e-009 -0.00707804
-7.339355e-009 -0.00517905
-7.314355e-009 -0.0277079
-7.289355e-009 -0.0344407
-7.264355e-009 -0.0135519
-7.239355e-009 -0.00129476
-7.214355e-009 -0.010876
-7.189355e-009 -0.0145014
-7.164355e-009 -8.63176e-005
-7.139355e-009 0.0141561
-7.114355e-009 0.0201983
-7.089355e-009 0.0238237
-7.064355e-009 0.018213
-7.039355e-009 -0.0029348
-7.014355e-009 -0.0204573
-6.989355e-009 -0.0164867
-6.964355e-009 -0.00707804
-6.939355e-009 -0.00966757
-6.914355e-009 -0.00716436
-6.889355e-009 0.0114802
-6.864355e-009 0.0116529
-6.839355e-009 -0.029089
-6.814355e-009 -0.0611992
-6.789355e-009 -0.0334912
-6.764355e-009 0.0145877
-6.739355e-009 0.0137245
-6.714355e-009 -0.0164867
-6.689355e-009 -0.00975389
-6.664355e-009 0.0210615
-6.639355e-009 0.00975389
-6.614355e-009 -0.0338365
-6.589355e-009 -0.0370302
-6.564355e-009 0.00431588
-6.539355e-009 0.019853
-6.514355e-009 -0.0113076
-6.489355e-009 -0.0346997
-6.464355e-009 -0.0212341
-6.439355e-009 -0.00397061
-6.414355e-009 -0.00699172
-6.389355e-009 -0.0120845
-6.364355e-009 -0.00569696
-6.339355e-009 0.000949493
-6.314355e-009 0.00267584
-6.289355e-009 0.00690541
-6.264355e-009 0.0113939
-6.239355e-009 0.00975389
-6.214355e-009 0.00923598
-6.189355e-009 0.0136382
-6.164355e-009 0.00871807
-6.139355e-009 -0.0083728
-6.114355e-009 -0.013034
-6.089355e-009 0.00526537
-6.064355e-009 0.0176951
-6.039355e-009 0.000863176
-6.014355e-009 -0.0275353
-5.989355e-009 -0.0395334
-5.964355e-009 -0.0317649
-5.939355e-009 -0.0142424
-5.914355e-009 0.00258953
-5.889355e-009 0.00595591
-5.864355e-009 -0.00422956
-5.839355e-009 -0.0104444
-5.814355e-009 -0.0100128
-5.789355e-009 -0.0221836
-5.764355e-009 -0.0412598
-5.739355e-009 -0.0333186
-5.714355e-009 -0.000517905
-5.689355e-009 0.0134655
-5.664355e-009 -0.00250321
-5.639355e-009 -0.0119118
-5.614355e-009 0.000517905
-5.589355e-009 0.0136382
-5.564355e-009 0.0195078
-5.539355e-009 0.0273627
-5.514355e-009 0.0307291
-5.489355e-009 0.0227878
-5.464355e-009 0.0141561
-5.439355e-009 0.00405693
-5.414355e-009 -0.018472
-5.389355e-009 -0.032628
-5.364355e-009 -0.0107034
-5.339355e-009 0.019853
-5.314355e-009 0.0168319
-5.289355e-009 0.0014674
-5.264355e-009 0.0107897
-5.239355e-009 0.0173498
-5.214355e-009 -0.0119118
-5.189355e-009 -0.0374618
-5.164355e-009 -0.0187309
-5.139355e-009 0.00699172
-5.114355e-009 0.00362534
-5.089355e-009 0.00656014
-5.064355e-009 0.0403966
-5.039355e-009 0.0593865
-5.014355e-009 0.0340091
-4.989355e-009 0.00353902
-4.964355e-009 -0.00543801
-4.939355e-009 -0.0167456
-4.914355e-009 -0.0318512
-4.889355e-009 -0.0182993
-4.864355e-009 0.0121708
-4.839355e-009 0.00776858
-4.814355e-009 -0.0303838
-4.789355e-009 -0.0422093
-4.764355e-009 -0.0058696
-4.739355e-009 0.0290027
-4.714355e-009 0.0183856
-4.689355e-009 -0.0138108
-4.664355e-009 -0.014415
-4.639355e-009 0.0182993
-4.614355e-009 0.0279669
-4.589355e-009 -0.0142424
-4.564355e-009 -0.0571422
-4.539355e-009 -0.0452304
-4.514355e-009 -0.00612855
-4.489355e-009 0.0034527
-4.464355e-009 -0.00474747
-4.439355e-009 0.0123434
-4.414355e-009 0.0353039
-4.389355e-009 0.0154508
-4.364355e-009 -0.0291753
-4.339355e-009 -0.0357355
-4.314355e-009 0.00328007
-4.289355e-009 0.0333186
-4.264355e-009 0.0200257
-4.239355e-009 -0.0100128
-4.214355e-009 -0.0176088
-4.189355e-009 -0.00742331
-4.164355e-009 -0.0126887
