LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 1202
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 10:23:50 0                 
Time Ampl
-3.005723e-009 -0.0231676
-2.989056e-009 -0.0255155
-2.972389e-009 -0.0346306
-2.955723e-009 -0.0277943
-2.939056e-009 0.0111522
-2.922389e-009 0.036357
-2.905723e-009 0.00631845
-2.889056e-009 -0.0276562
-2.872389e-009 -0.00597318
-2.855723e-009 0.024894
-2.839056e-009 0.00359081
-2.822389e-009 -0.0254119
-2.805723e-009 -0.00773405
-2.789056e-009 0.0131548
-2.772389e-009 -0.00486831
-2.755723e-009 -0.0210615
-2.739056e-009 -0.0119809
-2.722389e-009 -0.014018
-2.705723e-009 -0.0268275
-2.689056e-009 -0.0148121
-2.672389e-009 0.0021752
-2.655723e-009 -0.0111522
-2.639056e-009 -0.0251012
-2.622389e-009 -0.0093223
-2.605723e-009 0.00490284
-2.589056e-009 -0.00317649
-2.572389e-009 -0.00787216
-2.555723e-009 -0.00265858
-2.539056e-009 -0.00576601
-2.522389e-009 -0.00787216
-2.505723e-009 0.00462662
-2.489056e-009 0.0114284
-2.472389e-009 -0.00258953
-2.455723e-009 -0.0175397
-2.439056e-009 -0.0148466
-2.422389e-009 -0.000448851
-2.405723e-009 0.00849365
-2.389056e-009 -0.00265858
-2.372389e-009 -0.0256191
-2.355723e-009 -0.028761
-2.339056e-009 -0.00555885
-2.322389e-009 0.00825196
-2.305723e-009 -0.00618034
-2.289056e-009 -0.0224426
-2.272389e-009 -0.0172635
-2.255723e-009 0.00186446
-2.239056e-009 0.0174361
-2.222389e-009 0.0156407
-2.205723e-009 -0.00248595
-2.189056e-009 -0.0125678
-2.172389e-009 0.00034527
-2.155723e-009 0.0141561
-2.139056e-009 0.00835554
-2.122389e-009 -0.00314196
-2.105723e-009 -0.00262405
-2.089056e-009 0.00631845
-2.072389e-009 0.0122916
-2.055723e-009 0.00642203
-2.039056e-009 -0.00939135
-2.022389e-009 -0.0151574
-2.005723e-009 -0.000483378
-1.989056e-009 0.0154336
-1.972389e-009 0.0157443
-1.955723e-009 0.00455757
-1.939056e-009 -0.011532
-1.922389e-009 -0.0195423
-1.905723e-009 -0.00514453
-1.889056e-009 0.00814838
-1.872389e-009 -0.0117737
-1.855723e-009 -0.0335603
-1.839056e-009 -0.0136382
-1.822389e-009 0.0129476
-1.805723e-009 -0.000379797
-1.789056e-009 -0.022995
-1.772389e-009 -0.0181957
-1.755723e-009 -0.00725068
-1.739056e-009 -0.00390155
-1.722389e-009 0.00680182
-1.705723e-009 0.0130512
-1.689056e-009 -0.000414324
-1.672389e-009 -0.00669824
-1.655723e-009 0.00966757
-1.639056e-009 0.0187827
-1.622389e-009 0.0071471
-1.605723e-009 -0.00272764
-1.589056e-009 -0.00479926
-1.572389e-009 -0.0120499
-1.555723e-009 -0.0169873
-1.539056e-009 -0.00397061
-1.522389e-009 0.0121535
-1.505723e-009 0.00272764
-1.489056e-009 -0.0228914
-1.472389e-009 -0.0237201
-1.455723e-009 0.00200257
-1.439056e-009 0.00866628
-1.422389e-009 -0.0126024
-1.405723e-009 -0.0210615
-1.389056e-009 -0.0103236
-1.372389e-009 -0.00790669
-1.355723e-009 -0.00859723
-1.339056e-009 -0.00352176
-1.322389e-009 -0.0121535
-1.305723e-009 -0.0221318
-1.289056e-009 -0.00524811
-1.272389e-009 0.00386703
-1.255723e-009 -0.0195768
-1.239056e-009 -0.0194042
-1.222389e-009 0.0151228
-1.205723e-009 0.0124988
-1.189056e-009 -0.0180922
-1.172389e-009 -0.00459209
-1.155723e-009 0.0203709
-1.139056e-009 -0.000103581
-1.122389e-009 -0.0114975
-1.105723e-009 0.0170564
-1.089056e-009 0.0189208
-1.072389e-009 -0.00704351
-1.055723e-009 0.00182993
-1.039056e-009 0.0190934
-1.022389e-009 0.00359081
-1.005723e-009 0.00172635
