LECROYSDA18000 15238 Waveform
Segments 1 SegmentSize 202
Segment TrigTime TimeSinceSegment1
#1 02-Nov-2018 10:26:57 0                 
Time Ampl
-1.50918e-009 -0.000621487
-1.48418e-009 0.00832101
-1.45918e-009 0.00372892
-1.43418e-009 -0.0110832
-1.40918e-009 -0.0134655
-1.38418e-009 -0.00145014
-1.35918e-009 0.00369439
-1.33418e-009 -0.000207162
-1.30918e-009 0.00445399
-1.28418e-009 0.0139489
-1.25918e-009 0.00828649
-1.23418e-009 -0.00735426
-1.20918e-009 -0.011532
-1.18418e-009 -0.00621487
-1.15918e-009 -0.0072852
-1.13418e-009 -0.0127059
-1.10918e-009 -0.0133965
-1.08418e-009 -0.0127059
-1.05918e-009 -0.0125333
-1.03418e-009 -0.00776858
-1.00918e-009 -0.00497189
-9.84179e-010 -0.0137418
-9.59179e-010 -0.0196114
-9.34179e-010 -0.00386703
-9.09179e-010 0.017885
-8.84179e-010 0.0163658
-8.59179e-010 -0.00314196
-8.34179e-010 -0.0106343
-8.09179e-010 0.00321101
-7.84179e-010 0.0229259
-7.59179e-010 0.0365987
-7.34179e-010 0.0455412
-7.09179e-010 0.0575911
-6.84179e-010 0.0832101
-6.59179e-010 0.125644
-6.34179e-010 0.172497
-6.09179e-010 0.211409
-5.84179e-010 0.249389
-5.59179e-010 0.299073
-5.34179e-010 0.353488
-5.09179e-010 0.39637
-4.84179e-010 0.430414
-4.59179e-010 0.472399
-4.34179e-010 0.522014
-4.09179e-010 0.560615
-3.84179e-010 0.580986
-3.59179e-010 0.595729
-3.34179e-010 0.613373
-3.09179e-010 0.627978
-2.84179e-010 0.635401
-2.59179e-010 0.638646
-2.34179e-010 0.635781
-2.09179e-010 0.62266
-1.84179e-010 0.606951
-1.59179e-010 0.599838
-1.34179e-010 0.598561
-1.09179e-010 0.593554
-8.41789e-011 0.58109
-5.91789e-011 0.556438
-3.41789e-011 0.513279
-9.17885e-012 0.460142
1.58211e-011 0.413806
4.08211e-011 0.37044
6.58211e-011 0.312228
9.08211e-011 0.240999
1.15821e-010 0.172428
1.40821e-010 0.102614
1.65821e-010 0.0181267
1.90821e-010 -0.0719198
2.15821e-010 -0.149916
2.40821e-010 -0.221767
2.65821e-010 -0.301973
2.90821e-010 -0.38432
3.15821e-010 -0.453858
3.40821e-010 -0.506857
3.65821e-010 -0.540555
3.90821e-010 -0.549877
4.15821e-010 -0.547806
4.40821e-010 -0.559338
4.65821e-010 -0.586649
4.90821e-010 -0.607952
5.15821e-010 -0.611888
5.40821e-010 -0.606157
5.65821e-010 -0.59711
5.90821e-010 -0.586856
6.15821e-010 -0.58147
6.40821e-010 -0.58109
6.65821e-010 -0.574426
6.90821e-010 -0.558854
7.15821e-010 -0.544975
7.40821e-010 -0.529645
7.65821e-010 -0.49277
7.90821e-010 -0.431622
8.15821e-010 -0.369439
8.40821e-010 -0.320583
8.65821e-010 -0.27701
8.90821e-010 -0.23285
9.15821e-010 -0.190486
9.40821e-010 -0.143978
9.65821e-010 -0.0878713
9.90821e-010 -0.0367368
1.01582e-009 -0.00490284
1.04082e-009 0.0194387
1.06582e-009 0.0492355
1.09082e-009 0.0685016
1.11582e-009 0.0605259
1.14082e-009 0.0425028
1.16582e-009 0.0383941
1.19082e-009 0.0410872
1.21582e-009 0.0318684
1.24082e-009 0.0138453
1.26582e-009 -0.000310743
1.29082e-009 -0.0110141
1.31582e-009 -0.0214413
1.34082e-009 -0.0271382
1.36582e-009 -0.0291753
1.39082e-009 -0.0352521
1.41582e-009 -0.0411907
1.44082e-009 -0.0338365
1.46582e-009 -0.014743
1.49082e-009 -0.000172635
1.51582e-009 0.00117392
1.54082e-009 -0.00776858
1.56582e-009 -0.0234093
1.59082e-009 -0.0410181
1.61582e-009 -0.0525501
1.64082e-009 -0.0558647
1.66582e-009 -0.0554159
1.69082e-009 -0.0515143
1.71582e-009 -0.0452304
1.74082e-009 -0.0496844
1.76582e-009 -0.0721615
1.79082e-009 -0.0929813
1.81582e-009 -0.0903572
1.84082e-009 -0.0744057
1.86582e-009 -0.0656359
1.89082e-009 -0.0586614
1.91582e-009 -0.0415015
1.94082e-009 -0.0271728
1.96582e-009 -0.0291063
1.99082e-009 -0.0316958
2.01582e-009 -0.0195423
2.04082e-009 -0.00631845
2.06582e-009 -0.00521358
2.09082e-009 -0.00511
2.11582e-009 0.000207162
2.14082e-009 -0.000794122
2.16582e-009 -0.00538622
2.19082e-009 0.00386703
2.21582e-009 0.0188172
2.24082e-009 0.0118082
2.26582e-009 -0.014743
2.29082e-009 -0.032559
2.31582e-009 -0.0354593
2.34082e-009 -0.0356664
2.36582e-009 -0.0261715
2.39082e-009 0.00290027
2.41582e-009 0.0283812
2.44082e-009 0.0225462
2.46582e-009 -0.00034527
2.49082e-009 -0.00946041
2.51582e-009 -0.00721615
2.54082e-009 -0.0120845
2.56582e-009 -0.0160896
2.59082e-009 -0.0029348
2.61582e-009 0.0128095
2.64082e-009 0.00707804
2.66582e-009 -0.0110141
2.69082e-009 -0.0162968
2.71582e-009 -0.0109105
2.74082e-009 -0.0133965
2.76582e-009 -0.0203364
2.79082e-009 -0.0162622
2.81582e-009 -0.00801027
2.84082e-009 -0.0117047
2.86582e-009 -0.0188172
2.89082e-009 -0.0111868
2.91582e-009 0.00296932
2.94082e-009 0.00227878
2.96582e-009 -0.0115666
2.99082e-009 -0.0200602
3.01582e-009 -0.017885
3.04082e-009 -0.0126369
3.06582e-009 -0.00652561
3.09082e-009 0.00200257
3.11582e-009 0.00845912
3.14082e-009 0.00642203
3.16582e-009 -0.00466115
3.19082e-009 -0.0177814
3.21582e-009 -0.0216484
3.24082e-009 -0.0126369
3.26582e-009 -0.00372892
3.29082e-009 -0.00852818
3.31582e-009 -0.0195768
3.34082e-009 -0.0208543
3.36582e-009 -0.0139834
3.39082e-009 -0.0109105
3.41582e-009 -0.0105653
3.44082e-009 -0.00593865
3.46582e-009 -0.00262405
3.49082e-009 -0.00832101
3.51582e-009 -0.0155372
